(-1, 5, 0), [3, 1, 0], 3.25.ab_f_a 
(-1, 5, 25), [3, 1, 1], 3.25.ab_f_z 
(-1, 5, 50), [3, 1, 2], 3.25.ab_f_by 
(-1, 5, 100), [3, 1, 0], 3.25.ab_f_dw 
(-1, 5, 125), [3, 1, 1], 3.25.ab_f_ev 
(-1, 5, 150), [3, 1, 2], 3.25.ab_f_fu 
(-1, 5, 175), [3, 1, 3], 3.25.ab_f_gt 
(-1, 10, -200), [3, 2, 0], 3.25.ab_k_ahs 
(-1, 10, -150), [3, 2, 2], 3.25.ab_k_afu 
(-1, 10, -100), [3, 2, 0], 3.25.ab_k_adw 
(-1, 10, 0), [3, 2, 0], 3.25.ab_k_a 
(-1, 10, 50), [3, 2, 2], 3.25.ab_k_by 
(-1, 10, 100), [3, 2, 0], 3.25.ab_k_dw 
(-1, 10, 150), [3, 2, 2], 3.25.ab_k_fu 
(-1, 15, -150), [3, 3, 2], 3.25.ab_p_afu 
(-1, 15, -125), [3, 3, 3], 3.25.ab_p_aev 
(-1, 15, -75), [3, 3, 1], 3.25.ab_p_acx 
(-1, 15, -25), [3, 3, 3], 3.25.ab_p_az 
(-1, 15, 0), [3, 3, 0], 3.25.ab_p_a 
(-1, 15, 50), [3, 3, 2], 3.25.ab_p_by 
(-1, 15, 100), [3, 3, 0], 3.25.ab_p_dw 
(-1, 15, 125), [3, 3, 1], 3.25.ab_p_ev 
(-1, 20, -150), [3, 0, 2], 3.25.ab_u_afu 
(-1, 20, -100), [3, 0, 0], 3.25.ab_u_adw 
(-1, 20, 0), [3, 0, 0], 3.25.ab_u_a 
(-1, 20, 50), [3, 0, 2], 3.25.ab_u_by 
(-1, 25, -125), [3, 1, 3], 3.25.ab_z_aev 
(-1, 25, -100), [3, 1, 0], 3.25.ab_z_adw 
(-1, 25, -25), [3, 1, 3], 3.25.ab_z_az 
(-1, 25, 25), [3, 1, 1], 3.25.ab_z_z 
(-1, 25, 75), [3, 1, 3], 3.25.ab_z_cx 
(-1, 30, -100), [3, 2, 0], 3.25.ab_be_adw 
(-1, 30, 0), [3, 2, 0], 3.25.ab_be_a 
(-1, 30, 50), [3, 2, 2], 3.25.ab_be_by 
(-1, 35, -125), [3, 3, 3], 3.25.ab_bj_aev 
(-1, 35, -75), [3, 3, 1], 3.25.ab_bj_acx 
(-1, 35, -25), [3, 3, 3], 3.25.ab_bj_az 
(-1, 35, 0), [3, 3, 0], 3.25.ab_bj_a 
(-1, 40, -100), [3, 0, 0], 3.25.ab_bo_adw 
(-1, 40, 0), [3, 0, 0], 3.25.ab_bo_a 
