(1, -5, -28), [1, 3, 4], 3.8.b_af_abc 
(1, -5, -24), [1, 3, 0], 3.8.b_af_ay 
(1, -5, -20), [1, 3, 4], 3.8.b_af_au 
(1, -5, -16), [1, 3, 0], 3.8.b_af_aq 
(1, -5, -12), [1, 3, 4], 3.8.b_af_am 
(1, -5, -8), [1, 3, 0], 3.8.b_af_ai 
(1, -5, -4), [1, 3, 4], 3.8.b_af_ae 
(1, -5, 0), [1, 3, 0], 3.8.b_af_a 
(1, -3, -40), [1, 5, 0], 3.8.b_ad_abo 
(1, -3, -36), [1, 5, 4], 3.8.b_ad_abk 
(1, -3, -32), [1, 5, 0], 3.8.b_ad_abg 
(1, -3, -28), [1, 5, 4], 3.8.b_ad_abc 
(1, -3, -24), [1, 5, 0], 3.8.b_ad_ay 
(1, -3, -20), [1, 5, 4], 3.8.b_ad_au 
(1, -3, -16), [1, 5, 0], 3.8.b_ad_aq 
(1, -3, -12), [1, 5, 4], 3.8.b_ad_am 
(1, -3, -8), [1, 5, 0], 3.8.b_ad_ai 
(1, -3, -4), [1, 5, 4], 3.8.b_ad_ae 
(1, -3, 0), [1, 5, 0], 3.8.b_ad_a 
(1, -3, 4), [1, 5, 4], 3.8.b_ad_e 
(1, -3, 8), [1, 5, 0], 3.8.b_ad_i 
(1, -3, 12), [1, 5, 4], 3.8.b_ad_m 
(1, -1, -40), [1, 7, 0], 3.8.b_ab_abo 
(1, -1, -32), [1, 7, 0], 3.8.b_ab_abg 
(1, -1, -28), [1, 7, 4], 3.8.b_ab_abc 
(1, -1, -24), [1, 7, 0], 3.8.b_ab_ay 
(1, -1, -20), [1, 7, 4], 3.8.b_ab_au 
(1, -1, -16), [1, 7, 0], 3.8.b_ab_aq 
(1, -1, -12), [1, 7, 4], 3.8.b_ab_am 
(1, -1, -8), [1, 7, 0], 3.8.b_ab_ai 
(1, -1, -4), [1, 7, 4], 3.8.b_ab_ae 
(1, -1, 0), [1, 7, 0], 3.8.b_ab_a 
(1, -1, 4), [1, 7, 4], 3.8.b_ab_e 
(1, -1, 8), [1, 7, 0], 3.8.b_ab_i 
(1, -1, 12), [1, 7, 4], 3.8.b_ab_m 
(1, -1, 20), [1, 7, 4], 3.8.b_ab_u 
(1, 1, -32), [1, 1, 0], 3.8.b_b_abg 
(1, 1, -24), [1, 1, 0], 3.8.b_b_ay 
(1, 1, -20), [1, 1, 4], 3.8.b_b_au 
(1, 1, -16), [1, 1, 0], 3.8.b_b_aq 
(1, 1, -12), [1, 1, 4], 3.8.b_b_am 
(1, 1, -8), [1, 1, 0], 3.8.b_b_ai 
(1, 1, -4), [1, 1, 4], 3.8.b_b_ae 
(1, 1, 0), [1, 1, 0], 3.8.b_b_a 
(1, 1, 4), [1, 1, 4], 3.8.b_b_e 
(1, 1, 8), [1, 1, 0], 3.8.b_b_i 
(1, 1, 12), [1, 1, 4], 3.8.b_b_m 
(1, 1, 20), [1, 1, 4], 3.8.b_b_u 
(1, 1, 24), [1, 1, 0], 3.8.b_b_y 
(1, 1, 32), [1, 1, 0], 3.8.b_b_bg 
(1, 3, -28), [1, 3, 4], 3.8.b_d_abc 
(1, 3, -24), [1, 3, 0], 3.8.b_d_ay 
(1, 3, -16), [1, 3, 0], 3.8.b_d_aq 
(1, 3, -12), [1, 3, 4], 3.8.b_d_am 
(1, 3, -8), [1, 3, 0], 3.8.b_d_ai 
(1, 3, -4), [1, 3, 4], 3.8.b_d_ae 
(1, 3, 0), [1, 3, 0], 3.8.b_d_a 
(1, 3, 4), [1, 3, 4], 3.8.b_d_e 
(1, 3, 8), [1, 3, 0], 3.8.b_d_i 
(1, 3, 12), [1, 3, 4], 3.8.b_d_m 
(1, 3, 24), [1, 3, 0], 3.8.b_d_y 
(1, 3, 28), [1, 3, 4], 3.8.b_d_bc 
(1, 3, 32), [1, 3, 0], 3.8.b_d_bg 
(1, 3, 36), [1, 3, 4], 3.8.b_d_bk 
(1, 3, 40), [1, 3, 0], 3.8.b_d_bo 
(1, 3, 44), [1, 3, 4], 3.8.b_d_bs 
(1, 5, -20), [1, 5, 4], 3.8.b_f_au 
(1, 5, -16), [1, 5, 0], 3.8.b_f_aq 
(1, 5, -8), [1, 5, 0], 3.8.b_f_ai 
(1, 5, -4), [1, 5, 4], 3.8.b_f_ae 
(1, 5, 0), [1, 5, 0], 3.8.b_f_a 
(1, 5, 4), [1, 5, 4], 3.8.b_f_e 
(1, 5, 8), [1, 5, 0], 3.8.b_f_i 
(1, 5, 20), [1, 5, 4], 3.8.b_f_u 
(1, 5, 24), [1, 5, 0], 3.8.b_f_y 
(1, 5, 28), [1, 5, 4], 3.8.b_f_bc 
(1, 5, 32), [1, 5, 0], 3.8.b_f_bg 
(1, 5, 36), [1, 5, 4], 3.8.b_f_bk 
(1, 5, 40), [1, 5, 0], 3.8.b_f_bo 
(1, 7, -16), [1, 7, 0], 3.8.b_h_aq 
(1, 7, -12), [1, 7, 4], 3.8.b_h_am 
(1, 7, -8), [1, 7, 0], 3.8.b_h_ai 
(1, 7, 0), [1, 7, 0], 3.8.b_h_a 
(1, 7, 8), [1, 7, 0], 3.8.b_h_i 
(1, 7, 12), [1, 7, 4], 3.8.b_h_m 
(1, 7, 20), [1, 7, 4], 3.8.b_h_u 
(1, 7, 24), [1, 7, 0], 3.8.b_h_y 
(1, 7, 28), [1, 7, 4], 3.8.b_h_bc 
(1, 7, 32), [1, 7, 0], 3.8.b_h_bg 
(1, 7, 36), [1, 7, 4], 3.8.b_h_bk 
(1, 9, -12), [1, 1, 4], 3.8.b_j_am 
(1, 9, -8), [1, 1, 0], 3.8.b_j_ai 
(1, 9, 0), [1, 1, 0], 3.8.b_j_a 
(1, 9, 8), [1, 1, 0], 3.8.b_j_i 
