(-13, 76, -345), [3, 0, 3], 3.25.an_cy_anh 
(-13, 78, -365), [3, 2, 3], 3.25.an_da_aob 
(-13, 78, -355), [3, 2, 1], 3.25.an_da_anr 
(-13, 79, -365), [3, 3, 3], 3.25.an_db_aob 
(-13, 79, -360), [3, 3, 0], 3.25.an_db_anw 
(-13, 82, -415), [3, 2, 1], 3.25.an_de_apz 
(-13, 82, -395), [3, 2, 1], 3.25.an_de_apf 
(-13, 82, -385), [3, 2, 3], 3.25.an_de_aov 
(-13, 84, -435), [3, 0, 1], 3.25.an_dg_aqt 
(-13, 84, -415), [3, 0, 1], 3.25.an_dg_apz 
(-13, 84, -405), [3, 0, 3], 3.25.an_dg_app 
(-13, 86, -455), [3, 2, 1], 3.25.an_di_arn 
(-13, 86, -445), [3, 2, 3], 3.25.an_di_ard 
(-13, 86, -435), [3, 2, 1], 3.25.an_di_aqt 
(-13, 88, -465), [3, 0, 3], 3.25.an_dk_arx 
(-13, 88, -455), [3, 0, 1], 3.25.an_dk_arn 
(-13, 88, -445), [3, 0, 3], 3.25.an_dk_ard 
(-13, 88, -440), [3, 0, 0], 3.25.an_dk_aqy 
(-13, 88, -435), [3, 0, 1], 3.25.an_dk_aqt 
(-13, 89, -485), [3, 1, 3], 3.25.an_dl_asr 
(-13, 89, -460), [3, 1, 0], 3.25.an_dl_ars 
(-13, 92, -515), [3, 0, 1], 3.25.an_do_atv 
(-13, 92, -505), [3, 0, 3], 3.25.an_do_atl 
(-13, 92, -495), [3, 0, 1], 3.25.an_do_atb 
(-13, 92, -485), [3, 0, 3], 3.25.an_do_asr 
(-13, 94, -515), [3, 2, 1], 3.25.an_dq_atv 
(-13, 94, -505), [3, 2, 3], 3.25.an_dq_atl 
(-13, 94, -495), [3, 2, 1], 3.25.an_dq_atb 
(-13, 94, -490), [3, 2, 2], 3.25.an_dq_asw 
(-13, 94, -485), [3, 2, 3], 3.25.an_dq_asr 
(-13, 96, -545), [3, 0, 3], 3.25.an_ds_auz 
(-13, 96, -535), [3, 0, 1], 3.25.an_ds_aup 
(-13, 96, -505), [3, 0, 3], 3.25.an_ds_atl 
(-13, 98, -555), [3, 2, 1], 3.25.an_du_avj 
(-13, 98, -545), [3, 2, 3], 3.25.an_du_auz 
(-13, 98, -535), [3, 2, 1], 3.25.an_du_aup 
(-13, 98, -515), [3, 2, 1], 3.25.an_du_atv 
(-13, 101, -590), [3, 1, 2], 3.25.an_dx_aws 
(-13, 102, -615), [3, 2, 1], 3.25.an_dy_axr 
(-13, 102, -605), [3, 2, 3], 3.25.an_dy_axh 
(-13, 102, -595), [3, 2, 1], 3.25.an_dy_awx 
(-13, 102, -565), [3, 2, 3], 3.25.an_dy_avt 
(-13, 102, -555), [3, 2, 1], 3.25.an_dy_avj 
(-13, 103, -580), [3, 3, 0], 3.25.an_dz_awi 
(-13, 104, -635), [3, 0, 1], 3.25.an_ea_ayl 
(-13, 104, -615), [3, 0, 1], 3.25.an_ea_axr 
(-13, 104, -605), [3, 0, 3], 3.25.an_ea_axh 
(-13, 104, -585), [3, 0, 3], 3.25.an_ea_awn 
(-13, 104, -565), [3, 0, 3], 3.25.an_ea_avt 
(-13, 106, -655), [3, 2, 1], 3.25.an_ec_azf 
(-13, 106, -645), [3, 2, 3], 3.25.an_ec_ayv 
(-13, 106, -635), [3, 2, 1], 3.25.an_ec_ayl 
(-13, 106, -615), [3, 2, 1], 3.25.an_ec_axr 
(-13, 106, -595), [3, 2, 1], 3.25.an_ec_awx 
(-13, 106, -585), [3, 2, 3], 3.25.an_ec_awn 
(-13, 107, -665), [3, 3, 3], 3.25.an_ed_azp 
(-13, 107, -660), [3, 3, 0], 3.25.an_ed_azk 
(-13, 108, -665), [3, 0, 3], 3.25.an_ee_azp 
(-13, 108, -655), [3, 0, 1], 3.25.an_ee_azf 
(-13, 108, -645), [3, 0, 3], 3.25.an_ee_ayv 
(-13, 108, -635), [3, 0, 1], 3.25.an_ee_ayl 
(-13, 108, -610), [3, 0, 2], 3.25.an_ee_axm 
(-13, 108, -605), [3, 0, 3], 3.25.an_ee_axh 
(-13, 108, -595), [3, 0, 1], 3.25.an_ee_awx 
(-13, 109, -660), [3, 1, 0], 3.25.an_ef_azk 
(-13, 109, -640), [3, 1, 0], 3.25.an_ef_ayq 
(-13, 109, -615), [3, 1, 1], 3.25.an_ef_axr 
(-13, 111, -670), [3, 3, 2], 3.25.an_eh_azu 
(-13, 112, -665), [3, 0, 3], 3.25.an_ei_azp 
(-13, 112, -655), [3, 0, 1], 3.25.an_ei_azf 
(-13, 112, -645), [3, 0, 3], 3.25.an_ei_ayv 
(-13, 113, -680), [3, 1, 0], 3.25.an_ej_abae 
(-13, 113, -655), [3, 1, 1], 3.25.an_ej_azf 
(-13, 113, -635), [3, 1, 1], 3.25.an_ej_ayl 
(-13, 114, -665), [3, 2, 3], 3.25.an_ek_azp 
(-13, 114, -655), [3, 2, 1], 3.25.an_ek_azf 
(-13, 114, -635), [3, 2, 1], 3.25.an_ek_ayl 
