(-5, 9, -13), [3, 1, 3], 3.13.af_j_an 
(-5, 9, 0), [3, 1, 0], 3.13.af_j_a 
(-5, 9, 13), [3, 1, 1], 3.13.af_j_n 
(-5, 10, -26), [3, 2, 2], 3.13.af_k_aba 
(-5, 10, 0), [3, 2, 0], 3.13.af_k_a 
(-5, 11, -39), [3, 3, 1], 3.13.af_l_abn 
(-5, 11, -26), [3, 3, 2], 3.13.af_l_aba 
(-5, 11, -13), [3, 3, 3], 3.13.af_l_an 
(-5, 11, 0), [3, 3, 0], 3.13.af_l_a 
(-5, 12, -26), [3, 0, 2], 3.13.af_m_aba 
(-5, 12, 0), [3, 0, 0], 3.13.af_m_a 
(-5, 14, -52), [3, 2, 0], 3.13.af_o_aca 
(-5, 14, -26), [3, 2, 2], 3.13.af_o_aba 
(-5, 15, -65), [3, 3, 3], 3.13.af_p_acn 
(-5, 15, -52), [3, 3, 0], 3.13.af_p_aca 
(-5, 15, -39), [3, 3, 1], 3.13.af_p_abn 
(-5, 15, -26), [3, 3, 2], 3.13.af_p_aba 
(-5, 15, -13), [3, 3, 3], 3.13.af_p_an 
(-5, 16, -52), [3, 0, 0], 3.13.af_q_aca 
(-5, 16, -26), [3, 0, 2], 3.13.af_q_aba 
(-5, 17, -78), [3, 1, 2], 3.13.af_r_ada 
(-5, 17, -65), [3, 1, 3], 3.13.af_r_acn 
(-5, 17, -52), [3, 1, 0], 3.13.af_r_aca 
(-5, 17, -39), [3, 1, 1], 3.13.af_r_abn 
(-5, 18, -78), [3, 2, 2], 3.13.af_s_ada 
(-5, 18, -52), [3, 2, 0], 3.13.af_s_aca 
(-5, 18, -26), [3, 2, 2], 3.13.af_s_aba 
(-5, 19, -91), [3, 3, 1], 3.13.af_t_adn 
(-5, 19, -65), [3, 3, 3], 3.13.af_t_acn 
(-5, 19, -39), [3, 3, 1], 3.13.af_t_abn 
(-5, 20, -104), [3, 0, 0], 3.13.af_u_aea 
(-5, 20, -78), [3, 0, 2], 3.13.af_u_ada 
(-5, 21, -104), [3, 1, 0], 3.13.af_v_aea 
(-5, 21, -91), [3, 1, 1], 3.13.af_v_adn 
(-5, 21, -78), [3, 1, 2], 3.13.af_v_ada 
(-5, 21, -65), [3, 1, 3], 3.13.af_v_acn 
(-5, 21, -52), [3, 1, 0], 3.13.af_v_aca 
(-5, 21, -39), [3, 1, 1], 3.13.af_v_abn 
(-5, 22, -104), [3, 2, 0], 3.13.af_w_aea 
(-5, 22, -78), [3, 2, 2], 3.13.af_w_ada 
(-5, 22, -52), [3, 2, 0], 3.13.af_w_aca 
(-5, 23, -117), [3, 3, 3], 3.13.af_x_aen 
(-5, 23, -104), [3, 3, 0], 3.13.af_x_aea 
(-5, 23, -91), [3, 3, 1], 3.13.af_x_adn 
(-5, 23, -78), [3, 3, 2], 3.13.af_x_ada 
(-5, 23, -65), [3, 3, 3], 3.13.af_x_acn 
(-5, 23, -52), [3, 3, 0], 3.13.af_x_aca 
(-5, 24, -104), [3, 0, 0], 3.13.af_y_aea 
(-5, 24, -78), [3, 0, 2], 3.13.af_y_ada 
(-5, 25, -117), [3, 1, 3], 3.13.af_z_aen 
(-5, 25, -104), [3, 1, 0], 3.13.af_z_aea 
(-5, 25, -91), [3, 1, 1], 3.13.af_z_adn 
(-5, 25, -78), [3, 1, 2], 3.13.af_z_ada 
(-5, 25, -65), [3, 1, 3], 3.13.af_z_acn 
(-5, 27, -117), [3, 3, 3], 3.13.af_bb_aen 
(-5, 27, -104), [3, 3, 0], 3.13.af_bb_aea 
(-5, 27, -91), [3, 3, 1], 3.13.af_bb_adn 
(-5, 27, -78), [3, 3, 2], 3.13.af_bb_ada 
(-5, 28, -104), [3, 0, 0], 3.13.af_bc_aea 
(-5, 28, -78), [3, 0, 2], 3.13.af_bc_ada 
(-5, 29, -117), [3, 1, 3], 3.13.af_bd_aen 
(-5, 29, -104), [3, 1, 0], 3.13.af_bd_aea 
(-5, 29, -91), [3, 1, 1], 3.13.af_bd_adn 
(-5, 29, -78), [3, 1, 2], 3.13.af_bd_ada 
(-5, 30, -104), [3, 2, 0], 3.13.af_be_aea 
(-5, 31, -117), [3, 3, 3], 3.13.af_bf_aen 
(-5, 31, -104), [3, 3, 0], 3.13.af_bf_aea 
(-5, 31, -91), [3, 3, 1], 3.13.af_bf_adn 
(-5, 33, -117), [3, 1, 3], 3.13.af_bh_aen 
(-5, 33, -104), [3, 1, 0], 3.13.af_bh_aea 
(-5, 33, -91), [3, 1, 1], 3.13.af_bh_adn 
(-5, 34, -104), [3, 2, 0], 3.13.af_bi_aea 
(-5, 35, -117), [3, 3, 3], 3.13.af_bj_aen 
(-5, 35, -104), [3, 3, 0], 3.13.af_bj_aea 
(-5, 36, -104), [3, 0, 0], 3.13.af_bk_aea 
(-5, 37, -117), [3, 1, 3], 3.13.af_bl_aen 
(-4, -12, 104), [0, 0, 0], 3.13.ae_am_ea 
(-4, -11, 104), [0, 1, 0], 3.13.ae_al_ea 
(-4, -10, 104), [0, 2, 0], 3.13.ae_ak_ea 
(-4, -9, 78), [0, 3, 2], 3.13.ae_aj_da 
(-4, -9, 91), [0, 3, 3], 3.13.ae_aj_dn 
(-4, -9, 104), [0, 3, 0], 3.13.ae_aj_ea 
(-4, -8, 104), [0, 0, 0], 3.13.ae_ai_ea 
(-4, -7, 65), [0, 1, 1], 3.13.ae_ah_cn 
(-4, -7, 78), [0, 1, 2], 3.13.ae_ah_da 
(-4, -6, 78), [0, 2, 2], 3.13.ae_ag_da 
(-4, -5, 52), [0, 3, 0], 3.13.ae_af_ca 
(-4, -5, 65), [0, 3, 1], 3.13.ae_af_cn 
(-4, -5, 78), [0, 3, 2], 3.13.ae_af_da 
(-4, -4, 52), [0, 0, 0], 3.13.ae_ae_ca 
