(-4, 22, -119), [13, 5, 0], 3.17.ae_w_aep 
(-4, 22, -85), [13, 5, 0], 3.17.ae_w_adh 
(-4, 22, -51), [13, 5, 0], 3.17.ae_w_abz 
(-4, 22, -17), [13, 5, 0], 3.17.ae_w_ar 
(-4, 24, -153), [13, 7, 0], 3.17.ae_y_afx 
(-4, 24, -119), [13, 7, 0], 3.17.ae_y_aep 
(-4, 24, -85), [13, 7, 0], 3.17.ae_y_adh 
(-4, 24, -51), [13, 7, 0], 3.17.ae_y_abz 
(-4, 26, -153), [13, 9, 0], 3.17.ae_ba_afx 
(-4, 26, -119), [13, 9, 0], 3.17.ae_ba_aep 
(-4, 26, -85), [13, 9, 0], 3.17.ae_ba_adh 
(-4, 26, -51), [13, 9, 0], 3.17.ae_ba_abz 
(-4, 28, -153), [13, 11, 0], 3.17.ae_bc_afx 
(-4, 28, -119), [13, 11, 0], 3.17.ae_bc_aep 
(-4, 28, -85), [13, 11, 0], 3.17.ae_bc_adh 
(-4, 28, -51), [13, 11, 0], 3.17.ae_bc_abz 
(-4, 30, -153), [13, 13, 0], 3.17.ae_be_afx 
(-4, 30, -119), [13, 13, 0], 3.17.ae_be_aep 
(-4, 30, -85), [13, 13, 0], 3.17.ae_be_adh 
(-4, 32, -119), [13, 15, 0], 3.17.ae_bg_aep 
(-4, 32, -85), [13, 15, 0], 3.17.ae_bg_adh 
(-4, 36, -119), [13, 2, 0], 3.17.ae_bk_aep 
(-4, 36, -85), [13, 2, 0], 3.17.ae_bk_adh 
(-4, 38, -119), [13, 4, 0], 3.17.ae_bm_aep 
(-4, 38, -85), [13, 4, 0], 3.17.ae_bm_adh 
(-4, 40, -119), [13, 6, 0], 3.17.ae_bo_aep 
(-4, 42, -119), [13, 8, 0], 3.17.ae_bq_aep 
(-4, 44, -119), [13, 10, 0], 3.17.ae_bs_aep 
(-4, 46, -119), [13, 12, 0], 3.17.ae_bu_aep 
(-4, 48, -119), [13, 14, 0], 3.17.ae_bw_aep 
(-3, -14, 85), [14, 3, 0], 3.17.ad_ao_dh 
(-3, -14, 119), [14, 3, 0], 3.17.ad_ao_ep 
(-3, -12, 85), [14, 5, 0], 3.17.ad_am_dh 
(-3, -12, 119), [14, 5, 0], 3.17.ad_am_ep 
(-3, -10, 51), [14, 7, 0], 3.17.ad_ak_bz 
(-3, -10, 85), [14, 7, 0], 3.17.ad_ak_dh 
(-3, -10, 119), [14, 7, 0], 3.17.ad_ak_ep 
(-3, -8, 51), [14, 9, 0], 3.17.ad_ai_bz 
(-3, -8, 85), [14, 9, 0], 3.17.ad_ai_dh 
(-3, -8, 119), [14, 9, 0], 3.17.ad_ai_ep 
(-3, -6, 17), [14, 11, 0], 3.17.ad_ag_r 
(-3, -6, 51), [14, 11, 0], 3.17.ad_ag_bz 
(-3, -6, 85), [14, 11, 0], 3.17.ad_ag_dh 
(-3, -6, 119), [14, 11, 0], 3.17.ad_ag_ep 
(-3, -4, 17), [14, 13, 0], 3.17.ad_ae_r 
(-3, -4, 51), [14, 13, 0], 3.17.ad_ae_bz 
