(2, 4, -11), [2, 0, 1], 3.11.c_e_al 
(2, 4, 11), [2, 0, 3], 3.11.c_e_l 
(2, 4, 33), [2, 0, 1], 3.11.c_e_bh 
(2, 4, 55), [2, 0, 3], 3.11.c_e_cd 
(2, 6, -11), [2, 2, 1], 3.11.c_g_al 
(2, 6, 11), [2, 2, 3], 3.11.c_g_l 
(2, 6, 33), [2, 2, 1], 3.11.c_g_bh 
(2, 6, 55), [2, 2, 3], 3.11.c_g_cd 
(2, 8, -11), [2, 0, 1], 3.11.c_i_al 
(2, 8, 11), [2, 0, 3], 3.11.c_i_l 
(2, 8, 33), [2, 0, 1], 3.11.c_i_bh 
(2, 8, 55), [2, 0, 3], 3.11.c_i_cd 
(2, 8, 77), [2, 0, 1], 3.11.c_i_cz 
(2, 10, -11), [2, 2, 1], 3.11.c_k_al 
(2, 10, 11), [2, 2, 3], 3.11.c_k_l 
(2, 10, 33), [2, 2, 1], 3.11.c_k_bh 
(2, 10, 55), [2, 2, 3], 3.11.c_k_cd 
(2, 12, -11), [2, 0, 1], 3.11.c_m_al 
(2, 12, 11), [2, 0, 3], 3.11.c_m_l 
(2, 12, 33), [2, 0, 1], 3.11.c_m_bh 
(2, 12, 55), [2, 0, 3], 3.11.c_m_cd 
(2, 14, 11), [2, 2, 3], 3.11.c_o_l 
(2, 14, 33), [2, 2, 1], 3.11.c_o_bh 
(2, 14, 55), [2, 2, 3], 3.11.c_o_cd 
(2, 16, 11), [2, 0, 3], 3.11.c_q_l 
(2, 16, 33), [2, 0, 1], 3.11.c_q_bh 
