(-3, 1, 3), [6, 1, 3], 3.9.ad_b_d 
(-3, 1, 6), [6, 1, 6], 3.9.ad_b_g 
(-3, 1, 9), [6, 1, 0], 3.9.ad_b_j 
(-3, 1, 12), [6, 1, 3], 3.9.ad_b_m 
(-3, 1, 18), [6, 1, 0], 3.9.ad_b_s 
(-3, 1, 21), [6, 1, 3], 3.9.ad_b_v 
(-3, 1, 27), [6, 1, 0], 3.9.ad_b_bb 
(-3, 1, 30), [6, 1, 3], 3.9.ad_b_be 
(-3, 1, 33), [6, 1, 6], 3.9.ad_b_bh 
(-3, 2, -6), [6, 2, 3], 3.9.ad_c_ag 
(-3, 2, 6), [6, 2, 6], 3.9.ad_c_g 
(-3, 2, 18), [6, 2, 0], 3.9.ad_c_s 
(-3, 2, 24), [6, 2, 6], 3.9.ad_c_y 
(-3, 4, -18), [6, 4, 0], 3.9.ad_e_as 
(-3, 4, -12), [6, 4, 6], 3.9.ad_e_am 
(-3, 4, -6), [6, 4, 3], 3.9.ad_e_ag 
(-3, 4, 0), [6, 4, 0], 3.9.ad_e_a 
(-3, 4, 6), [6, 4, 6], 3.9.ad_e_g 
(-3, 4, 12), [6, 4, 3], 3.9.ad_e_m 
(-3, 4, 18), [6, 4, 0], 3.9.ad_e_s 
(-3, 5, -27), [6, 5, 0], 3.9.ad_f_abb 
(-3, 5, -21), [6, 5, 6], 3.9.ad_f_av 
(-3, 5, -18), [6, 5, 0], 3.9.ad_f_as 
(-3, 5, -15), [6, 5, 3], 3.9.ad_f_ap 
(-3, 5, -12), [6, 5, 6], 3.9.ad_f_am 
(-3, 5, -9), [6, 5, 0], 3.9.ad_f_aj 
(-3, 5, 0), [6, 5, 0], 3.9.ad_f_a 
(-3, 5, 9), [6, 5, 0], 3.9.ad_f_j 
(-3, 5, 15), [6, 5, 6], 3.9.ad_f_p 
(-3, 7, -39), [6, 7, 6], 3.9.ad_h_abn 
(-3, 7, -36), [6, 7, 0], 3.9.ad_h_abk 
(-3, 7, -33), [6, 7, 3], 3.9.ad_h_abh 
(-3, 7, -30), [6, 7, 6], 3.9.ad_h_abe 
(-3, 7, -27), [6, 7, 0], 3.9.ad_h_abb 
(-3, 7, -24), [6, 7, 3], 3.9.ad_h_ay 
(-3, 7, -21), [6, 7, 6], 3.9.ad_h_av 
(-3, 7, -18), [6, 7, 0], 3.9.ad_h_as 
(-3, 7, -15), [6, 7, 3], 3.9.ad_h_ap 
(-3, 7, -12), [6, 7, 6], 3.9.ad_h_am 
