(-9, 49, -216), [7, 1, 8], 3.16.aj_bx_aii 
(-9, 49, -208), [7, 1, 0], 3.16.aj_bx_aia 
(-9, 49, -204), [7, 1, 4], 3.16.aj_bx_ahw 
(-9, 49, -200), [7, 1, 8], 3.16.aj_bx_ahs 
(-9, 49, -196), [7, 1, 12], 3.16.aj_bx_aho 
(-9, 49, -192), [7, 1, 0], 3.16.aj_bx_ahk 
(-9, 49, -188), [7, 1, 4], 3.16.aj_bx_ahg 
(-9, 51, -244), [7, 3, 12], 3.16.aj_bz_ajk 
(-9, 51, -240), [7, 3, 0], 3.16.aj_bz_ajg 
(-9, 51, -236), [7, 3, 4], 3.16.aj_bz_ajc 
(-9, 51, -232), [7, 3, 8], 3.16.aj_bz_aiy 
(-9, 51, -228), [7, 3, 12], 3.16.aj_bz_aiu 
(-9, 51, -224), [7, 3, 0], 3.16.aj_bz_aiq 
(-9, 51, -216), [7, 3, 8], 3.16.aj_bz_aii 
(-9, 51, -212), [7, 3, 12], 3.16.aj_bz_aie 
(-9, 51, -208), [7, 3, 0], 3.16.aj_bz_aia 
(-9, 51, -204), [7, 3, 4], 3.16.aj_bz_ahw 
(-9, 51, -200), [7, 3, 8], 3.16.aj_bz_ahs 
(-9, 53, -260), [7, 5, 12], 3.16.aj_cb_aka 
(-9, 53, -256), [7, 5, 0], 3.16.aj_cb_ajw 
(-9, 53, -252), [7, 5, 4], 3.16.aj_cb_ajs 
(-9, 53, -248), [7, 5, 8], 3.16.aj_cb_ajo 
(-9, 53, -244), [7, 5, 12], 3.16.aj_cb_ajk 
(-9, 53, -240), [7, 5, 0], 3.16.aj_cb_ajg 
(-9, 53, -236), [7, 5, 4], 3.16.aj_cb_ajc 
(-9, 53, -232), [7, 5, 8], 3.16.aj_cb_aiy 
(-9, 53, -224), [7, 5, 0], 3.16.aj_cb_aiq 
(-9, 53, -220), [7, 5, 4], 3.16.aj_cb_aim 
(-9, 53, -216), [7, 5, 8], 3.16.aj_cb_aii 
(-9, 53, -212), [7, 5, 12], 3.16.aj_cb_aie 
(-9, 55, -276), [7, 7, 12], 3.16.aj_cd_akq 
(-9, 55, -272), [7, 7, 0], 3.16.aj_cd_akm 
(-9, 55, -268), [7, 7, 4], 3.16.aj_cd_aki 
(-9, 55, -264), [7, 7, 8], 3.16.aj_cd_ake 
(-9, 55, -260), [7, 7, 12], 3.16.aj_cd_aka 
(-9, 55, -256), [7, 7, 0], 3.16.aj_cd_ajw 
(-9, 55, -252), [7, 7, 4], 3.16.aj_cd_ajs 
(-9, 55, -248), [7, 7, 8], 3.16.aj_cd_ajo 
(-9, 55, -244), [7, 7, 12], 3.16.aj_cd_ajk 
(-9, 55, -240), [7, 7, 0], 3.16.aj_cd_ajg 
(-9, 55, -232), [7, 7, 8], 3.16.aj_cd_aiy 
(-9, 55, -228), [7, 7, 12], 3.16.aj_cd_aiu 
(-9, 55, -224), [7, 7, 0], 3.16.aj_cd_aiq 
(-9, 57, -284), [7, 9, 4], 3.16.aj_cf_aky 
(-9, 57, -280), [7, 9, 8], 3.16.aj_cf_aku 
(-9, 57, -276), [7, 9, 12], 3.16.aj_cf_akq 
(-9, 57, -272), [7, 9, 0], 3.16.aj_cf_akm 
(-9, 57, -268), [7, 9, 4], 3.16.aj_cf_aki 
(-9, 57, -264), [7, 9, 8], 3.16.aj_cf_ake 
(-9, 57, -260), [7, 9, 12], 3.16.aj_cf_aka 
(-9, 57, -256), [7, 9, 0], 3.16.aj_cf_ajw 
(-9, 57, -252), [7, 9, 4], 3.16.aj_cf_ajs 
(-9, 57, -248), [7, 9, 8], 3.16.aj_cf_ajo 
(-9, 57, -240), [7, 9, 0], 3.16.aj_cf_ajg 
(-9, 57, -236), [7, 9, 4], 3.16.aj_cf_ajc 
(-9, 57, -232), [7, 9, 8], 3.16.aj_cf_aiy 
(-9, 59, -284), [7, 11, 4], 3.16.aj_ch_aky 
(-9, 59, -280), [7, 11, 8], 3.16.aj_ch_aku 
(-9, 59, -276), [7, 11, 12], 3.16.aj_ch_akq 
(-9, 59, -272), [7, 11, 0], 3.16.aj_ch_akm 
(-9, 59, -268), [7, 11, 4], 3.16.aj_ch_aki 
(-9, 59, -264), [7, 11, 8], 3.16.aj_ch_ake 
(-9, 59, -260), [7, 11, 12], 3.16.aj_ch_aka 
(-9, 59, -256), [7, 11, 0], 3.16.aj_ch_ajw 
(-9, 59, -244), [7, 11, 12], 3.16.aj_ch_ajk 
(-9, 61, -292), [7, 13, 12], 3.16.aj_cj_alg 
(-9, 61, -284), [7, 13, 4], 3.16.aj_cj_aky 
(-9, 61, -280), [7, 13, 8], 3.16.aj_cj_aku 
(-9, 61, -276), [7, 13, 12], 3.16.aj_cj_akq 
(-9, 61, -272), [7, 13, 0], 3.16.aj_cj_akm 
(-9, 61, -268), [7, 13, 4], 3.16.aj_cj_aki 
(-9, 61, -264), [7, 13, 8], 3.16.aj_cj_ake 
(-9, 61, -256), [7, 13, 0], 3.16.aj_cj_ajw 
(-9, 63, -292), [7, 15, 12], 3.16.aj_cl_alg 
(-9, 63, -284), [7, 15, 4], 3.16.aj_cl_aky 
(-9, 63, -280), [7, 15, 8], 3.16.aj_cl_aku 
(-9, 63, -276), [7, 15, 12], 3.16.aj_cl_akq 
(-9, 63, -272), [7, 15, 0], 3.16.aj_cl_akm 
(-9, 63, -264), [7, 15, 8], 3.16.aj_cl_ake 
(-9, 65, -296), [7, 1, 8], 3.16.aj_cn_alk 
(-9, 65, -292), [7, 1, 12], 3.16.aj_cn_alg 
(-9, 65, -284), [7, 1, 4], 3.16.aj_cn_aky 
(-9, 67, -296), [7, 3, 8], 3.16.aj_cp_alk 
(-9, 67, -292), [7, 3, 12], 3.16.aj_cp_alg 
(-9, 69, -300), [7, 5, 4], 3.16.aj_cr_alo 
(-9, 69, -296), [7, 5, 8], 3.16.aj_cr_alk 
(-9, 71, -304), [7, 7, 0], 3.16.aj_ct_als 
(-8, 1, 124), [8, 1, 12], 3.16.ai_b_eu 
(-8, 5, 92), [8, 5, 12], 3.16.ai_f_do 
(-8, 13, 32), [8, 13, 0], 3.16.ai_n_bg 
(-8, 17, 0), [8, 1, 0], 3.16.ai_r_a 
(-8, 17, 8), [8, 1, 8], 3.16.ai_r_i 
(-8, 21, -24), [8, 5, 8], 3.16.ai_v_ay 
(-8, 25, -56), [8, 9, 8], 3.16.ai_z_ace 
(-8, 25, -44), [8, 9, 4], 3.16.ai_z_abs 
(-8, 29, -88), [8, 13, 8], 3.16.ai_bd_adk 
(-8, 29, -72), [8, 13, 8], 3.16.ai_bd_acu 
(-8, 33, -120), [8, 1, 8], 3.16.ai_bh_aeq 
(-8, 35, -120), [8, 3, 8], 3.16.ai_bj_aeq 
(-8, 37, -124), [8, 5, 4], 3.16.ai_bl_aeu 
(-8, 39, -132), [8, 7, 12], 3.16.ai_bn_afc 
(-8, 41, -184), [8, 9, 8], 3.16.ai_bp_ahc 
(-8, 41, -180), [8, 9, 12], 3.16.ai_bp_agy 
(-8, 41, -172), [8, 9, 4], 3.16.ai_bp_agq 
(-8, 41, -168), [8, 9, 8], 3.16.ai_bp_agm 
(-8, 45, -212), [8, 13, 12], 3.16.ai_bt_aie 
(-8, 45, -208), [8, 13, 0], 3.16.ai_bt_aia 
(-8, 45, -164), [8, 13, 12], 3.16.ai_bt_agi 
(-8, 47, -244), [8, 15, 12], 3.16.ai_bv_ajk 
(-8, 47, -184), [8, 15, 8], 3.16.ai_bv_ahc 
(-8, 49, -244), [8, 1, 12], 3.16.ai_bx_ajk 
(-8, 49, -200), [8, 1, 8], 3.16.ai_bx_ahs 
(-8, 51, -232), [8, 3, 8], 3.16.ai_bz_aiy 
(-8, 53, -248), [8, 5, 8], 3.16.ai_cb_ajo 
(-8, 53, -232), [8, 5, 8], 3.16.ai_cb_aiy 
(-8, 53, -220), [8, 5, 4], 3.16.ai_cb_aim 
(-8, 53, -216), [8, 5, 8], 3.16.ai_cb_aii 
(-8, 53, -208), [8, 5, 0], 3.16.ai_cb_aia 
(-8, 57, -232), [8, 9, 8], 3.16.ai_cf_aiy 
(-8, 61, -260), [8, 13, 12], 3.16.ai_cj_aka 
(-8, 61, -248), [8, 13, 8], 3.16.ai_cj_ajo 
(-8, 65, -264), [8, 1, 8], 3.16.ai_cn_ake 
(-7, -15, 220), [9, 1, 12], 3.16.ah_ap_im 
(-7, -13, 204), [9, 3, 12], 3.16.ah_an_hw 
(-7, -11, 188), [9, 5, 12], 3.16.ah_al_hg 
(-7, -9, 172), [9, 7, 12], 3.16.ah_aj_gq 
(-7, -9, 176), [9, 7, 0], 3.16.ah_aj_gu 
(-7, -7, 156), [9, 9, 12], 3.16.ah_ah_ga 
(-7, -7, 160), [9, 9, 0], 3.16.ah_ah_ge 
(-7, -5, 140), [9, 11, 12], 3.16.ah_af_fk 
(-7, -5, 144), [9, 11, 0], 3.16.ah_af_fo 
