(-5, 9, 13), [8, 9, 0], 3.13.af_j_n 
(-5, 10, -26), [8, 10, 0], 3.13.af_k_aba 
(-5, 10, 0), [8, 10, 0], 3.13.af_k_a 
(-5, 11, -39), [8, 11, 0], 3.13.af_l_abn 
(-5, 11, -26), [8, 11, 0], 3.13.af_l_aba 
(-5, 11, -13), [8, 11, 0], 3.13.af_l_an 
(-5, 11, 0), [8, 11, 0], 3.13.af_l_a 
(-5, 12, -26), [8, 12, 0], 3.13.af_m_aba 
(-5, 12, 0), [8, 12, 0], 3.13.af_m_a 
(-5, 14, -52), [8, 1, 0], 3.13.af_o_aca 
(-5, 14, -26), [8, 1, 0], 3.13.af_o_aba 
(-5, 15, -65), [8, 2, 0], 3.13.af_p_acn 
(-5, 15, -52), [8, 2, 0], 3.13.af_p_aca 
(-5, 15, -39), [8, 2, 0], 3.13.af_p_abn 
(-5, 15, -26), [8, 2, 0], 3.13.af_p_aba 
(-5, 15, -13), [8, 2, 0], 3.13.af_p_an 
(-5, 16, -52), [8, 3, 0], 3.13.af_q_aca 
(-5, 16, -26), [8, 3, 0], 3.13.af_q_aba 
(-5, 17, -78), [8, 4, 0], 3.13.af_r_ada 
(-5, 17, -65), [8, 4, 0], 3.13.af_r_acn 
(-5, 17, -52), [8, 4, 0], 3.13.af_r_aca 
(-5, 17, -39), [8, 4, 0], 3.13.af_r_abn 
(-5, 18, -78), [8, 5, 0], 3.13.af_s_ada 
(-5, 18, -52), [8, 5, 0], 3.13.af_s_aca 
(-5, 18, -26), [8, 5, 0], 3.13.af_s_aba 
(-5, 19, -91), [8, 6, 0], 3.13.af_t_adn 
(-5, 19, -65), [8, 6, 0], 3.13.af_t_acn 
(-5, 19, -39), [8, 6, 0], 3.13.af_t_abn 
(-5, 20, -104), [8, 7, 0], 3.13.af_u_aea 
(-5, 20, -78), [8, 7, 0], 3.13.af_u_ada 
(-5, 21, -104), [8, 8, 0], 3.13.af_v_aea 
(-5, 21, -91), [8, 8, 0], 3.13.af_v_adn 
(-5, 21, -78), [8, 8, 0], 3.13.af_v_ada 
(-5, 21, -65), [8, 8, 0], 3.13.af_v_acn 
(-5, 21, -52), [8, 8, 0], 3.13.af_v_aca 
(-5, 21, -39), [8, 8, 0], 3.13.af_v_abn 
(-5, 22, -104), [8, 9, 0], 3.13.af_w_aea 
(-5, 22, -78), [8, 9, 0], 3.13.af_w_ada 
(-5, 22, -52), [8, 9, 0], 3.13.af_w_aca 
(-5, 23, -117), [8, 10, 0], 3.13.af_x_aen 
(-5, 23, -104), [8, 10, 0], 3.13.af_x_aea 
(-5, 23, -91), [8, 10, 0], 3.13.af_x_adn 
(-5, 23, -78), [8, 10, 0], 3.13.af_x_ada 
(-5, 23, -65), [8, 10, 0], 3.13.af_x_acn 
(-5, 23, -52), [8, 10, 0], 3.13.af_x_aca 
(-5, 24, -104), [8, 11, 0], 3.13.af_y_aea 
(-5, 24, -78), [8, 11, 0], 3.13.af_y_ada 
(-5, 25, -117), [8, 12, 0], 3.13.af_z_aen 
(-5, 25, -104), [8, 12, 0], 3.13.af_z_aea 
(-5, 25, -91), [8, 12, 0], 3.13.af_z_adn 
(-5, 25, -78), [8, 12, 0], 3.13.af_z_ada 
(-5, 25, -65), [8, 12, 0], 3.13.af_z_acn 
(-5, 27, -117), [8, 1, 0], 3.13.af_bb_aen 
(-5, 27, -104), [8, 1, 0], 3.13.af_bb_aea 
(-5, 27, -91), [8, 1, 0], 3.13.af_bb_adn 
(-5, 27, -78), [8, 1, 0], 3.13.af_bb_ada 
(-5, 28, -104), [8, 2, 0], 3.13.af_bc_aea 
(-5, 28, -78), [8, 2, 0], 3.13.af_bc_ada 
(-5, 29, -117), [8, 3, 0], 3.13.af_bd_aen 
(-5, 29, -104), [8, 3, 0], 3.13.af_bd_aea 
(-5, 29, -91), [8, 3, 0], 3.13.af_bd_adn 
(-5, 29, -78), [8, 3, 0], 3.13.af_bd_ada 
(-5, 30, -104), [8, 4, 0], 3.13.af_be_aea 
(-5, 31, -117), [8, 5, 0], 3.13.af_bf_aen 
(-5, 31, -104), [8, 5, 0], 3.13.af_bf_aea 
(-5, 31, -91), [8, 5, 0], 3.13.af_bf_adn 
(-5, 33, -117), [8, 7, 0], 3.13.af_bh_aen 
(-5, 33, -104), [8, 7, 0], 3.13.af_bh_aea 
(-5, 33, -91), [8, 7, 0], 3.13.af_bh_adn 
(-5, 34, -104), [8, 8, 0], 3.13.af_bi_aea 
(-5, 35, -117), [8, 9, 0], 3.13.af_bj_aen 
(-5, 35, -104), [8, 9, 0], 3.13.af_bj_aea 
(-5, 36, -104), [8, 10, 0], 3.13.af_bk_aea 
(-5, 37, -117), [8, 11, 0], 3.13.af_bl_aen 
(-4, -12, 104), [9, 1, 0], 3.13.ae_am_ea 
(-4, -11, 104), [9, 2, 0], 3.13.ae_al_ea 
(-4, -10, 104), [9, 3, 0], 3.13.ae_ak_ea 
(-4, -9, 78), [9, 4, 0], 3.13.ae_aj_da 
(-4, -9, 91), [9, 4, 0], 3.13.ae_aj_dn 
(-4, -9, 104), [9, 4, 0], 3.13.ae_aj_ea 
(-4, -8, 104), [9, 5, 0], 3.13.ae_ai_ea 
(-4, -7, 65), [9, 6, 0], 3.13.ae_ah_cn 
(-4, -7, 78), [9, 6, 0], 3.13.ae_ah_da 
(-4, -6, 78), [9, 7, 0], 3.13.ae_ag_da 
(-4, -5, 52), [9, 8, 0], 3.13.ae_af_ca 
(-4, -5, 65), [9, 8, 0], 3.13.ae_af_cn 
(-4, -5, 78), [9, 8, 0], 3.13.ae_af_da 
(-4, -4, 52), [9, 9, 0], 3.13.ae_ae_ca 
(-4, -4, 78), [9, 9, 0], 3.13.ae_ae_da 
(-4, -3, 39), [9, 10, 0], 3.13.ae_ad_bn 
