(-8, 29, -85), [0, 1, 3], 3.17.ai_bd_adh 
(-8, 30, -102), [0, 2, 2], 3.17.ai_be_ady 
(-8, 31, -119), [0, 3, 1], 3.17.ai_bf_aep 
(-8, 31, -102), [0, 3, 2], 3.17.ai_bf_ady 
(-8, 31, -85), [0, 3, 3], 3.17.ai_bf_adh 
(-8, 33, -119), [0, 1, 1], 3.17.ai_bh_aep 
(-8, 33, -102), [0, 1, 2], 3.17.ai_bh_ady 
(-8, 35, -153), [0, 3, 3], 3.17.ai_bj_afx 
(-8, 35, -136), [0, 3, 0], 3.17.ai_bj_afg 
(-8, 35, -119), [0, 3, 1], 3.17.ai_bj_aep 
(-8, 36, -136), [0, 0, 0], 3.17.ai_bk_afg 
(-8, 37, -170), [0, 1, 2], 3.17.ai_bl_ago 
(-8, 37, -153), [0, 1, 3], 3.17.ai_bl_afx 
(-8, 37, -119), [0, 1, 1], 3.17.ai_bl_aep 
(-8, 38, -170), [0, 2, 2], 3.17.ai_bm_ago 
(-8, 38, -136), [0, 2, 0], 3.17.ai_bm_afg 
(-8, 39, -187), [0, 3, 1], 3.17.ai_bn_ahf 
(-8, 39, -170), [0, 3, 2], 3.17.ai_bn_ago 
(-8, 39, -153), [0, 3, 3], 3.17.ai_bn_afx 
(-8, 39, -136), [0, 3, 0], 3.17.ai_bn_afg 
(-8, 40, -170), [0, 0, 2], 3.17.ai_bo_ago 
(-8, 40, -136), [0, 0, 0], 3.17.ai_bo_afg 
(-8, 41, -204), [0, 1, 0], 3.17.ai_bp_ahw 
(-8, 41, -187), [0, 1, 1], 3.17.ai_bp_ahf 
(-8, 41, -170), [0, 1, 2], 3.17.ai_bp_ago 
(-8, 42, -204), [0, 2, 0], 3.17.ai_bq_ahw 
(-8, 42, -170), [0, 2, 2], 3.17.ai_bq_ago 
(-8, 43, -221), [0, 3, 3], 3.17.ai_br_ain 
(-8, 43, -204), [0, 3, 0], 3.17.ai_br_ahw 
(-8, 43, -187), [0, 3, 1], 3.17.ai_br_ahf 
(-8, 43, -170), [0, 3, 2], 3.17.ai_br_ago 
(-8, 43, -153), [0, 3, 3], 3.17.ai_br_afx 
(-8, 44, -204), [0, 0, 0], 3.17.ai_bs_ahw 
(-8, 44, -170), [0, 0, 2], 3.17.ai_bs_ago 
(-8, 45, -238), [0, 1, 2], 3.17.ai_bt_aje 
(-8, 45, -221), [0, 1, 3], 3.17.ai_bt_ain 
(-8, 45, -204), [0, 1, 0], 3.17.ai_bt_ahw 
(-8, 45, -187), [0, 1, 1], 3.17.ai_bt_ahf 
(-8, 45, -170), [0, 1, 2], 3.17.ai_bt_ago 
(-8, 46, -204), [0, 2, 0], 3.17.ai_bu_ahw 
(-8, 47, -255), [0, 3, 1], 3.17.ai_bv_ajv 
(-8, 47, -238), [0, 3, 2], 3.17.ai_bv_aje 
(-8, 47, -221), [0, 3, 3], 3.17.ai_bv_ain 
(-8, 47, -204), [0, 3, 0], 3.17.ai_bv_ahw 
(-8, 47, -187), [0, 3, 1], 3.17.ai_bv_ahf 
(-8, 48, -204), [0, 0, 0], 3.17.ai_bw_ahw 
(-8, 49, -255), [0, 1, 1], 3.17.ai_bx_ajv 
(-8, 49, -238), [0, 1, 2], 3.17.ai_bx_aje 
(-8, 49, -204), [0, 1, 0], 3.17.ai_bx_ahw 
(-8, 50, -238), [0, 2, 2], 3.17.ai_by_aje 
(-8, 52, -238), [0, 0, 2], 3.17.ai_ca_aje 
(-8, 52, -204), [0, 0, 0], 3.17.ai_ca_ahw 
(-8, 53, -255), [0, 1, 1], 3.17.ai_cb_ajv 
(-8, 53, -238), [0, 1, 2], 3.17.ai_cb_aje 
(-8, 53, -221), [0, 1, 3], 3.17.ai_cb_ain 
(-8, 54, -238), [0, 2, 2], 3.17.ai_cc_aje 
(-8, 55, -255), [0, 3, 1], 3.17.ai_cd_ajv 
(-8, 55, -238), [0, 3, 2], 3.17.ai_cd_aje 
(-8, 55, -221), [0, 3, 3], 3.17.ai_cd_ain 
(-8, 56, -238), [0, 0, 2], 3.17.ai_ce_aje 
(-8, 57, -255), [0, 1, 1], 3.17.ai_cf_ajv 
(-8, 57, -238), [0, 1, 2], 3.17.ai_cf_aje 
(-8, 58, -238), [0, 2, 2], 3.17.ai_cg_aje 
(-8, 59, -238), [0, 3, 2], 3.17.ai_ch_aje 
(-8, 61, -255), [0, 1, 1], 3.17.ai_cj_ajv 
(-7, -12, 204), [1, 0, 0], 3.17.ah_am_hw 
(-7, -5, 153), [1, 3, 1], 3.17.ah_af_fx 
(-7, -4, 136), [1, 0, 0], 3.17.ah_ae_fg 
(-7, -3, 136), [1, 1, 0], 3.17.ah_ad_fg 
(-7, -1, 119), [1, 3, 3], 3.17.ah_ab_ep 
(-7, 1, 102), [1, 1, 2], 3.17.ah_b_dy 
(-7, 2, 102), [1, 2, 2], 3.17.ah_c_dy 
(-7, 3, 85), [1, 3, 1], 3.17.ah_d_dh 
(-7, 4, 68), [1, 0, 0], 3.17.ah_e_cq 
(-7, 5, 68), [1, 1, 0], 3.17.ah_f_cq 
(-7, 7, 51), [1, 3, 3], 3.17.ah_h_bz 
(-7, 7, 68), [1, 3, 0], 3.17.ah_h_cq 
(-7, 8, 34), [1, 0, 2], 3.17.ah_i_bi 
(-7, 9, 51), [1, 1, 3], 3.17.ah_j_bz 
(-7, 10, 34), [1, 2, 2], 3.17.ah_k_bi 
(-7, 11, 17), [1, 3, 1], 3.17.ah_l_r 
(-7, 11, 34), [1, 3, 2], 3.17.ah_l_bi 
(-7, 12, 0), [1, 0, 0], 3.17.ah_m_a 
(-7, 12, 34), [1, 0, 2], 3.17.ah_m_bi 
(-7, 13, 0), [1, 1, 0], 3.17.ah_n_a 
(-7, 13, 17), [1, 1, 1], 3.17.ah_n_r 
(-7, 14, 0), [1, 2, 0], 3.17.ah_o_a 
(-7, 15, -17), [1, 3, 3], 3.17.ah_p_ar 
(-7, 15, 0), [1, 3, 0], 3.17.ah_p_a 
(-7, 15, 17), [1, 3, 1], 3.17.ah_p_r 
(-7, 16, -34), [1, 0, 2], 3.17.ah_q_abi 
(-7, 16, 0), [1, 0, 0], 3.17.ah_q_a 
(-7, 18, -34), [1, 2, 2], 3.17.ah_s_abi 
(-7, 19, -51), [1, 3, 1], 3.17.ah_t_abz 
(-7, 19, -34), [1, 3, 2], 3.17.ah_t_abi 
(-7, 19, -17), [1, 3, 3], 3.17.ah_t_ar 
(-7, 20, -34), [1, 0, 2], 3.17.ah_u_abi 
(-7, 21, -68), [1, 1, 0], 3.17.ah_v_acq 
(-7, 21, -51), [1, 1, 1], 3.17.ah_v_abz 
(-7, 21, -34), [1, 1, 2], 3.17.ah_v_abi 
(-7, 22, -68), [1, 2, 0], 3.17.ah_w_acq 
(-7, 22, -34), [1, 2, 2], 3.17.ah_w_abi 
(-7, 23, -85), [1, 3, 3], 3.17.ah_x_adh 
(-7, 23, -68), [1, 3, 0], 3.17.ah_x_acq 
(-7, 23, -51), [1, 3, 1], 3.17.ah_x_abz 
(-7, 24, -68), [1, 0, 0], 3.17.ah_y_acq 
(-7, 25, -102), [1, 1, 2], 3.17.ah_z_ady 
(-7, 25, -85), [1, 1, 3], 3.17.ah_z_adh 
(-7, 25, -51), [1, 1, 1], 3.17.ah_z_abz 
(-7, 26, -68), [1, 2, 0], 3.17.ah_ba_acq 
(-7, 27, -119), [1, 3, 1], 3.17.ah_bb_aep 
(-7, 27, -102), [1, 3, 2], 3.17.ah_bb_ady 
(-7, 27, -85), [1, 3, 3], 3.17.ah_bb_adh 
(-7, 28, -102), [1, 0, 2], 3.17.ah_bc_ady 
(-7, 28, -68), [1, 0, 0], 3.17.ah_bc_acq 
(-7, 29, -119), [1, 1, 1], 3.17.ah_bd_aep 
(-7, 29, -85), [1, 1, 3], 3.17.ah_bd_adh 
(-7, 30, -136), [1, 2, 0], 3.17.ah_be_afg 
(-7, 30, -102), [1, 2, 2], 3.17.ah_be_ady 
(-7, 31, -153), [1, 3, 3], 3.17.ah_bf_afx 
(-7, 31, -136), [1, 3, 0], 3.17.ah_bf_afg 
(-7, 31, -119), [1, 3, 1], 3.17.ah_bf_aep 
(-7, 31, -102), [1, 3, 2], 3.17.ah_bf_ady 
(-7, 31, -85), [1, 3, 3], 3.17.ah_bf_adh 
(-7, 32, -136), [1, 0, 0], 3.17.ah_bg_afg 
(-7, 32, -102), [1, 0, 2], 3.17.ah_bg_ady 
(-7, 33, -170), [1, 1, 2], 3.17.ah_bh_ago 
(-7, 33, -153), [1, 1, 3], 3.17.ah_bh_afx 
(-7, 33, -136), [1, 1, 0], 3.17.ah_bh_afg 
(-7, 33, -119), [1, 1, 1], 3.17.ah_bh_aep 
(-7, 33, -102), [1, 1, 2], 3.17.ah_bh_ady 
(-7, 35, -187), [1, 3, 1], 3.17.ah_bj_ahf 
(-7, 35, -170), [1, 3, 2], 3.17.ah_bj_ago 
(-7, 35, -153), [1, 3, 3], 3.17.ah_bj_afx 
(-7, 35, -136), [1, 3, 0], 3.17.ah_bj_afg 
(-7, 35, -119), [1, 3, 1], 3.17.ah_bj_aep 
(-7, 36, -170), [1, 0, 2], 3.17.ah_bk_ago 
(-7, 36, -136), [1, 0, 0], 3.17.ah_bk_afg 
(-7, 37, -204), [1, 1, 0], 3.17.ah_bl_ahw 
(-7, 37, -187), [1, 1, 1], 3.17.ah_bl_ahf 
(-7, 37, -170), [1, 1, 2], 3.17.ah_bl_ago 
(-7, 37, -153), [1, 1, 3], 3.17.ah_bl_afx 
(-7, 37, -136), [1, 1, 0], 3.17.ah_bl_afg 
(-7, 37, -119), [1, 1, 1], 3.17.ah_bl_aep 
(-7, 38, -204), [1, 2, 0], 3.17.ah_bm_ahw 
(-7, 38, -170), [1, 2, 2], 3.17.ah_bm_ago 
(-7, 38, -136), [1, 2, 0], 3.17.ah_bm_afg 
(-7, 39, -221), [1, 3, 3], 3.17.ah_bn_ain 
(-7, 39, -204), [1, 3, 0], 3.17.ah_bn_ahw 
(-7, 39, -187), [1, 3, 1], 3.17.ah_bn_ahf 
(-7, 39, -170), [1, 3, 2], 3.17.ah_bn_ago 
(-7, 39, -153), [1, 3, 3], 3.17.ah_bn_afx 
(-7, 39, -136), [1, 3, 0], 3.17.ah_bn_afg 
(-7, 40, -204), [1, 0, 0], 3.17.ah_bo_ahw 
(-7, 40, -170), [1, 0, 2], 3.17.ah_bo_ago 
(-7, 41, -221), [1, 1, 3], 3.17.ah_bp_ain 
(-7, 41, -204), [1, 1, 0], 3.17.ah_bp_ahw 
(-7, 41, -187), [1, 1, 1], 3.17.ah_bp_ahf 
(-7, 41, -170), [1, 1, 2], 3.17.ah_bp_ago 
(-7, 41, -153), [1, 1, 3], 3.17.ah_bp_afx 
(-7, 42, -204), [1, 2, 0], 3.17.ah_bq_ahw 
(-7, 42, -170), [1, 2, 2], 3.17.ah_bq_ago 
(-7, 43, -221), [1, 3, 3], 3.17.ah_br_ain 
(-7, 43, -204), [1, 3, 0], 3.17.ah_br_ahw 
(-7, 43, -187), [1, 3, 1], 3.17.ah_br_ahf 
(-7, 43, -170), [1, 3, 2], 3.17.ah_br_ago 
(-7, 43, -153), [1, 3, 3], 3.17.ah_br_afx 
(-7, 44, -170), [1, 0, 2], 3.17.ah_bs_ago 
(-7, 45, -221), [1, 1, 3], 3.17.ah_bt_ain 
(-7, 45, -204), [1, 1, 0], 3.17.ah_bt_ahw 
(-7, 45, -187), [1, 1, 1], 3.17.ah_bt_ahf 
(-7, 45, -170), [1, 1, 2], 3.17.ah_bt_ago 
(-7, 46, -204), [1, 2, 0], 3.17.ah_bu_ahw 
(-7, 47, -221), [1, 3, 3], 3.17.ah_bv_ain 
(-7, 47, -204), [1, 3, 0], 3.17.ah_bv_ahw 
(-7, 47, -187), [1, 3, 1], 3.17.ah_bv_ahf 
(-7, 47, -170), [1, 3, 2], 3.17.ah_bv_ago 
(-7, 48, -204), [1, 0, 0], 3.17.ah_bw_ahw 
(-7, 49, -221), [1, 1, 3], 3.17.ah_bx_ain 
(-7, 49, -204), [1, 1, 0], 3.17.ah_bx_ahw 
(-7, 49, -187), [1, 1, 1], 3.17.ah_bx_ahf 
(-7, 52, -204), [1, 0, 0], 3.17.ah_ca_ahw 
(-7, 53, -221), [1, 1, 3], 3.17.ah_cb_ain 
(-7, 53, -204), [1, 1, 0], 3.17.ah_cb_ahw 
(-7, 54, -204), [1, 2, 0], 3.17.ah_cc_ahw 
(-7, 55, -221), [1, 3, 3], 3.17.ah_cd_ain 
(-7, 57, -221), [1, 1, 3], 3.17.ah_cf_ain 
(-6, -15, 204), [2, 1, 0], 3.17.ag_ap_hw 
(-6, -13, 187), [2, 3, 3], 3.17.ag_an_hf 
(-6, -12, 170), [2, 0, 2], 3.17.ag_am_go 
(-6, -11, 170), [2, 1, 2], 3.17.ag_al_go 
(-6, -10, 170), [2, 2, 2], 3.17.ag_ak_go 
(-6, -9, 153), [2, 3, 1], 3.17.ag_aj_fx 
(-6, -8, 136), [2, 0, 0], 3.17.ag_ai_fg 
(-6, -7, 136), [2, 1, 0], 3.17.ag_ah_fg 
(-6, -6, 136), [2, 2, 0], 3.17.ag_ag_fg 
(-6, -5, 119), [2, 3, 3], 3.17.ag_af_ep 
(-6, -5, 136), [2, 3, 0], 3.17.ag_af_fg 
(-6, -4, 102), [2, 0, 2], 3.17.ag_ae_dy 
(-6, -3, 102), [2, 1, 2], 3.17.ag_ad_dy 
(-6, -3, 119), [2, 1, 3], 3.17.ag_ad_ep 
(-6, -2, 102), [2, 2, 2], 3.17.ag_ac_dy 
(-6, -1, 85), [2, 3, 1], 3.17.ag_ab_dh 
(-6, -1, 102), [2, 3, 2], 3.17.ag_ab_dy 
(-6, 1, 85), [2, 1, 1], 3.17.ag_b_dh 
(-6, 2, 68), [2, 2, 0], 3.17.ag_c_cq 
(-6, 3, 51), [2, 3, 3], 3.17.ag_d_bz 
(-6, 3, 68), [2, 3, 0], 3.17.ag_d_cq 
(-6, 4, 34), [2, 0, 2], 3.17.ag_e_bi 
(-6, 4, 68), [2, 0, 0], 3.17.ag_e_cq 
(-6, 5, 34), [2, 1, 2], 3.17.ag_f_bi 
(-6, 5, 68), [2, 1, 0], 3.17.ag_f_cq 
(-6, 6, 34), [2, 2, 2], 3.17.ag_g_bi 
(-6, 7, 17), [2, 3, 1], 3.17.ag_h_r 
(-6, 7, 34), [2, 3, 2], 3.17.ag_h_bi 
(-6, 7, 51), [2, 3, 3], 3.17.ag_h_bz 
(-6, 8, 34), [2, 0, 2], 3.17.ag_i_bi 
(-6, 9, 0), [2, 1, 0], 3.17.ag_j_a 
(-6, 9, 17), [2, 1, 1], 3.17.ag_j_r 
