(-8, 61, -266), [11, 4, 0], 3.19.ai_cj_akg 
(-8, 62, -266), [11, 5, 0], 3.19.ai_ck_akg 
(-8, 63, -285), [11, 6, 0], 3.19.ai_cl_akz 
(-8, 63, -266), [11, 6, 0], 3.19.ai_cl_akg 
(-8, 64, -266), [11, 7, 0], 3.19.ai_cm_akg 
(-8, 65, -285), [11, 8, 0], 3.19.ai_cn_akz 
(-7, -14, 228), [12, 5, 0], 3.19.ah_ao_iu 
(-7, -13, 228), [12, 6, 0], 3.19.ah_an_iu 
(-7, -11, 209), [12, 8, 0], 3.19.ah_al_ib 
(-7, -10, 190), [12, 9, 0], 3.19.ah_ak_hi 
(-7, -9, 190), [12, 10, 0], 3.19.ah_aj_hi 
(-7, -7, 171), [12, 12, 0], 3.19.ah_ah_gp 
(-7, -5, 152), [12, 14, 0], 3.19.ah_af_fw 
(-7, -4, 152), [12, 15, 0], 3.19.ah_ae_fw 
(-7, -3, 133), [12, 16, 0], 3.19.ah_ad_fd 
(-7, -3, 152), [12, 16, 0], 3.19.ah_ad_fw 
