(-1, 4, 13), [12, 4, 0], 3.13.ab_e_n 
(-1, 4, 39), [12, 4, 0], 3.13.ab_e_bn 
(-1, 4, 65), [12, 4, 0], 3.13.ab_e_cn 
(-1, 6, -65), [12, 6, 0], 3.13.ab_g_acn 
(-1, 6, -39), [12, 6, 0], 3.13.ab_g_abn 
(-1, 6, -13), [12, 6, 0], 3.13.ab_g_an 
(-1, 6, 13), [12, 6, 0], 3.13.ab_g_n 
(-1, 8, -65), [12, 8, 0], 3.13.ab_i_acn 
(-1, 8, -39), [12, 8, 0], 3.13.ab_i_abn 
(-1, 8, -13), [12, 8, 0], 3.13.ab_i_an 
(-1, 8, 13), [12, 8, 0], 3.13.ab_i_n 
(-1, 8, 39), [12, 8, 0], 3.13.ab_i_bn 
(-1, 10, -65), [12, 10, 0], 3.13.ab_k_acn 
(-1, 10, -39), [12, 10, 0], 3.13.ab_k_abn 
(-1, 10, -13), [12, 10, 0], 3.13.ab_k_an 
(-1, 10, 13), [12, 10, 0], 3.13.ab_k_n 
(-1, 10, 39), [12, 10, 0], 3.13.ab_k_bn 
(-1, 12, -65), [12, 12, 0], 3.13.ab_m_acn 
(-1, 12, -39), [12, 12, 0], 3.13.ab_m_abn 
(-1, 12, -13), [12, 12, 0], 3.13.ab_m_an 
(-1, 12, 13), [12, 12, 0], 3.13.ab_m_n 
(-1, 14, -39), [12, 1, 0], 3.13.ab_o_abn 
(-1, 14, -13), [12, 1, 0], 3.13.ab_o_an 
(-1, 14, 13), [12, 1, 0], 3.13.ab_o_n 
(-1, 16, -39), [12, 3, 0], 3.13.ab_q_abn 
(-1, 16, -13), [12, 3, 0], 3.13.ab_q_an 
(-1, 16, 13), [12, 3, 0], 3.13.ab_q_n 
(-1, 18, -39), [12, 5, 0], 3.13.ab_s_abn 
(-1, 18, -13), [12, 5, 0], 3.13.ab_s_an 
(-1, 18, 13), [12, 5, 0], 3.13.ab_s_n 
(-1, 20, -39), [12, 7, 0], 3.13.ab_u_abn 
(-1, 20, -13), [12, 7, 0], 3.13.ab_u_an 
(-1, 22, -39), [12, 9, 0], 3.13.ab_w_abn 
(-1, 22, -13), [12, 9, 0], 3.13.ab_w_an 
(-1, 24, -13), [12, 11, 0], 3.13.ab_y_an 
(-1, 28, -13), [12, 2, 0], 3.13.ab_bc_an 
(-1, 30, -13), [12, 4, 0], 3.13.ab_be_an 
(0, -10, -13), [0, 3, 0], 3.13.a_ak_an 
(0, -10, 13), [0, 3, 0], 3.13.a_ak_n 
(0, -8, -13), [0, 5, 0], 3.13.a_ai_an 
(0, -8, 13), [0, 5, 0], 3.13.a_ai_n 
(0, -6, -39), [0, 7, 0], 3.13.a_ag_abn 
(0, -6, -13), [0, 7, 0], 3.13.a_ag_an 
(0, -6, 13), [0, 7, 0], 3.13.a_ag_n 
(0, -6, 39), [0, 7, 0], 3.13.a_ag_bn 
(0, -4, -39), [0, 9, 0], 3.13.a_ae_abn 
(0, -4, -13), [0, 9, 0], 3.13.a_ae_an 
(0, -4, 13), [0, 9, 0], 3.13.a_ae_n 
(0, -4, 39), [0, 9, 0], 3.13.a_ae_bn 
(0, -2, -65), [0, 11, 0], 3.13.a_ac_acn 
(0, -2, -39), [0, 11, 0], 3.13.a_ac_abn 
(0, -2, -13), [0, 11, 0], 3.13.a_ac_an 
(0, -2, 13), [0, 11, 0], 3.13.a_ac_n 
(0, -2, 39), [0, 11, 0], 3.13.a_ac_bn 
(0, -2, 65), [0, 11, 0], 3.13.a_ac_cn 
(0, 2, -65), [0, 2, 0], 3.13.a_c_acn 
(0, 2, -39), [0, 2, 0], 3.13.a_c_abn 
(0, 2, -13), [0, 2, 0], 3.13.a_c_an 
(0, 2, 13), [0, 2, 0], 3.13.a_c_n 
(0, 2, 39), [0, 2, 0], 3.13.a_c_bn 
(0, 2, 65), [0, 2, 0], 3.13.a_c_cn 
(0, 4, -65), [0, 4, 0], 3.13.a_e_acn 
(0, 4, -39), [0, 4, 0], 3.13.a_e_abn 
(0, 4, -13), [0, 4, 0], 3.13.a_e_an 
(0, 4, 13), [0, 4, 0], 3.13.a_e_n 
(0, 4, 39), [0, 4, 0], 3.13.a_e_bn 
(0, 4, 65), [0, 4, 0], 3.13.a_e_cn 
(0, 6, -65), [0, 6, 0], 3.13.a_g_acn 
(0, 6, -39), [0, 6, 0], 3.13.a_g_abn 
(0, 6, -13), [0, 6, 0], 3.13.a_g_an 
(0, 6, 13), [0, 6, 0], 3.13.a_g_n 
(0, 6, 39), [0, 6, 0], 3.13.a_g_bn 
(0, 6, 65), [0, 6, 0], 3.13.a_g_cn 
(0, 8, -65), [0, 8, 0], 3.13.a_i_acn 
(0, 8, -39), [0, 8, 0], 3.13.a_i_abn 
