(-8, 60, -299), [15, 14, 0], 3.23.ai_ci_aln 
(-8, 60, -253), [15, 14, 0], 3.23.ai_ci_ajt 
(-8, 62, -345), [15, 16, 0], 3.23.ai_ck_anh 
(-8, 62, -299), [15, 16, 0], 3.23.ai_ck_aln 
(-8, 64, -345), [15, 18, 0], 3.23.ai_cm_anh 
(-8, 64, -299), [15, 18, 0], 3.23.ai_cm_aln 
(-8, 66, -345), [15, 20, 0], 3.23.ai_co_anh 
(-8, 66, -299), [15, 20, 0], 3.23.ai_co_aln 
(-8, 68, -345), [15, 22, 0], 3.23.ai_cq_anh 
(-8, 68, -299), [15, 22, 0], 3.23.ai_cq_aln 
(-8, 70, -345), [15, 1, 0], 3.23.ai_cs_anh 
(-8, 70, -299), [15, 1, 0], 3.23.ai_cs_aln 
(-8, 72, -345), [15, 3, 0], 3.23.ai_cu_anh 
(-8, 74, -345), [15, 5, 0], 3.23.ai_cw_anh 
(-8, 76, -345), [15, 7, 0], 3.23.ai_cy_anh 
(-8, 78, -345), [15, 9, 0], 3.23.ai_da_anh 
(-7, -21, 322), [16, 2, 0], 3.23.ah_av_mk 
(-7, -20, 299), [16, 3, 0], 3.23.ah_au_ln 
(-7, -14, 253), [16, 9, 0], 3.23.ah_ao_jt 
(-7, -12, 253), [16, 11, 0], 3.23.ah_am_jt 
(-7, -10, 207), [16, 13, 0], 3.23.ah_ak_hz 
(-7, -8, 207), [16, 15, 0], 3.23.ah_ai_hz 
(-7, -6, 161), [16, 17, 0], 3.23.ah_ag_gf 
(-7, -6, 207), [16, 17, 0], 3.23.ah_ag_hz 
(-7, -4, 161), [16, 19, 0], 3.23.ah_ae_gf 
(-7, -2, 161), [16, 21, 0], 3.23.ah_ac_gf 
(-7, 2, 115), [16, 2, 0], 3.23.ah_c_el 
(-7, 4, 69), [16, 4, 0], 3.23.ah_e_cr 
(-7, 4, 115), [16, 4, 0], 3.23.ah_e_el 
(-7, 6, 69), [16, 6, 0], 3.23.ah_g_cr 
(-7, 6, 115), [16, 6, 0], 3.23.ah_g_el 
(-7, 8, 69), [16, 8, 0], 3.23.ah_i_cr 
(-7, 10, 69), [16, 10, 0], 3.23.ah_k_cr 
(-7, 12, 23), [16, 12, 0], 3.23.ah_m_x 
(-7, 12, 69), [16, 12, 0], 3.23.ah_m_cr 
(-7, 14, -23), [16, 14, 0], 3.23.ah_o_ax 
(-7, 14, 23), [16, 14, 0], 3.23.ah_o_x 
(-7, 16, -23), [16, 16, 0], 3.23.ah_q_ax 
(-7, 16, 23), [16, 16, 0], 3.23.ah_q_x 
(-7, 18, -69), [16, 18, 0], 3.23.ah_s_acr 
(-7, 18, -23), [16, 18, 0], 3.23.ah_s_ax 
(-7, 18, 23), [16, 18, 0], 3.23.ah_s_x 
(-7, 20, -69), [16, 20, 0], 3.23.ah_u_acr 
(-7, 20, -23), [16, 20, 0], 3.23.ah_u_ax 
(-7, 22, -69), [16, 22, 0], 3.23.ah_w_acr 
(-7, 22, -23), [16, 22, 0], 3.23.ah_w_ax 
(-7, 24, -115), [16, 1, 0], 3.23.ah_y_ael 
(-7, 24, -69), [16, 1, 0], 3.23.ah_y_acr 
(-7, 24, -23), [16, 1, 0], 3.23.ah_y_ax 
(-7, 26, -115), [16, 3, 0], 3.23.ah_ba_ael 
(-7, 26, -69), [16, 3, 0], 3.23.ah_ba_acr 
(-7, 26, -23), [16, 3, 0], 3.23.ah_ba_ax 
(-7, 28, -161), [16, 5, 0], 3.23.ah_bc_agf 
(-7, 28, -69), [16, 5, 0], 3.23.ah_bc_acr 
(-7, 30, -161), [16, 7, 0], 3.23.ah_be_agf 
(-7, 30, -115), [16, 7, 0], 3.23.ah_be_ael 
(-7, 30, -69), [16, 7, 0], 3.23.ah_be_acr 
(-7, 32, -161), [16, 9, 0], 3.23.ah_bg_agf 
(-7, 32, -115), [16, 9, 0], 3.23.ah_bg_ael 
(-7, 32, -69), [16, 9, 0], 3.23.ah_bg_acr 
(-7, 34, -207), [16, 11, 0], 3.23.ah_bi_ahz 
