(-3, 10, -22), [8, 10, 0], 3.11.ad_k_aw 
(-3, 10, 0), [8, 10, 0], 3.11.ad_k_a 
(-3, 12, -44), [8, 1, 0], 3.11.ad_m_abs 
(-3, 12, -22), [8, 1, 0], 3.11.ad_m_aw 
(-3, 12, 0), [8, 1, 0], 3.11.ad_m_a 
(-3, 13, -77), [8, 2, 0], 3.11.ad_n_acz 
(-3, 13, -55), [8, 2, 0], 3.11.ad_n_acd 
(-3, 13, -33), [8, 2, 0], 3.11.ad_n_abh 
(-3, 13, -11), [8, 2, 0], 3.11.ad_n_al 
(-3, 14, -44), [8, 3, 0], 3.11.ad_o_abs 
(-3, 14, -22), [8, 3, 0], 3.11.ad_o_aw 
(-3, 15, -77), [8, 4, 0], 3.11.ad_p_acz 
(-3, 15, -55), [8, 4, 0], 3.11.ad_p_acd 
(-3, 15, -44), [8, 4, 0], 3.11.ad_p_abs 
(-3, 15, -33), [8, 4, 0], 3.11.ad_p_abh 
(-3, 15, -22), [8, 4, 0], 3.11.ad_p_aw 
(-3, 15, -11), [8, 4, 0], 3.11.ad_p_al 
(-3, 16, -44), [8, 5, 0], 3.11.ad_q_abs 
(-3, 17, -77), [8, 6, 0], 3.11.ad_r_acz 
(-3, 17, -55), [8, 6, 0], 3.11.ad_r_acd 
(-3, 17, -44), [8, 6, 0], 3.11.ad_r_abs 
(-3, 17, -33), [8, 6, 0], 3.11.ad_r_abh 
(-3, 17, -22), [8, 6, 0], 3.11.ad_r_aw 
(-3, 18, -44), [8, 7, 0], 3.11.ad_s_abs 
(-3, 19, -55), [8, 8, 0], 3.11.ad_t_acd 
(-3, 19, -44), [8, 8, 0], 3.11.ad_t_abs 
(-3, 19, -33), [8, 8, 0], 3.11.ad_t_abh 
(-3, 20, -44), [8, 9, 0], 3.11.ad_u_abs 
(-3, 21, -55), [8, 10, 0], 3.11.ad_v_acd 
(-3, 21, -44), [8, 10, 0], 3.11.ad_v_abs 
(-3, 21, -33), [8, 10, 0], 3.11.ad_v_abh 
(-3, 23, -55), [8, 1, 0], 3.11.ad_x_acd 
(-3, 23, -44), [8, 1, 0], 3.11.ad_x_abs 
(-3, 25, -55), [8, 3, 0], 3.11.ad_z_acd 
(-3, 25, -44), [8, 3, 0], 3.11.ad_z_abs 
(-3, 27, -55), [8, 5, 0], 3.11.ad_bb_acd 
(-3, 29, -55), [8, 7, 0], 3.11.ad_bd_acd 
(-2, -10, 44), [9, 1, 0], 3.11.ac_ak_bs 
(-2, -9, 33), [9, 2, 0], 3.11.ac_aj_bh 
(-2, -9, 44), [9, 2, 0], 3.11.ac_aj_bs 
(-2, -9, 55), [9, 2, 0], 3.11.ac_aj_cd 
(-2, -8, 44), [9, 3, 0], 3.11.ac_ai_bs 
(-2, -7, 22), [9, 4, 0], 3.11.ac_ah_w 
(-2, -7, 33), [9, 4, 0], 3.11.ac_ah_bh 
(-2, -7, 44), [9, 4, 0], 3.11.ac_ah_bs 
(-2, -7, 55), [9, 4, 0], 3.11.ac_ah_cd 
(-2, -7, 66), [9, 4, 0], 3.11.ac_ah_co 
(-2, -6, 22), [9, 5, 0], 3.11.ac_ag_w 
(-2, -6, 44), [9, 5, 0], 3.11.ac_ag_bs 
(-2, -6, 66), [9, 5, 0], 3.11.ac_ag_co 
(-2, -5, 11), [9, 6, 0], 3.11.ac_af_l 
(-2, -5, 22), [9, 6, 0], 3.11.ac_af_w 
(-2, -5, 33), [9, 6, 0], 3.11.ac_af_bh 
(-2, -5, 44), [9, 6, 0], 3.11.ac_af_bs 
(-2, -5, 55), [9, 6, 0], 3.11.ac_af_cd 
(-2, -5, 66), [9, 6, 0], 3.11.ac_af_co 
