(2, -3, -32), [2, 1, 0], 3.8.c_ad_abg 
(2, -3, -24), [2, 1, 0], 3.8.c_ad_ay 
(2, -3, -20), [2, 1, 0], 3.8.c_ad_au 
(2, -3, -16), [2, 1, 0], 3.8.c_ad_aq 
(2, -3, -12), [2, 1, 0], 3.8.c_ad_am 
(2, -3, -4), [2, 1, 0], 3.8.c_ad_ae 
(2, -1, -24), [2, 3, 0], 3.8.c_ab_ay 
(2, -1, -20), [2, 3, 0], 3.8.c_ab_au 
(2, -1, -16), [2, 3, 0], 3.8.c_ab_aq 
(2, -1, -12), [2, 3, 0], 3.8.c_ab_am 
(2, -1, -8), [2, 3, 0], 3.8.c_ab_ai 
(2, -1, -4), [2, 3, 0], 3.8.c_ab_ae 
(2, -1, 0), [2, 3, 0], 3.8.c_ab_a 
(2, -1, 4), [2, 3, 0], 3.8.c_ab_e 
(2, 1, -24), [2, 1, 0], 3.8.c_b_ay 
(2, 1, -20), [2, 1, 0], 3.8.c_b_au 
(2, 1, -16), [2, 1, 0], 3.8.c_b_aq 
(2, 1, -12), [2, 1, 0], 3.8.c_b_am 
(2, 1, -4), [2, 1, 0], 3.8.c_b_ae 
(2, 1, 0), [2, 1, 0], 3.8.c_b_a 
(2, 1, 4), [2, 1, 0], 3.8.c_b_e 
(2, 1, 12), [2, 1, 0], 3.8.c_b_m 
(2, 1, 16), [2, 1, 0], 3.8.c_b_q 
(2, 3, -16), [2, 3, 0], 3.8.c_d_aq 
(2, 3, -8), [2, 3, 0], 3.8.c_d_ai 
(2, 3, -4), [2, 3, 0], 3.8.c_d_ae 
(2, 3, 0), [2, 3, 0], 3.8.c_d_a 
(2, 3, 4), [2, 3, 0], 3.8.c_d_e 
(2, 3, 8), [2, 3, 0], 3.8.c_d_i 
(2, 3, 12), [2, 3, 0], 3.8.c_d_m 
(2, 3, 16), [2, 3, 0], 3.8.c_d_q 
(2, 3, 24), [2, 3, 0], 3.8.c_d_y 
(2, 5, -8), [2, 1, 0], 3.8.c_f_ai 
(2, 5, -4), [2, 1, 0], 3.8.c_f_ae 
