(-11, 59, -276), [12, 13, 0], 3.23.al_ch_akq 
(-11, 59, -253), [12, 13, 0], 3.23.al_ch_ajt 
(-11, 60, -276), [12, 14, 0], 3.23.al_ci_akq 
(-11, 61, -299), [12, 15, 0], 3.23.al_cj_aln 
(-11, 61, -276), [12, 15, 0], 3.23.al_cj_akq 
(-11, 61, -253), [12, 15, 0], 3.23.al_cj_ajt 
(-11, 62, -276), [12, 16, 0], 3.23.al_ck_akq 
(-11, 63, -299), [12, 17, 0], 3.23.al_cl_aln 
(-11, 63, -276), [12, 17, 0], 3.23.al_cl_akq 
(-11, 64, -322), [12, 18, 0], 3.23.al_cm_amk 
(-11, 64, -276), [12, 18, 0], 3.23.al_cm_akq 
(-11, 65, -322), [12, 19, 0], 3.23.al_cn_amk 
(-11, 65, -299), [12, 19, 0], 3.23.al_cn_aln 
(-11, 66, -322), [12, 20, 0], 3.23.al_co_amk 
(-11, 67, -345), [12, 21, 0], 3.23.al_cp_anh 
(-11, 67, -322), [12, 21, 0], 3.23.al_cp_amk 
(-11, 67, -299), [12, 21, 0], 3.23.al_cp_aln 
(-11, 68, -322), [12, 22, 0], 3.23.al_cq_amk 
(-11, 70, -368), [12, 1, 0], 3.23.al_cs_aoe 
(-11, 71, -391), [12, 2, 0], 3.23.al_ct_apb 
(-11, 71, -368), [12, 2, 0], 3.23.al_ct_aoe 
(-11, 71, -345), [12, 2, 0], 3.23.al_ct_anh 
(-11, 72, -368), [12, 3, 0], 3.23.al_cu_aoe 
(-11, 73, -414), [12, 4, 0], 3.23.al_cv_apy 
(-11, 73, -391), [12, 4, 0], 3.23.al_cv_apb 
(-11, 73, -345), [12, 4, 0], 3.23.al_cv_anh 
(-11, 74, -368), [12, 5, 0], 3.23.al_cw_aoe 
(-11, 75, -414), [12, 6, 0], 3.23.al_cx_apy 
