(-4, -16, 133), [15, 3, 0], 3.19.ae_aq_fd 
(-4, -16, 171), [15, 3, 0], 3.19.ae_aq_gp 
(-4, -14, 133), [15, 5, 0], 3.19.ae_ao_fd 
(-4, -14, 171), [15, 5, 0], 3.19.ae_ao_gp 
(-4, -14, 190), [15, 5, 0], 3.19.ae_ao_hi 
(-4, -12, 95), [15, 7, 0], 3.19.ae_am_dr 
(-4, -12, 133), [15, 7, 0], 3.19.ae_am_fd 
(-4, -12, 171), [15, 7, 0], 3.19.ae_am_gp 
(-4, -10, 95), [15, 9, 0], 3.19.ae_ak_dr 
(-4, -10, 133), [15, 9, 0], 3.19.ae_ak_fd 
(-4, -10, 171), [15, 9, 0], 3.19.ae_ak_gp 
(-4, -8, 57), [15, 11, 0], 3.19.ae_ai_cf 
