(-2, 7, -16), [2, 3, 0], 3.5.ac_h_aq 
(-2, 7, -14), [2, 3, 2], 3.5.ac_h_ao 
(-2, 7, -12), [2, 3, 0], 3.5.ac_h_am 
(-2, 7, -9), [2, 3, 3], 3.5.ac_h_aj 
(-2, 7, -8), [2, 3, 0], 3.5.ac_h_ai 
(-2, 7, -7), [2, 3, 1], 3.5.ac_h_ah 
(-2, 7, -6), [2, 3, 2], 3.5.ac_h_ag 
(-2, 8, -22), [2, 0, 2], 3.5.ac_i_aw 
(-2, 8, -16), [2, 0, 0], 3.5.ac_i_aq 
(-2, 8, -14), [2, 0, 2], 3.5.ac_i_ao 
(-2, 9, -21), [2, 1, 3], 3.5.ac_j_av 
(-2, 9, -19), [2, 1, 1], 3.5.ac_j_at 
(-2, 9, -18), [2, 1, 2], 3.5.ac_j_as 
(-2, 9, -17), [2, 1, 3], 3.5.ac_j_ar 
(-2, 9, -14), [2, 1, 2], 3.5.ac_j_ao 
(-2, 9, -12), [2, 1, 0], 3.5.ac_j_am 
(-2, 9, -9), [2, 1, 3], 3.5.ac_j_aj 
(-2, 10, -18), [2, 2, 2], 3.5.ac_k_as 
(-2, 10, -16), [2, 2, 0], 3.5.ac_k_aq 
(-2, 10, -12), [2, 2, 0], 3.5.ac_k_am 
(-2, 11, -19), [2, 3, 1], 3.5.ac_l_at 
(-2, 11, -18), [2, 3, 2], 3.5.ac_l_as 
(-2, 11, -16), [2, 3, 0], 3.5.ac_l_aq 
(-2, 11, -14), [2, 3, 2], 3.5.ac_l_ao 
(-2, 12, -18), [2, 0, 2], 3.5.ac_m_as 
(-2, 13, -18), [2, 1, 2], 3.5.ac_n_as 
(-1, -4, 8), [3, 0, 0], 3.5.ab_ae_i 
(-1, -4, 12), [3, 0, 0], 3.5.ab_ae_m 
(-1, -3, 2), [3, 1, 2], 3.5.ab_ad_c 
(-1, -3, 3), [3, 1, 3], 3.5.ab_ad_d 
(-1, -3, 4), [3, 1, 0], 3.5.ab_ad_e 
(-1, -3, 6), [3, 1, 2], 3.5.ab_ad_g 
(-1, -3, 7), [3, 1, 3], 3.5.ab_ad_h 
(-1, -3, 11), [3, 1, 3], 3.5.ab_ad_l 
(-1, -3, 12), [3, 1, 0], 3.5.ab_ad_m 
(-1, -3, 13), [3, 1, 1], 3.5.ab_ad_n 
(-1, -3, 17), [3, 1, 1], 3.5.ab_ad_r 
(-1, -3, 18), [3, 1, 2], 3.5.ab_ad_s 
(-1, -2, 4), [3, 2, 0], 3.5.ab_ac_e 
(-1, -2, 6), [3, 2, 2], 3.5.ab_ac_g 
(-1, -2, 8), [3, 2, 0], 3.5.ab_ac_i 
(-1, -2, 12), [3, 2, 0], 3.5.ab_ac_m 
(-1, -2, 14), [3, 2, 2], 3.5.ab_ac_o 
(-1, -2, 16), [3, 2, 0], 3.5.ab_ac_q 
(-1, -1, -7), [3, 3, 1], 3.5.ab_ab_ah 
(-1, -1, -6), [3, 3, 2], 3.5.ab_ab_ag 
(-1, -1, -4), [3, 3, 0], 3.5.ab_ab_ae 
(-1, -1, -3), [3, 3, 1], 3.5.ab_ab_ad 
(-1, -1, -2), [3, 3, 2], 3.5.ab_ab_ac 
(-1, -1, -1), [3, 3, 3], 3.5.ab_ab_ab 
(-1, -1, 1), [3, 3, 1], 3.5.ab_ab_b 
(-1, -1, 2), [3, 3, 2], 3.5.ab_ab_c 
(-1, -1, 3), [3, 3, 3], 3.5.ab_ab_d 
(-1, -1, 4), [3, 3, 0], 3.5.ab_ab_e 
(-1, -1, 7), [3, 3, 3], 3.5.ab_ab_h 
(-1, -1, 8), [3, 3, 0], 3.5.ab_ab_i 
(-1, -1, 9), [3, 3, 1], 3.5.ab_ab_j 
(-1, -1, 11), [3, 3, 3], 3.5.ab_ab_l 
(-1, -1, 13), [3, 3, 1], 3.5.ab_ab_n 
(-1, -1, 14), [3, 3, 2], 3.5.ab_ab_o 
(-1, -1, 16), [3, 3, 0], 3.5.ab_ab_q 
(-1, -1, 17), [3, 3, 1], 3.5.ab_ab_r 
(-1, -1, 19), [3, 3, 3], 3.5.ab_ab_t 
(-1, 0, -8), [3, 0, 0], 3.5.ab_a_ai 
(-1, 0, -6), [3, 0, 2], 3.5.ab_a_ag 
(-1, 0, -4), [3, 0, 0], 3.5.ab_a_ae 
(-1, 0, -2), [3, 0, 2], 3.5.ab_a_ac 
(-1, 0, 4), [3, 0, 0], 3.5.ab_a_e 
(-1, 0, 6), [3, 0, 2], 3.5.ab_a_g 
(-1, 0, 8), [3, 0, 0], 3.5.ab_a_i 
(-1, 0, 12), [3, 0, 0], 3.5.ab_a_m 
(-1, 0, 14), [3, 0, 2], 3.5.ab_a_o 
(-1, 0, 18), [3, 0, 2], 3.5.ab_a_s 
(-1, 1, -14), [3, 1, 2], 3.5.ab_b_ao 
(-1, 1, -13), [3, 1, 3], 3.5.ab_b_an 
(-1, 1, -12), [3, 1, 0], 3.5.ab_b_am 
(-1, 1, -11), [3, 1, 1], 3.5.ab_b_al 
(-1, 1, -9), [3, 1, 3], 3.5.ab_b_aj 
(-1, 1, -8), [3, 1, 0], 3.5.ab_b_ai 
(-1, 1, -7), [3, 1, 1], 3.5.ab_b_ah 
(-1, 1, -6), [3, 1, 2], 3.5.ab_b_ag 
(-1, 1, -4), [3, 1, 0], 3.5.ab_b_ae 
(-1, 1, -3), [3, 1, 1], 3.5.ab_b_ad 
(-1, 1, -1), [3, 1, 3], 3.5.ab_b_ab 
(-1, 1, 1), [3, 1, 1], 3.5.ab_b_b 
(-1, 1, 2), [3, 1, 2], 3.5.ab_b_c 
(-1, 1, 3), [3, 1, 3], 3.5.ab_b_d 
(-1, 1, 6), [3, 1, 2], 3.5.ab_b_g 
(-1, 1, 7), [3, 1, 3], 3.5.ab_b_h 
(-1, 1, 8), [3, 1, 0], 3.5.ab_b_i 
(-1, 1, 9), [3, 1, 1], 3.5.ab_b_j 
(-1, 1, 11), [3, 1, 3], 3.5.ab_b_l 
(-1, 1, 13), [3, 1, 1], 3.5.ab_b_n 
(-1, 2, -18), [3, 2, 2], 3.5.ab_c_as 
(-1, 2, -16), [3, 2, 0], 3.5.ab_c_aq 
(-1, 2, -14), [3, 2, 2], 3.5.ab_c_ao 
(-1, 2, -12), [3, 2, 0], 3.5.ab_c_am 
(-1, 2, -8), [3, 2, 0], 3.5.ab_c_ai 
(-1, 2, -4), [3, 2, 0], 3.5.ab_c_ae 
(-1, 2, -2), [3, 2, 2], 3.5.ab_c_ac 
(-1, 2, 2), [3, 2, 2], 3.5.ab_c_c 
(-1, 2, 4), [3, 2, 0], 3.5.ab_c_e 
(-1, 2, 6), [3, 2, 2], 3.5.ab_c_g 
(-1, 2, 8), [3, 2, 0], 3.5.ab_c_i 
(-1, 3, -21), [3, 3, 3], 3.5.ab_d_av 
(-1, 3, -19), [3, 3, 1], 3.5.ab_d_at 
(-1, 3, -18), [3, 3, 2], 3.5.ab_d_as 
(-1, 3, -17), [3, 3, 3], 3.5.ab_d_ar 
(-1, 3, -16), [3, 3, 0], 3.5.ab_d_aq 
(-1, 3, -14), [3, 3, 2], 3.5.ab_d_ao 
(-1, 3, -13), [3, 3, 3], 3.5.ab_d_an 
(-1, 3, -12), [3, 3, 0], 3.5.ab_d_am 
(-1, 3, -11), [3, 3, 1], 3.5.ab_d_al 
(-1, 3, -9), [3, 3, 3], 3.5.ab_d_aj 
(-1, 3, -8), [3, 3, 0], 3.5.ab_d_ai 
(-1, 3, -7), [3, 3, 1], 3.5.ab_d_ah 
(-1, 3, -6), [3, 3, 2], 3.5.ab_d_ag 
(-1, 3, -4), [3, 3, 0], 3.5.ab_d_ae 
(-1, 3, -3), [3, 3, 1], 3.5.ab_d_ad 
(-1, 3, -2), [3, 3, 2], 3.5.ab_d_ac 
(-1, 3, -1), [3, 3, 3], 3.5.ab_d_ab 
(-1, 3, 1), [3, 3, 1], 3.5.ab_d_b 
(-1, 3, 3), [3, 3, 3], 3.5.ab_d_d 
(-1, 3, 4), [3, 3, 0], 3.5.ab_d_e 
(-1, 3, 6), [3, 3, 2], 3.5.ab_d_g 
(-1, 3, 7), [3, 3, 3], 3.5.ab_d_h 
(-1, 3, 9), [3, 3, 1], 3.5.ab_d_j 
(-1, 4, -18), [3, 0, 2], 3.5.ab_e_as 
(-1, 4, -16), [3, 0, 0], 3.5.ab_e_aq 
(-1, 4, -12), [3, 0, 0], 3.5.ab_e_am 
(-1, 4, -8), [3, 0, 0], 3.5.ab_e_ai 
(-1, 4, -6), [3, 0, 2], 3.5.ab_e_ag 
(-1, 4, -4), [3, 0, 0], 3.5.ab_e_ae 
(-1, 4, -2), [3, 0, 2], 3.5.ab_e_ac 
(-1, 4, 2), [3, 0, 2], 3.5.ab_e_c 
(-1, 4, 4), [3, 0, 0], 3.5.ab_e_e 
