(-3, 6, -1), [1, 2, 3], 3.7.ad_g_ab 
(-3, 6, 1), [1, 2, 1], 3.7.ad_g_b 
(-3, 7, -1), [1, 3, 3], 3.7.ad_h_ab 
(-3, 8, -37), [1, 0, 3], 3.7.ad_i_abl 
(-3, 8, -33), [1, 0, 3], 3.7.ad_i_abh 
(-3, 8, -31), [1, 0, 1], 3.7.ad_i_abf 
(-3, 8, -29), [1, 0, 3], 3.7.ad_i_abd 
(-3, 8, -25), [1, 0, 3], 3.7.ad_i_az 
(-3, 8, -23), [1, 0, 1], 3.7.ad_i_ax 
(-3, 8, -19), [1, 0, 1], 3.7.ad_i_at 
(-3, 8, -17), [1, 0, 3], 3.7.ad_i_ar 
(-3, 8, -15), [1, 0, 1], 3.7.ad_i_ap 
(-3, 8, -13), [1, 0, 3], 3.7.ad_i_an 
(-3, 8, -11), [1, 0, 1], 3.7.ad_i_al 
(-3, 8, -9), [1, 0, 3], 3.7.ad_i_aj 
(-3, 8, -5), [1, 0, 3], 3.7.ad_i_af 
(-3, 9, -12), [1, 1, 0], 3.7.ad_j_am 
(-3, 10, -47), [1, 2, 1], 3.7.ad_k_abv 
(-3, 10, -45), [1, 2, 3], 3.7.ad_k_abt 
(-3, 10, -43), [1, 2, 1], 3.7.ad_k_abr 
(-3, 10, -41), [1, 2, 3], 3.7.ad_k_abp 
(-3, 10, -39), [1, 2, 1], 3.7.ad_k_abn 
(-3, 10, -33), [1, 2, 3], 3.7.ad_k_abh 
(-3, 10, -31), [1, 2, 1], 3.7.ad_k_abf 
(-3, 10, -27), [1, 2, 1], 3.7.ad_k_abb 
(-3, 10, -25), [1, 2, 3], 3.7.ad_k_az 
(-3, 10, -23), [1, 2, 1], 3.7.ad_k_ax 
(-3, 10, -19), [1, 2, 1], 3.7.ad_k_at 
(-3, 10, -17), [1, 2, 3], 3.7.ad_k_ar 
(-3, 10, -15), [1, 2, 1], 3.7.ad_k_ap 
(-3, 10, -13), [1, 2, 3], 3.7.ad_k_an 
(-3, 10, -11), [1, 2, 1], 3.7.ad_k_al 
(-3, 12, -46), [1, 0, 2], 3.7.ad_m_abu 
(-3, 12, -45), [1, 0, 3], 3.7.ad_m_abt 
(-3, 12, -43), [1, 0, 1], 3.7.ad_m_abr 
(-3, 12, -41), [1, 0, 3], 3.7.ad_m_abp 
(-3, 12, -39), [1, 0, 1], 3.7.ad_m_abn 
(-3, 12, -37), [1, 0, 3], 3.7.ad_m_abl 
(-3, 12, -33), [1, 0, 3], 3.7.ad_m_abh 
(-3, 12, -29), [1, 0, 3], 3.7.ad_m_abd 
(-3, 12, -27), [1, 0, 1], 3.7.ad_m_abb 
