(-15, 124, -657), [1, 0, 3], 3.19.ap_eu_azh 
(-15, 124, -656), [1, 0, 0], 3.19.ap_eu_azg 
(-15, 124, -653), [1, 0, 3], 3.19.ap_eu_azd 
(-15, 124, -651), [1, 0, 1], 3.19.ap_eu_azb 
(-15, 124, -649), [1, 0, 3], 3.19.ap_eu_ayz 
(-15, 125, -653), [1, 1, 3], 3.19.ap_ev_azd 
(-15, 126, -667), [1, 2, 1], 3.19.ap_ew_azr 
(-15, 126, -663), [1, 2, 1], 3.19.ap_ew_azn 
(-15, 127, -673), [1, 3, 3], 3.19.ap_ex_azx 
(-15, 128, -677), [1, 0, 3], 3.19.ap_ey_abab 
(-15, 128, -676), [1, 0, 0], 3.19.ap_ey_abaa 
(-15, 128, -673), [1, 0, 3], 3.19.ap_ey_azx 
(-15, 129, -681), [1, 1, 3], 3.19.ap_ez_abaf 
(-14, 80, -331), [2, 0, 1], 3.19.ao_dc_amt 
(-14, 81, -339), [2, 1, 1], 3.19.ao_dd_anb 
(-14, 82, -347), [2, 2, 1], 3.19.ao_de_anj 
(-14, 83, -357), [2, 3, 3], 3.19.ao_df_ant 
(-14, 84, -365), [2, 0, 3], 3.19.ao_dg_aob 
(-14, 85, -373), [2, 1, 3], 3.19.ao_dh_aoj 
(-14, 86, -383), [2, 2, 1], 3.19.ao_di_aot 
(-14, 86, -382), [2, 2, 2], 3.19.ao_di_aos 
(-14, 86, -381), [2, 2, 3], 3.19.ao_di_aor 
(-14, 88, -398), [2, 0, 2], 3.19.ao_dk_api 
(-14, 88, -397), [2, 0, 3], 3.19.ao_dk_aph 
(-14, 89, -409), [2, 1, 3], 3.19.ao_dl_apt 
(-14, 90, -417), [2, 2, 3], 3.19.ao_dm_aqb 
(-14, 90, -415), [2, 2, 1], 3.19.ao_dm_apz 
(-14, 90, -413), [2, 2, 3], 3.19.ao_dm_apx 
(-14, 92, -435), [2, 0, 1], 3.19.ao_do_aqt 
(-14, 92, -433), [2, 0, 3], 3.19.ao_do_aqr 
(-14, 92, -431), [2, 0, 1], 3.19.ao_do_aqp 
(-14, 92, -429), [2, 0, 3], 3.19.ao_do_aqn 
(-14, 93, -439), [2, 1, 1], 3.19.ao_dp_aqx 
(-14, 94, -453), [2, 2, 3], 3.19.ao_dq_arl 
(-14, 94, -451), [2, 2, 1], 3.19.ao_dq_arj 
(-14, 94, -449), [2, 2, 3], 3.19.ao_dq_arh 
(-14, 94, -447), [2, 2, 1], 3.19.ao_dq_arf 
(-14, 94, -445), [2, 2, 3], 3.19.ao_dq_ard 
(-14, 95, -457), [2, 3, 3], 3.19.ao_dr_arp 
(-14, 96, -469), [2, 0, 3], 3.19.ao_ds_asb 
(-14, 96, -467), [2, 0, 1], 3.19.ao_ds_arz 
(-14, 96, -465), [2, 0, 3], 3.19.ao_ds_arx 
(-14, 96, -463), [2, 0, 1], 3.19.ao_ds_arv 
(-14, 96, -461), [2, 0, 3], 3.19.ao_ds_art 
(-14, 96, -459), [2, 0, 1], 3.19.ao_ds_arr 
(-14, 97, -479), [2, 1, 1], 3.19.ao_dt_asl 
(-14, 97, -473), [2, 1, 3], 3.19.ao_dt_asf 
(-14, 97, -471), [2, 1, 1], 3.19.ao_dt_asd 
(-14, 98, -487), [2, 2, 1], 3.19.ao_du_ast 
(-14, 98, -485), [2, 2, 3], 3.19.ao_du_asr 
(-14, 98, -483), [2, 2, 1], 3.19.ao_du_asp 
(-14, 98, -481), [2, 2, 3], 3.19.ao_du_asn 
(-14, 98, -479), [2, 2, 1], 3.19.ao_du_asl 
(-14, 98, -477), [2, 2, 3], 3.19.ao_du_asj 
(-14, 98, -474), [2, 2, 2], 3.19.ao_du_asg 
(-14, 100, -505), [2, 0, 3], 3.19.ao_dw_atl 
(-14, 100, -503), [2, 0, 1], 3.19.ao_dw_atj 
(-14, 100, -501), [2, 0, 3], 3.19.ao_dw_ath 
(-14, 100, -499), [2, 0, 1], 3.19.ao_dw_atf 
(-14, 100, -497), [2, 0, 3], 3.19.ao_dw_atd 
(-14, 100, -495), [2, 0, 1], 3.19.ao_dw_atb 
(-14, 100, -493), [2, 0, 3], 3.19.ao_dw_asz 
(-14, 100, -491), [2, 0, 1], 3.19.ao_dw_asx 
(-14, 100, -489), [2, 0, 3], 3.19.ao_dw_asv 
(-14, 102, -521), [2, 2, 3], 3.19.ao_dy_aub 
(-14, 102, -519), [2, 2, 1], 3.19.ao_dy_atz 
(-14, 102, -517), [2, 2, 3], 3.19.ao_dy_atx 
(-14, 102, -515), [2, 2, 1], 3.19.ao_dy_atv 
(-14, 102, -511), [2, 2, 1], 3.19.ao_dy_atr 
(-14, 102, -509), [2, 2, 3], 3.19.ao_dy_atp 
(-14, 102, -507), [2, 2, 1], 3.19.ao_dy_atn 
(-14, 102, -505), [2, 2, 3], 3.19.ao_dy_atl 
(-14, 103, -531), [2, 3, 1], 3.19.ao_dz_aul 
(-14, 104, -539), [2, 0, 1], 3.19.ao_ea_aut 
(-14, 104, -537), [2, 0, 3], 3.19.ao_ea_aur 
(-14, 104, -535), [2, 0, 1], 3.19.ao_ea_aup 
(-14, 104, -533), [2, 0, 3], 3.19.ao_ea_aun 
(-14, 104, -531), [2, 0, 1], 3.19.ao_ea_aul 
(-14, 104, -529), [2, 0, 3], 3.19.ao_ea_auj 
(-14, 104, -527), [2, 0, 1], 3.19.ao_ea_auh 
(-14, 104, -525), [2, 0, 3], 3.19.ao_ea_auf 
(-14, 104, -523), [2, 0, 1], 3.19.ao_ea_aud 
(-14, 104, -521), [2, 0, 3], 3.19.ao_ea_aub 
(-14, 104, -519), [2, 0, 1], 3.19.ao_ea_atz 
(-14, 105, -549), [2, 1, 3], 3.19.ao_eb_avd 
(-14, 105, -527), [2, 1, 1], 3.19.ao_eb_auh 
(-14, 106, -557), [2, 2, 3], 3.19.ao_ec_avl 
(-14, 106, -555), [2, 2, 1], 3.19.ao_ec_avj 
(-14, 106, -553), [2, 2, 3], 3.19.ao_ec_avh 
(-14, 106, -549), [2, 2, 3], 3.19.ao_ec_avd 
(-14, 106, -547), [2, 2, 1], 3.19.ao_ec_avb 
(-14, 106, -545), [2, 2, 3], 3.19.ao_ec_auz 
(-14, 106, -543), [2, 2, 1], 3.19.ao_ec_aux 
(-14, 106, -541), [2, 2, 3], 3.19.ao_ec_auv 
(-14, 106, -539), [2, 2, 1], 3.19.ao_ec_aut 
(-14, 106, -537), [2, 2, 3], 3.19.ao_ec_aur 
(-14, 106, -535), [2, 2, 1], 3.19.ao_ec_aup 
(-14, 106, -533), [2, 2, 3], 3.19.ao_ec_aun 
(-14, 108, -575), [2, 0, 1], 3.19.ao_ee_awd 
(-14, 108, -574), [2, 0, 2], 3.19.ao_ee_awc 
(-14, 108, -573), [2, 0, 3], 3.19.ao_ee_awb 
(-14, 108, -571), [2, 0, 1], 3.19.ao_ee_avz 
(-14, 108, -569), [2, 0, 3], 3.19.ao_ee_avx 
(-14, 108, -567), [2, 0, 1], 3.19.ao_ee_avv 
