(-17, 162, -945), [6, 1, 21], 3.23.ar_gg_abkj 
(-16, 106, -501), [7, 14, 5], 3.23.aq_ec_ath 
(-16, 107, -510), [7, 15, 19], 3.23.aq_ed_atq 
(-16, 110, -539), [7, 18, 13], 3.23.aq_eg_aut 
(-16, 111, -549), [7, 19, 3], 3.23.aq_eh_avd 
(-16, 112, -558), [7, 20, 17], 3.23.aq_ei_avm 
(-16, 112, -557), [7, 20, 18], 3.23.aq_ei_avl 
(-16, 113, -567), [7, 21, 8], 3.23.aq_ej_avv 
(-16, 114, -577), [7, 22, 21], 3.23.aq_ek_awf 
(-16, 116, -597), [7, 1, 1], 3.23.aq_em_awz 
(-16, 116, -595), [7, 1, 3], 3.23.aq_em_awx 
(-16, 116, -594), [7, 1, 4], 3.23.aq_em_aww 
(-16, 116, -593), [7, 1, 5], 3.23.aq_em_awv 
(-16, 118, -615), [7, 3, 6], 3.23.aq_eo_axr 
(-16, 118, -613), [7, 3, 8], 3.23.aq_eo_axp 
(-16, 118, -611), [7, 3, 10], 3.23.aq_eo_axn 
(-16, 119, -626), [7, 4, 18], 3.23.aq_ep_ayc 
(-16, 120, -635), [7, 5, 9], 3.23.aq_eq_ayl 
(-16, 120, -633), [7, 5, 11], 3.23.aq_eq_ayj 
(-16, 120, -631), [7, 5, 13], 3.23.aq_eq_ayh 
(-16, 120, -630), [7, 5, 14], 3.23.aq_eq_ayg 
(-16, 120, -629), [7, 5, 15], 3.23.aq_eq_ayf 
(-16, 121, -645), [7, 6, 22], 3.23.aq_er_ayv 
(-16, 122, -653), [7, 7, 14], 3.23.aq_es_azd 
(-16, 122, -651), [7, 7, 16], 3.23.aq_es_azb 
(-16, 122, -649), [7, 7, 18], 3.23.aq_es_ayz 
(-16, 122, -647), [7, 7, 20], 3.23.aq_es_ayx 
(-16, 122, -645), [7, 7, 22], 3.23.aq_es_ayv 
(-16, 124, -673), [7, 9, 17], 3.23.aq_eu_azx 
(-16, 124, -671), [7, 9, 19], 3.23.aq_eu_azv 
(-16, 124, -669), [7, 9, 21], 3.23.aq_eu_azt 
