(-13, 93, -451), [4, 8, 8], 3.17.an_dp_arj 
(-13, 93, -450), [4, 8, 9], 3.17.an_dp_ari 
(-13, 93, -449), [4, 8, 10], 3.17.an_dp_arh 
(-13, 93, -448), [4, 8, 11], 3.17.an_dp_arg 
(-13, 93, -447), [4, 8, 12], 3.17.an_dp_arf 
(-13, 93, -446), [4, 8, 13], 3.17.an_dp_are 
(-13, 93, -445), [4, 8, 14], 3.17.an_dp_ard 
(-13, 93, -444), [4, 8, 15], 3.17.an_dp_arc 
(-13, 93, -443), [4, 8, 16], 3.17.an_dp_arb 
(-13, 93, -441), [4, 8, 1], 3.17.an_dp_aqz 
(-13, 94, -464), [4, 9, 12], 3.17.an_dq_arw 
(-13, 94, -460), [4, 9, 16], 3.17.an_dq_ars 
(-13, 94, -458), [4, 9, 1], 3.17.an_dq_arq 
(-13, 94, -456), [4, 9, 3], 3.17.an_dq_aro 
(-13, 94, -454), [4, 9, 5], 3.17.an_dq_arm 
(-13, 94, -452), [4, 9, 7], 3.17.an_dq_ark 
(-13, 95, -481), [4, 10, 12], 3.17.an_dr_asn 
(-13, 95, -479), [4, 10, 14], 3.17.an_dr_asl 
(-13, 95, -478), [4, 10, 15], 3.17.an_dr_ask 
(-13, 95, -477), [4, 10, 16], 3.17.an_dr_asj 
(-13, 95, -475), [4, 10, 1], 3.17.an_dr_ash 
(-13, 95, -473), [4, 10, 3], 3.17.an_dr_asf 
(-13, 95, -472), [4, 10, 4], 3.17.an_dr_ase 
(-13, 95, -471), [4, 10, 5], 3.17.an_dr_asd 
(-13, 95, -470), [4, 10, 6], 3.17.an_dr_asc 
(-13, 95, -469), [4, 10, 7], 3.17.an_dr_asb 
(-13, 95, -468), [4, 10, 8], 3.17.an_dr_asa 
(-13, 95, -467), [4, 10, 9], 3.17.an_dr_arz 
(-13, 95, -466), [4, 10, 10], 3.17.an_dr_ary 
(-13, 95, -465), [4, 10, 11], 3.17.an_dr_arx 
(-13, 95, -464), [4, 10, 12], 3.17.an_dr_arw 
(-13, 95, -463), [4, 10, 13], 3.17.an_dr_arv 
(-13, 95, -461), [4, 10, 15], 3.17.an_dr_art 
(-13, 95, -460), [4, 10, 16], 3.17.an_dr_ars 
(-13, 95, -458), [4, 10, 1], 3.17.an_dr_arq 
(-13, 95, -457), [4, 10, 2], 3.17.an_dr_arp 
(-13, 95, -455), [4, 10, 4], 3.17.an_dr_arn 
(-13, 96, -484), [4, 11, 9], 3.17.an_ds_asq 
(-13, 96, -480), [4, 11, 13], 3.17.an_ds_asm 
(-13, 96, -474), [4, 11, 2], 3.17.an_ds_asg 
(-13, 96, -472), [4, 11, 4], 3.17.an_ds_ase 
(-13, 96, -470), [4, 11, 6], 3.17.an_ds_asc 
(-13, 96, -468), [4, 11, 8], 3.17.an_ds_asa 
(-13, 96, -466), [4, 11, 10], 3.17.an_ds_ary 
(-13, 96, -464), [4, 11, 12], 3.17.an_ds_arw 
(-13, 96, -462), [4, 11, 14], 3.17.an_ds_aru 
(-13, 97, -491), [4, 12, 2], 3.17.an_dt_asx 
(-13, 97, -489), [4, 12, 4], 3.17.an_dt_asv 
(-13, 97, -488), [4, 12, 5], 3.17.an_dt_asu 
(-13, 97, -487), [4, 12, 6], 3.17.an_dt_ast 
(-13, 97, -486), [4, 12, 7], 3.17.an_dt_ass 
(-13, 97, -485), [4, 12, 8], 3.17.an_dt_asr 
(-13, 97, -484), [4, 12, 9], 3.17.an_dt_asq 
(-13, 97, -483), [4, 12, 10], 3.17.an_dt_asp 
(-13, 97, -481), [4, 12, 12], 3.17.an_dt_asn 
(-13, 97, -480), [4, 12, 13], 3.17.an_dt_asm 
(-13, 97, -479), [4, 12, 14], 3.17.an_dt_asl 
(-13, 97, -478), [4, 12, 15], 3.17.an_dt_ask 
(-13, 97, -477), [4, 12, 16], 3.17.an_dt_asj 
(-13, 97, -475), [4, 12, 1], 3.17.an_dt_ash 
(-13, 97, -474), [4, 12, 2], 3.17.an_dt_asg 
(-13, 97, -473), [4, 12, 3], 3.17.an_dt_asf 
(-13, 97, -471), [4, 12, 5], 3.17.an_dt_asd 
(-13, 97, -469), [4, 12, 7], 3.17.an_dt_asb 
(-13, 97, -468), [4, 12, 8], 3.17.an_dt_asa 
(-13, 97, -467), [4, 12, 9], 3.17.an_dt_arz 
(-13, 98, -490), [4, 13, 3], 3.17.an_du_asw 
(-13, 98, -488), [4, 13, 5], 3.17.an_du_asu 
(-13, 98, -484), [4, 13, 9], 3.17.an_du_asq 
(-13, 98, -482), [4, 13, 11], 3.17.an_du_aso 
(-13, 98, -480), [4, 13, 13], 3.17.an_du_asm 
(-13, 98, -478), [4, 13, 15], 3.17.an_du_ask 
(-13, 98, -474), [4, 13, 2], 3.17.an_du_asg 
(-13, 99, -495), [4, 14, 15], 3.17.an_dv_atb 
(-13, 99, -492), [4, 14, 1], 3.17.an_dv_asy 
(-13, 99, -491), [4, 14, 2], 3.17.an_dv_asx 
(-13, 99, -489), [4, 14, 4], 3.17.an_dv_asv 
(-13, 99, -488), [4, 14, 5], 3.17.an_dv_asu 
(-13, 99, -487), [4, 14, 6], 3.17.an_dv_ast 
(-13, 99, -486), [4, 14, 7], 3.17.an_dv_ass 
(-13, 99, -485), [4, 14, 8], 3.17.an_dv_asr 
(-13, 99, -483), [4, 14, 10], 3.17.an_dv_asp 
(-13, 99, -481), [4, 14, 12], 3.17.an_dv_asn 
(-13, 99, -480), [4, 14, 13], 3.17.an_dv_asm 
(-13, 99, -479), [4, 14, 14], 3.17.an_dv_asl 
(-13, 100, -498), [4, 15, 12], 3.17.an_dw_ate 
(-13, 100, -492), [4, 15, 1], 3.17.an_dw_asy 
(-13, 100, -490), [4, 15, 3], 3.17.an_dw_asw 
(-13, 100, -488), [4, 15, 5], 3.17.an_dw_asu 
(-13, 100, -486), [4, 15, 7], 3.17.an_dw_ass 
(-13, 101, -501), [4, 16, 9], 3.17.an_dx_ath 
(-13, 101, -500), [4, 16, 10], 3.17.an_dx_atg 
(-13, 101, -499), [4, 16, 11], 3.17.an_dx_atf 
(-13, 101, -497), [4, 16, 13], 3.17.an_dx_atd 
(-13, 101, -496), [4, 16, 14], 3.17.an_dx_atc 
(-13, 101, -495), [4, 16, 15], 3.17.an_dx_atb 
(-13, 101, -494), [4, 16, 16], 3.17.an_dx_ata 
(-13, 101, -491), [4, 16, 2], 3.17.an_dx_asx 
