(-10, 61, -246), [2, 1, 2], 3.13.ak_cj_ajm 
(-10, 62, -272), [2, 2, 0], 3.13.ak_ck_akm 
(-10, 62, -270), [2, 2, 2], 3.13.ak_ck_akk 
(-10, 62, -268), [2, 2, 0], 3.13.ak_ck_aki 
(-10, 62, -264), [2, 2, 0], 3.13.ak_ck_ake 
(-10, 62, -262), [2, 2, 2], 3.13.ak_ck_akc 
(-10, 62, -258), [2, 2, 2], 3.13.ak_ck_ajy 
(-10, 62, -252), [2, 2, 0], 3.13.ak_ck_ajs 
(-10, 63, -274), [2, 3, 2], 3.13.ak_cl_ako 
(-10, 63, -272), [2, 3, 0], 3.13.ak_cl_akm 
(-10, 63, -271), [2, 3, 1], 3.13.ak_cl_akl 
(-10, 63, -270), [2, 3, 2], 3.13.ak_cl_akk 
(-10, 63, -268), [2, 3, 0], 3.13.ak_cl_aki 
(-10, 63, -267), [2, 3, 1], 3.13.ak_cl_akh 
(-10, 63, -266), [2, 3, 2], 3.13.ak_cl_akg 
(-10, 63, -265), [2, 3, 3], 3.13.ak_cl_akf 
(-10, 63, -264), [2, 3, 0], 3.13.ak_cl_ake 
(-10, 63, -263), [2, 3, 1], 3.13.ak_cl_akd 
(-10, 63, -262), [2, 3, 2], 3.13.ak_cl_akc 
(-10, 63, -261), [2, 3, 3], 3.13.ak_cl_akb 
(-10, 63, -259), [2, 3, 1], 3.13.ak_cl_ajz 
(-10, 63, -258), [2, 3, 2], 3.13.ak_cl_ajy 
(-10, 63, -257), [2, 3, 3], 3.13.ak_cl_ajx 
(-10, 63, -256), [2, 3, 0], 3.13.ak_cl_ajw 
(-10, 64, -274), [2, 0, 2], 3.13.ak_cm_ako 
(-10, 64, -270), [2, 0, 2], 3.13.ak_cm_akk 
(-10, 64, -268), [2, 0, 0], 3.13.ak_cm_aki 
(-10, 64, -262), [2, 0, 2], 3.13.ak_cm_akc 
(-10, 65, -279), [2, 1, 1], 3.13.ak_cn_akt 
(-10, 65, -278), [2, 1, 2], 3.13.ak_cn_aks 
(-10, 65, -276), [2, 1, 0], 3.13.ak_cn_akq 
(-10, 65, -274), [2, 1, 2], 3.13.ak_cn_ako 
(-10, 65, -271), [2, 1, 1], 3.13.ak_cn_akl 
(-10, 65, -270), [2, 1, 2], 3.13.ak_cn_akk 
(-10, 65, -269), [2, 1, 3], 3.13.ak_cn_akj 
(-10, 65, -267), [2, 1, 1], 3.13.ak_cn_akh 
(-10, 65, -266), [2, 1, 2], 3.13.ak_cn_akg 
(-10, 66, -280), [2, 2, 0], 3.13.ak_co_aku 
(-10, 66, -274), [2, 2, 2], 3.13.ak_co_ako 
(-10, 67, -283), [2, 3, 1], 3.13.ak_cp_akx 
(-10, 67, -282), [2, 3, 2], 3.13.ak_cp_akw 
(-10, 67, -280), [2, 3, 0], 3.13.ak_cp_aku 
(-10, 67, -278), [2, 3, 2], 3.13.ak_cp_aks 
(-10, 68, -282), [2, 0, 2], 3.13.ak_cq_akw 
(-9, 22, -18), [3, 2, 2], 3.13.aj_w_as 
(-9, 23, -25), [3, 3, 3], 3.13.aj_x_az 
(-9, 24, -32), [3, 0, 0], 3.13.aj_y_abg 
(-9, 25, -40), [3, 1, 0], 3.13.aj_z_abo 
(-9, 25, -37), [3, 1, 3], 3.13.aj_z_abl 
(-9, 26, -46), [3, 2, 2], 3.13.aj_ba_abu 
(-9, 26, -44), [3, 2, 0], 3.13.aj_ba_abs 
(-9, 27, -53), [3, 3, 3], 3.13.aj_bb_acb 
(-9, 28, -58), [3, 0, 2], 3.13.aj_bc_acg 
(-9, 29, -68), [3, 1, 0], 3.13.aj_bd_acq 
(-9, 29, -67), [3, 1, 1], 3.13.aj_bd_acp 
(-9, 29, -64), [3, 1, 0], 3.13.aj_bd_acm 
(-9, 30, -74), [3, 2, 2], 3.13.aj_be_acw 
(-9, 31, -83), [3, 3, 1], 3.13.aj_bf_adf 
(-9, 31, -82), [3, 3, 2], 3.13.aj_bf_ade 
(-9, 31, -81), [3, 3, 3], 3.13.aj_bf_add 
(-9, 31, -79), [3, 3, 1], 3.13.aj_bf_adb 
(-9, 31, -77), [3, 3, 3], 3.13.aj_bf_acz 
(-9, 32, -90), [3, 0, 2], 3.13.aj_bg_adm 
(-9, 32, -88), [3, 0, 0], 3.13.aj_bg_adk 
(-9, 32, -86), [3, 0, 2], 3.13.aj_bg_adi 
(-9, 33, -97), [3, 1, 3], 3.13.aj_bh_adt 
(-9, 33, -96), [3, 1, 0], 3.13.aj_bh_ads 
(-9, 33, -95), [3, 1, 1], 3.13.aj_bh_adr 
(-9, 33, -93), [3, 1, 3], 3.13.aj_bh_adp 
(-9, 33, -92), [3, 1, 0], 3.13.aj_bh_ado 
(-9, 34, -102), [3, 2, 2], 3.13.aj_bi_ady 
(-9, 34, -100), [3, 2, 0], 3.13.aj_bi_adw 
(-9, 34, -98), [3, 2, 2], 3.13.aj_bi_adu 
