(-11, 83, -381), [5, 3, 3], 3.16.al_df_aor 
(-11, 83, -379), [5, 3, 5], 3.16.al_df_aop 
(-11, 85, -389), [5, 5, 11], 3.16.al_dh_aoz 
(-10, 26, -15), [6, 10, 1], 3.16.ak_ba_ap 
(-10, 30, -45), [6, 14, 3], 3.16.ak_be_abt 
(-10, 32, -63), [6, 0, 1], 3.16.ak_bg_acl 
(-10, 34, -79), [6, 2, 1], 3.16.ak_bi_adb 
(-10, 34, -77), [6, 2, 3], 3.16.ak_bi_acz 
(-10, 36, -95), [6, 4, 1], 3.16.ak_bk_adr 
(-10, 36, -93), [6, 4, 3], 3.16.ak_bk_adp 
(-10, 36, -91), [6, 4, 5], 3.16.ak_bk_adn 
(-10, 38, -111), [6, 6, 1], 3.16.ak_bm_aeh 
(-10, 38, -109), [6, 6, 3], 3.16.ak_bm_aef 
(-10, 38, -107), [6, 6, 5], 3.16.ak_bm_aed 
(-10, 38, -105), [6, 6, 7], 3.16.ak_bm_aeb 
(-10, 40, -127), [6, 8, 1], 3.16.ak_bo_aex 
(-10, 40, -125), [6, 8, 3], 3.16.ak_bo_aev 
(-10, 40, -123), [6, 8, 5], 3.16.ak_bo_aet 
(-10, 40, -121), [6, 8, 7], 3.16.ak_bo_aer 
(-10, 40, -119), [6, 8, 9], 3.16.ak_bo_aep 
(-10, 42, -143), [6, 10, 1], 3.16.ak_bq_afn 
(-10, 42, -141), [6, 10, 3], 3.16.ak_bq_afl 
(-10, 42, -139), [6, 10, 5], 3.16.ak_bq_afj 
(-10, 42, -137), [6, 10, 7], 3.16.ak_bq_afh 
(-10, 42, -135), [6, 10, 9], 3.16.ak_bq_aff 
(-10, 42, -133), [6, 10, 11], 3.16.ak_bq_afd 
(-10, 44, -159), [6, 12, 1], 3.16.ak_bs_agd 
(-10, 44, -157), [6, 12, 3], 3.16.ak_bs_agb 
(-10, 44, -155), [6, 12, 5], 3.16.ak_bs_afz 
(-10, 44, -153), [6, 12, 7], 3.16.ak_bs_afx 
(-10, 44, -151), [6, 12, 9], 3.16.ak_bs_afv 
(-10, 44, -149), [6, 12, 11], 3.16.ak_bs_aft 
(-10, 44, -147), [6, 12, 13], 3.16.ak_bs_afr 
(-10, 46, -175), [6, 14, 1], 3.16.ak_bu_agt 
(-10, 46, -173), [6, 14, 3], 3.16.ak_bu_agr 
(-10, 46, -171), [6, 14, 5], 3.16.ak_bu_agp 
(-10, 46, -169), [6, 14, 7], 3.16.ak_bu_agn 
(-10, 46, -167), [6, 14, 9], 3.16.ak_bu_agl 
(-10, 46, -165), [6, 14, 11], 3.16.ak_bu_agj 
(-10, 46, -163), [6, 14, 13], 3.16.ak_bu_agh 
(-10, 46, -161), [6, 14, 15], 3.16.ak_bu_agf 
(-10, 48, -191), [6, 0, 1], 3.16.ak_bw_ahj 
(-10, 48, -189), [6, 0, 3], 3.16.ak_bw_ahh 
(-10, 48, -187), [6, 0, 5], 3.16.ak_bw_ahf 
(-10, 48, -185), [6, 0, 7], 3.16.ak_bw_ahd 
(-10, 48, -183), [6, 0, 9], 3.16.ak_bw_ahb 
(-10, 48, -181), [6, 0, 11], 3.16.ak_bw_agz 
(-10, 48, -179), [6, 0, 13], 3.16.ak_bw_agx 
(-10, 48, -177), [6, 0, 15], 3.16.ak_bw_agv 
(-10, 48, -175), [6, 0, 1], 3.16.ak_bw_agt 
(-10, 50, -207), [6, 2, 1], 3.16.ak_by_ahz 
(-10, 50, -203), [6, 2, 5], 3.16.ak_by_ahv 
