(-13, 93, -444), [3, 1, 0], 3.17.an_dp_arc 
(-13, 93, -443), [3, 1, 1], 3.17.an_dp_arb 
(-13, 93, -441), [3, 1, 3], 3.17.an_dp_aqz 
(-13, 94, -464), [3, 2, 0], 3.17.an_dq_arw 
(-13, 94, -460), [3, 2, 0], 3.17.an_dq_ars 
(-13, 94, -458), [3, 2, 2], 3.17.an_dq_arq 
(-13, 94, -456), [3, 2, 0], 3.17.an_dq_aro 
(-13, 94, -454), [3, 2, 2], 3.17.an_dq_arm 
(-13, 94, -452), [3, 2, 0], 3.17.an_dq_ark 
(-13, 95, -481), [3, 3, 3], 3.17.an_dr_asn 
(-13, 95, -479), [3, 3, 1], 3.17.an_dr_asl 
(-13, 95, -478), [3, 3, 2], 3.17.an_dr_ask 
(-13, 95, -477), [3, 3, 3], 3.17.an_dr_asj 
(-13, 95, -475), [3, 3, 1], 3.17.an_dr_ash 
(-13, 95, -473), [3, 3, 3], 3.17.an_dr_asf 
(-13, 95, -472), [3, 3, 0], 3.17.an_dr_ase 
(-13, 95, -471), [3, 3, 1], 3.17.an_dr_asd 
(-13, 95, -470), [3, 3, 2], 3.17.an_dr_asc 
(-13, 95, -469), [3, 3, 3], 3.17.an_dr_asb 
(-13, 95, -468), [3, 3, 0], 3.17.an_dr_asa 
(-13, 95, -467), [3, 3, 1], 3.17.an_dr_arz 
(-13, 95, -466), [3, 3, 2], 3.17.an_dr_ary 
(-13, 95, -465), [3, 3, 3], 3.17.an_dr_arx 
(-13, 95, -464), [3, 3, 0], 3.17.an_dr_arw 
(-13, 95, -463), [3, 3, 1], 3.17.an_dr_arv 
(-13, 95, -461), [3, 3, 3], 3.17.an_dr_art 
(-13, 95, -460), [3, 3, 0], 3.17.an_dr_ars 
(-13, 95, -458), [3, 3, 2], 3.17.an_dr_arq 
(-13, 95, -457), [3, 3, 3], 3.17.an_dr_arp 
(-13, 95, -455), [3, 3, 1], 3.17.an_dr_arn 
(-13, 96, -484), [3, 0, 0], 3.17.an_ds_asq 
(-13, 96, -480), [3, 0, 0], 3.17.an_ds_asm 
(-13, 96, -474), [3, 0, 2], 3.17.an_ds_asg 
(-13, 96, -472), [3, 0, 0], 3.17.an_ds_ase 
(-13, 96, -470), [3, 0, 2], 3.17.an_ds_asc 
(-13, 96, -468), [3, 0, 0], 3.17.an_ds_asa 
(-13, 96, -466), [3, 0, 2], 3.17.an_ds_ary 
(-13, 96, -464), [3, 0, 0], 3.17.an_ds_arw 
(-13, 96, -462), [3, 0, 2], 3.17.an_ds_aru 
(-13, 97, -491), [3, 1, 1], 3.17.an_dt_asx 
(-13, 97, -489), [3, 1, 3], 3.17.an_dt_asv 
(-13, 97, -488), [3, 1, 0], 3.17.an_dt_asu 
(-13, 97, -487), [3, 1, 1], 3.17.an_dt_ast 
(-13, 97, -486), [3, 1, 2], 3.17.an_dt_ass 
(-13, 97, -485), [3, 1, 3], 3.17.an_dt_asr 
(-13, 97, -484), [3, 1, 0], 3.17.an_dt_asq 
(-13, 97, -483), [3, 1, 1], 3.17.an_dt_asp 
(-13, 97, -481), [3, 1, 3], 3.17.an_dt_asn 
(-13, 97, -480), [3, 1, 0], 3.17.an_dt_asm 
(-13, 97, -479), [3, 1, 1], 3.17.an_dt_asl 
(-13, 97, -478), [3, 1, 2], 3.17.an_dt_ask 
(-13, 97, -477), [3, 1, 3], 3.17.an_dt_asj 
(-13, 97, -475), [3, 1, 1], 3.17.an_dt_ash 
(-13, 97, -474), [3, 1, 2], 3.17.an_dt_asg 
(-13, 97, -473), [3, 1, 3], 3.17.an_dt_asf 
(-13, 97, -471), [3, 1, 1], 3.17.an_dt_asd 
(-13, 97, -469), [3, 1, 3], 3.17.an_dt_asb 
(-13, 97, -468), [3, 1, 0], 3.17.an_dt_asa 
(-13, 97, -467), [3, 1, 1], 3.17.an_dt_arz 
(-13, 98, -490), [3, 2, 2], 3.17.an_du_asw 
(-13, 98, -488), [3, 2, 0], 3.17.an_du_asu 
(-13, 98, -484), [3, 2, 0], 3.17.an_du_asq 
(-13, 98, -482), [3, 2, 2], 3.17.an_du_aso 
(-13, 98, -480), [3, 2, 0], 3.17.an_du_asm 
(-13, 98, -478), [3, 2, 2], 3.17.an_du_ask 
(-13, 98, -474), [3, 2, 2], 3.17.an_du_asg 
(-13, 99, -495), [3, 3, 1], 3.17.an_dv_atb 
(-13, 99, -492), [3, 3, 0], 3.17.an_dv_asy 
(-13, 99, -491), [3, 3, 1], 3.17.an_dv_asx 
(-13, 99, -489), [3, 3, 3], 3.17.an_dv_asv 
(-13, 99, -488), [3, 3, 0], 3.17.an_dv_asu 
(-13, 99, -487), [3, 3, 1], 3.17.an_dv_ast 
(-13, 99, -486), [3, 3, 2], 3.17.an_dv_ass 
(-13, 99, -485), [3, 3, 3], 3.17.an_dv_asr 
(-13, 99, -483), [3, 3, 1], 3.17.an_dv_asp 
(-13, 99, -481), [3, 3, 3], 3.17.an_dv_asn 
(-13, 99, -480), [3, 3, 0], 3.17.an_dv_asm 
(-13, 99, -479), [3, 3, 1], 3.17.an_dv_asl 
(-13, 100, -498), [3, 0, 2], 3.17.an_dw_ate 
(-13, 100, -492), [3, 0, 0], 3.17.an_dw_asy 
(-13, 100, -490), [3, 0, 2], 3.17.an_dw_asw 
(-13, 100, -488), [3, 0, 0], 3.17.an_dw_asu 
(-13, 100, -486), [3, 0, 2], 3.17.an_dw_ass 
(-13, 101, -501), [3, 1, 3], 3.17.an_dx_ath 
(-13, 101, -500), [3, 1, 0], 3.17.an_dx_atg 
(-13, 101, -499), [3, 1, 1], 3.17.an_dx_atf 
(-13, 101, -497), [3, 1, 3], 3.17.an_dx_atd 
(-13, 101, -496), [3, 1, 0], 3.17.an_dx_atc 
(-13, 101, -495), [3, 1, 1], 3.17.an_dx_atb 
(-13, 101, -494), [3, 1, 2], 3.17.an_dx_ata 
(-13, 101, -491), [3, 1, 1], 3.17.an_dx_asx 
