(-15, 120, -636), [4, 6, 10], 3.19.ap_eq_aym 
(-15, 120, -633), [4, 6, 13], 3.19.ap_eq_ayj 
(-15, 120, -631), [4, 6, 15], 3.19.ap_eq_ayh 
(-15, 120, -629), [4, 6, 17], 3.19.ap_eq_ayf 
(-15, 120, -625), [4, 6, 2], 3.19.ap_eq_ayb 
(-15, 120, -623), [4, 6, 4], 3.19.ap_eq_axz 
(-15, 120, -621), [4, 6, 6], 3.19.ap_eq_axx 
(-15, 121, -649), [4, 7, 16], 3.19.ap_er_ayz 
(-15, 121, -633), [4, 7, 13], 3.19.ap_er_ayj 
(-15, 121, -632), [4, 7, 14], 3.19.ap_er_ayi 
(-15, 121, -631), [4, 7, 15], 3.19.ap_er_ayh 
(-15, 122, -656), [4, 8, 9], 3.19.ap_es_azg 
(-15, 122, -655), [4, 8, 10], 3.19.ap_es_azf 
(-15, 122, -653), [4, 8, 12], 3.19.ap_es_azd 
(-15, 122, -651), [4, 8, 14], 3.19.ap_es_azb 
(-15, 122, -649), [4, 8, 16], 3.19.ap_es_ayz 
(-15, 122, -647), [4, 8, 18], 3.19.ap_es_ayx 
(-15, 122, -644), [4, 8, 2], 3.19.ap_es_ayu 
(-15, 122, -643), [4, 8, 3], 3.19.ap_es_ayt 
(-15, 122, -641), [4, 8, 5], 3.19.ap_es_ayr 
(-15, 122, -639), [4, 8, 7], 3.19.ap_es_ayp 
(-15, 122, -638), [4, 8, 8], 3.19.ap_es_ayo 
(-15, 122, -637), [4, 8, 9], 3.19.ap_es_ayn 
(-15, 122, -635), [4, 8, 11], 3.19.ap_es_ayl 
(-15, 123, -657), [4, 9, 8], 3.19.ap_et_azh 
(-15, 123, -656), [4, 9, 9], 3.19.ap_et_azg 
(-15, 124, -661), [4, 10, 4], 3.19.ap_eu_azl 
(-15, 124, -659), [4, 10, 6], 3.19.ap_eu_azj 
(-15, 124, -657), [4, 10, 8], 3.19.ap_eu_azh 
(-15, 124, -656), [4, 10, 9], 3.19.ap_eu_azg 
(-15, 124, -653), [4, 10, 12], 3.19.ap_eu_azd 
(-15, 124, -651), [4, 10, 14], 3.19.ap_eu_azb 
(-15, 124, -649), [4, 10, 16], 3.19.ap_eu_ayz 
(-15, 125, -653), [4, 11, 12], 3.19.ap_ev_azd 
(-15, 126, -667), [4, 12, 17], 3.19.ap_ew_azr 
(-15, 126, -663), [4, 12, 2], 3.19.ap_ew_azn 
(-15, 127, -673), [4, 13, 11], 3.19.ap_ex_azx 
(-15, 128, -677), [4, 14, 7], 3.19.ap_ey_abab 
(-15, 128, -676), [4, 14, 8], 3.19.ap_ey_abaa 
(-15, 128, -673), [4, 14, 11], 3.19.ap_ey_azx 
(-15, 129, -681), [4, 15, 3], 3.19.ap_ez_abaf 
(-14, 80, -331), [5, 4, 11], 3.19.ao_dc_amt 
(-14, 81, -339), [5, 5, 3], 3.19.ao_dd_anb 
(-14, 82, -347), [5, 6, 14], 3.19.ao_de_anj 
(-14, 83, -357), [5, 7, 4], 3.19.ao_df_ant 
(-14, 84, -365), [5, 8, 15], 3.19.ao_dg_aob 
(-14, 85, -373), [5, 9, 7], 3.19.ao_dh_aoj 
(-14, 86, -383), [5, 10, 16], 3.19.ao_di_aot 
(-14, 86, -382), [5, 10, 17], 3.19.ao_di_aos 
(-14, 86, -381), [5, 10, 18], 3.19.ao_di_aor 
(-14, 88, -398), [5, 12, 1], 3.19.ao_dk_api 
(-14, 88, -397), [5, 12, 2], 3.19.ao_dk_aph 
(-14, 89, -409), [5, 13, 9], 3.19.ao_dl_apt 
(-14, 90, -417), [5, 14, 1], 3.19.ao_dm_aqb 
(-14, 90, -415), [5, 14, 3], 3.19.ao_dm_apz 
(-14, 90, -413), [5, 14, 5], 3.19.ao_dm_apx 
(-14, 92, -435), [5, 16, 2], 3.19.ao_do_aqt 
(-14, 92, -433), [5, 16, 4], 3.19.ao_do_aqr 
(-14, 92, -431), [5, 16, 6], 3.19.ao_do_aqp 
(-14, 92, -429), [5, 16, 8], 3.19.ao_do_aqn 
(-14, 93, -439), [5, 17, 17], 3.19.ao_dp_aqx 
(-14, 94, -453), [5, 18, 3], 3.19.ao_dq_arl 
(-14, 94, -451), [5, 18, 5], 3.19.ao_dq_arj 
(-14, 94, -449), [5, 18, 7], 3.19.ao_dq_arh 
(-14, 94, -447), [5, 18, 9], 3.19.ao_dq_arf 
(-14, 94, -445), [5, 18, 11], 3.19.ao_dq_ard 
(-14, 95, -457), [5, 0, 18], 3.19.ao_dr_arp 
(-14, 96, -469), [5, 1, 6], 3.19.ao_ds_asb 
(-14, 96, -467), [5, 1, 8], 3.19.ao_ds_arz 
(-14, 96, -465), [5, 1, 10], 3.19.ao_ds_arx 
(-14, 96, -463), [5, 1, 12], 3.19.ao_ds_arv 
(-14, 96, -461), [5, 1, 14], 3.19.ao_ds_art 
(-14, 96, -459), [5, 1, 16], 3.19.ao_ds_arr 
(-14, 97, -479), [5, 2, 15], 3.19.ao_dt_asl 
(-14, 97, -473), [5, 2, 2], 3.19.ao_dt_asf 
(-14, 97, -471), [5, 2, 4], 3.19.ao_dt_asd 
(-14, 98, -487), [5, 3, 7], 3.19.ao_du_ast 
(-14, 98, -485), [5, 3, 9], 3.19.ao_du_asr 
(-14, 98, -483), [5, 3, 11], 3.19.ao_du_asp 
(-14, 98, -481), [5, 3, 13], 3.19.ao_du_asn 
(-14, 98, -479), [5, 3, 15], 3.19.ao_du_asl 
(-14, 98, -477), [5, 3, 17], 3.19.ao_du_asj 
(-14, 98, -474), [5, 3, 1], 3.19.ao_du_asg 
(-14, 100, -505), [5, 5, 8], 3.19.ao_dw_atl 
(-14, 100, -503), [5, 5, 10], 3.19.ao_dw_atj 
(-14, 100, -501), [5, 5, 12], 3.19.ao_dw_ath 
(-14, 100, -499), [5, 5, 14], 3.19.ao_dw_atf 
(-14, 100, -497), [5, 5, 16], 3.19.ao_dw_atd 
(-14, 100, -495), [5, 5, 18], 3.19.ao_dw_atb 
(-14, 100, -493), [5, 5, 1], 3.19.ao_dw_asz 
(-14, 100, -491), [5, 5, 3], 3.19.ao_dw_asx 
(-14, 100, -489), [5, 5, 5], 3.19.ao_dw_asv 
(-14, 102, -521), [5, 7, 11], 3.19.ao_dy_aub 
(-14, 102, -519), [5, 7, 13], 3.19.ao_dy_atz 
(-14, 102, -517), [5, 7, 15], 3.19.ao_dy_atx 
(-14, 102, -515), [5, 7, 17], 3.19.ao_dy_atv 
(-14, 102, -511), [5, 7, 2], 3.19.ao_dy_atr 
(-14, 102, -509), [5, 7, 4], 3.19.ao_dy_atp 
(-14, 102, -507), [5, 7, 6], 3.19.ao_dy_atn 
(-14, 102, -505), [5, 7, 8], 3.19.ao_dy_atl 
(-14, 103, -531), [5, 8, 1], 3.19.ao_dz_aul 
(-14, 104, -539), [5, 9, 12], 3.19.ao_ea_aut 
(-14, 104, -537), [5, 9, 14], 3.19.ao_ea_aur 
(-14, 104, -535), [5, 9, 16], 3.19.ao_ea_aup 
(-14, 104, -533), [5, 9, 18], 3.19.ao_ea_aun 
(-14, 104, -531), [5, 9, 1], 3.19.ao_ea_aul 
(-14, 104, -529), [5, 9, 3], 3.19.ao_ea_auj 
(-14, 104, -527), [5, 9, 5], 3.19.ao_ea_auh 
(-14, 104, -525), [5, 9, 7], 3.19.ao_ea_auf 
(-14, 104, -523), [5, 9, 9], 3.19.ao_ea_aud 
(-14, 104, -521), [5, 9, 11], 3.19.ao_ea_aub 
(-14, 104, -519), [5, 9, 13], 3.19.ao_ea_atz 
(-14, 105, -549), [5, 10, 2], 3.19.ao_eb_avd 
(-14, 105, -527), [5, 10, 5], 3.19.ao_eb_auh 
(-14, 106, -557), [5, 11, 13], 3.19.ao_ec_avl 
(-14, 106, -555), [5, 11, 15], 3.19.ao_ec_avj 
(-14, 106, -553), [5, 11, 17], 3.19.ao_ec_avh 
(-14, 106, -549), [5, 11, 2], 3.19.ao_ec_avd 
(-14, 106, -547), [5, 11, 4], 3.19.ao_ec_avb 
(-14, 106, -545), [5, 11, 6], 3.19.ao_ec_auz 
(-14, 106, -543), [5, 11, 8], 3.19.ao_ec_aux 
(-14, 106, -541), [5, 11, 10], 3.19.ao_ec_auv 
(-14, 106, -539), [5, 11, 12], 3.19.ao_ec_aut 
(-14, 106, -537), [5, 11, 14], 3.19.ao_ec_aur 
(-14, 106, -535), [5, 11, 16], 3.19.ao_ec_aup 
(-14, 106, -533), [5, 11, 18], 3.19.ao_ec_aun 
(-14, 108, -575), [5, 13, 14], 3.19.ao_ee_awd 
(-14, 108, -574), [5, 13, 15], 3.19.ao_ee_awc 
(-14, 108, -573), [5, 13, 16], 3.19.ao_ee_awb 
(-14, 108, -571), [5, 13, 18], 3.19.ao_ee_avz 
(-14, 108, -569), [5, 13, 1], 3.19.ao_ee_avx 
(-14, 108, -567), [5, 13, 3], 3.19.ao_ee_avv 
(-14, 108, -565), [5, 13, 5], 3.19.ao_ee_avt 
(-14, 108, -563), [5, 13, 7], 3.19.ao_ee_avr 
(-14, 108, -561), [5, 13, 9], 3.19.ao_ee_avp 
(-14, 108, -559), [5, 13, 11], 3.19.ao_ee_avn 
(-14, 108, -557), [5, 13, 13], 3.19.ao_ee_avl 
(-14, 108, -555), [5, 13, 15], 3.19.ao_ee_avj 
(-14, 108, -553), [5, 13, 17], 3.19.ao_ee_avh 
(-14, 108, -549), [5, 13, 2], 3.19.ao_ee_avd 
(-14, 108, -547), [5, 13, 4], 3.19.ao_ee_avb 
(-14, 110, -591), [5, 15, 17], 3.19.ao_eg_awt 
(-14, 110, -587), [5, 15, 2], 3.19.ao_eg_awp 
(-14, 110, -586), [5, 15, 3], 3.19.ao_eg_awo 
(-14, 110, -585), [5, 15, 4], 3.19.ao_eg_awn 
(-14, 110, -583), [5, 15, 6], 3.19.ao_eg_awl 
(-14, 110, -581), [5, 15, 8], 3.19.ao_eg_awj 
(-14, 110, -579), [5, 15, 10], 3.19.ao_eg_awh 
(-14, 110, -577), [5, 15, 12], 3.19.ao_eg_awf 
