(-12, 87, -407), [0, 3, 1], 3.16.am_dj_apr 
(-12, 87, -405), [0, 3, 3], 3.16.am_dj_app 
(-12, 87, -403), [0, 3, 1], 3.16.am_dj_apn 
(-12, 89, -427), [0, 1, 1], 3.16.am_dl_aql 
(-12, 89, -425), [0, 1, 3], 3.16.am_dl_aqj 
(-12, 89, -423), [0, 1, 1], 3.16.am_dl_aqh 
(-12, 89, -421), [0, 1, 3], 3.16.am_dl_aqf 
(-12, 89, -419), [0, 1, 1], 3.16.am_dl_aqd 
(-12, 89, -417), [0, 1, 3], 3.16.am_dl_aqb 
(-12, 89, -415), [0, 1, 1], 3.16.am_dl_apz 
(-12, 89, -413), [0, 1, 3], 3.16.am_dl_apx 
(-12, 90, -423), [0, 2, 1], 3.16.am_dm_aqh 
(-12, 91, -431), [0, 3, 1], 3.16.am_dn_aqp 
(-12, 91, -429), [0, 3, 3], 3.16.am_dn_aqn 
(-12, 91, -427), [0, 3, 1], 3.16.am_dn_aql 
(-12, 91, -425), [0, 3, 3], 3.16.am_dn_aqj 
(-12, 93, -437), [0, 1, 3], 3.16.am_dp_aqv 
(-12, 93, -435), [0, 1, 1], 3.16.am_dp_aqt 
(-11, 40, -95), [1, 0, 1], 3.16.al_bo_adr 
(-11, 42, -111), [1, 2, 1], 3.16.al_bq_aeh 
(-11, 43, -119), [1, 3, 1], 3.16.al_br_aep 
(-11, 44, -127), [1, 0, 1], 3.16.al_bs_aex 
(-11, 45, -133), [1, 1, 3], 3.16.al_bt_afd 
(-11, 46, -143), [1, 2, 1], 3.16.al_bu_afn 
(-11, 46, -141), [1, 2, 3], 3.16.al_bu_afl 
(-11, 48, -159), [1, 0, 1], 3.16.al_bw_agd 
(-11, 48, -157), [1, 0, 3], 3.16.al_bw_agb 
(-11, 48, -155), [1, 0, 1], 3.16.al_bw_afz 
(-11, 50, -175), [1, 2, 1], 3.16.al_by_agt 
(-11, 50, -173), [1, 2, 3], 3.16.al_by_agr 
(-11, 50, -171), [1, 2, 1], 3.16.al_by_agp 
