(1, 2, 1), [1, 2, 1], 3.5.b_c_b 
(1, 2, 3), [1, 2, 3], 3.5.b_c_d 
(1, 2, 7), [1, 2, 3], 3.5.b_c_h 
(1, 2, 9), [1, 2, 1], 3.5.b_c_j 
(1, 2, 11), [1, 2, 3], 3.5.b_c_l 
(1, 2, 17), [1, 2, 1], 3.5.b_c_r 
(1, 2, 19), [1, 2, 3], 3.5.b_c_t 
(1, 4, -7), [1, 0, 1], 3.5.b_e_ah 
(1, 4, -3), [1, 0, 1], 3.5.b_e_ad 
(1, 4, 1), [1, 0, 1], 3.5.b_e_b 
(1, 4, 3), [1, 0, 3], 3.5.b_e_d 
(1, 4, 9), [1, 0, 1], 3.5.b_e_j 
(1, 4, 11), [1, 0, 3], 3.5.b_e_l 
(1, 4, 13), [1, 0, 1], 3.5.b_e_n 
(1, 4, 17), [1, 0, 1], 3.5.b_e_r 
(1, 6, -3), [1, 2, 1], 3.5.b_g_ad 
(1, 6, -1), [1, 2, 3], 3.5.b_g_ab 
(1, 6, 3), [1, 2, 3], 3.5.b_g_d 
(1, 6, 7), [1, 2, 3], 3.5.b_g_h 
(1, 6, 9), [1, 2, 1], 3.5.b_g_j 
(1, 6, 11), [1, 2, 3], 3.5.b_g_l 
(1, 6, 13), [1, 2, 1], 3.5.b_g_n 
(1, 8, 1), [1, 0, 1], 3.5.b_i_b 
(1, 8, 9), [1, 0, 1], 3.5.b_i_j 
(1, 8, 11), [1, 0, 3], 3.5.b_i_l 
(1, 8, 13), [1, 0, 1], 3.5.b_i_n 
(1, 10, 7), [1, 2, 3], 3.5.b_k_h 
(1, 10, 9), [1, 2, 1], 3.5.b_k_j 
(1, 10, 11), [1, 2, 3], 3.5.b_k_l 
