(0, -1, 27), [0, 3, 3], 3.17.ab_bs_abi 
(0, -1, 29), [0, 3, 1], 3.17.ab_bu_abi 
(0, -1, 30), [0, 3, 2], 3.17.ab_bv_abi 
(0, 0, -32), [0, 0, 0], 3.17.a_ap_a 
(0, 0, -31), [0, 0, 1], 3.17.a_ao_a 
(0, 0, -29), [0, 0, 3], 3.17.a_am_a 
(0, 0, -28), [0, 0, 0], 3.17.a_al_a 
(0, 0, -27), [0, 0, 1], 3.17.a_ak_a 
(0, 0, -26), [0, 0, 2], 3.17.a_aj_a 
(0, 0, -24), [0, 0, 0], 3.17.a_ah_a 
(0, 0, -23), [0, 0, 1], 3.17.a_ag_a 
(0, 0, -22), [0, 0, 2], 3.17.a_af_a 
(2, -2, -17), [2, 2, 3], 3.17.a_ae_ady 
(0, 0, -21), [0, 0, 3], 3.17.a_ae_a 
(-2, 2, -17), [2, 2, 3], 3.17.a_ae_dy 
(0, 0, -20), [0, 0, 0], 3.17.a_ad_a 
(6, -6, 17), [2, 2, 1], 3.17.a_ac_ady 
(0, 0, -19), [0, 0, 1], 3.17.a_ac_a 
(-6, 6, 17), [2, 2, 1], 3.17.a_ac_dy 
(1, -1, -17), [1, 3, 3], 3.17.a_ab_abz 
(0, 0, -18), [0, 0, 2], 3.17.a_ab_a 
(-1, 1, -17), [3, 1, 3], 3.17.a_ab_bz 
(0, 0, -16), [0, 0, 0], 3.17.a_b_a 
(0, 0, -14), [0, 0, 2], 3.17.a_d_a 
(0, 0, -13), [0, 0, 3], 3.17.a_e_a 
(0, 0, -12), [0, 0, 0], 3.17.a_f_a 
(0, 0, -11), [0, 0, 1], 3.17.a_g_a 
(0, 0, -10), [0, 0, 2], 3.17.a_h_a 
(3, -3, 0), [3, 1, 0], 3.17.a_i_ady 
(-3, 3, 0), [1, 3, 0], 3.17.a_i_dy 
(5, -5, 17), [1, 3, 1], 3.17.a_j_adh 
(0, 0, -8), [0, 0, 0], 3.17.a_j_a 
(-5, 5, 17), [3, 1, 1], 3.17.a_j_dh 
(0, 0, -7), [0, 0, 1], 3.17.a_k_a 
(0, 0, -6), [0, 0, 2], 3.17.a_l_a 
(0, 0, -5), [0, 0, 3], 3.17.a_m_a 
(2, -2, 0), [2, 2, 0], 3.17.a_n_acq 
(0, 0, -4), [0, 0, 0], 3.17.a_n_a 
