(-5, 4, 15), [4, 4, 6], 3.9.ab_e_ad 
(-3, 2, 1), [6, 2, 1], 3.9.ab_e_bh 
(3, -4, 8), [3, 5, 8], 3.9.ab_f_abw 
(-3, 2, 2), [6, 2, 2], 3.9.ab_f_be 
(-3, 2, 4), [6, 2, 4], 3.9.ab_h_y 
(3, -4, 11), [3, 5, 2], 3.9.ab_i_abn 
(-3, 2, 5), [6, 2, 5], 3.9.ab_i_v 
(-2, 1, 3), [7, 1, 3], 3.9.ab_k_m 
(-3, 2, 7), [6, 2, 7], 3.9.ab_k_p 
(3, -4, 17), [3, 5, 8], 3.9.ab_o_av 
(-3, 2, 11), [6, 2, 2], 3.9.ab_o_d 
(1, -2, 9), [1, 7, 0], 3.9.ab_q_abb 
(3, -4, 19), [3, 5, 1], 3.9.ab_q_ap 
(-3, 2, 13), [6, 2, 4], 3.9.ab_q_ad 
(-2, 1, 9), [7, 1, 0], 3.9.ab_q_a 
(1, -2, 12), [1, 7, 3], 3.9.ab_t_ay 
(0, -1, 11), [0, 8, 2], 3.9.ab_u_as 
(-3, 2, 17), [6, 2, 8], 3.9.ab_u_ap 
(0, -1, 17), [0, 8, 8], 3.9.ab_ba_as 
(-6, 6, 19), [3, 6, 1], 3.9.a_ai_ag 
(6, -6, 19), [6, 3, 1], 3.9.a_ai_g 
(-6, 6, 20), [3, 6, 2], 3.9.a_ah_am 
(0, 0, -16), [0, 0, 2], 3.9.a_ah_a 
(6, -6, 20), [6, 3, 2], 3.9.a_ah_m 
(-6, 6, 22), [3, 6, 4], 3.9.a_af_ay 
(6, -6, 22), [6, 3, 4], 3.9.a_af_y 
(-6, 6, 25), [3, 6, 7], 3.9.a_ac_abq 
(6, -6, 25), [6, 3, 7], 3.9.a_ac_bq 
(1, -1, -9), [1, 8, 0], 3.9.a_ab_abb 
(-1, 1, -9), [8, 1, 0], 3.9.a_ab_bb 
(3, -3, 1), [3, 6, 1], 3.9.a_b_abz 
(-3, 3, 1), [6, 3, 1], 3.9.a_b_bz 
(3, -3, 5), [3, 6, 5], 3.9.a_f_abn 
(-3, 3, 5), [6, 3, 5], 3.9.a_f_bn 
(2, -2, 9), [2, 7, 0], 3.9.a_o_as 
(-2, 2, 9), [7, 2, 0], 3.9.a_o_s 
(0, 0, 7), [0, 0, 7], 3.9.a_q_a 
(-3, 3, 19), [6, 3, 1], 3.9.a_t_ad 
(3, -3, 19), [3, 6, 1], 3.9.a_t_d 
(0, 0, 11), [0, 0, 2], 3.9.a_u_a 
(0, 0, 13), [0, 0, 4], 3.9.a_w_a 
(0, 0, 16), [0, 0, 7], 3.9.a_z_a 
(-6, 7, 25), [3, 7, 7], 3.9.b_ai_ay 
(6, -5, 13), [6, 4, 4], 3.9.b_ai_am 
(-6, 7, 26), [3, 7, 8], 3.9.b_ah_abe 
(6, -5, 14), [6, 4, 5], 3.9.b_ah_ag 
(-6, 7, 29), [3, 7, 2], 3.9.b_ae_abw 
(6, -5, 17), [6, 4, 8], 3.9.b_ae_m 
(3, -2, -5), [3, 7, 4], 3.9.b_ac_abz 
(5, -4, 9), [5, 5, 0], 3.9.b_ac_abb 
(6, -5, 19), [6, 4, 1], 3.9.b_ac_y 
(6, -5, 20), [6, 4, 2], 3.9.b_ab_be 
(3, -2, -2), [3, 7, 7], 3.9.b_b_abq 
(3, -2, -1), [3, 7, 8], 3.9.b_c_abn 
(6, -5, 23), [6, 4, 5], 3.9.b_c_bw 
(3, -2, 1), [3, 7, 1], 3.9.b_e_abh 
(5, -4, 15), [5, 5, 6], 3.9.b_e_d 
(-3, 4, 7), [6, 4, 7], 3.9.b_e_bz 
(3, -2, 2), [3, 7, 2], 3.9.b_f_abe 
(-3, 4, 8), [6, 4, 8], 3.9.b_f_bw 
(3, -2, 4), [3, 7, 4], 3.9.b_h_ay 
(3, -2, 5), [3, 7, 5], 3.9.b_i_av 
(-3, 4, 11), [6, 4, 2], 3.9.b_i_bn 
(3, -2, 7), [3, 7, 7], 3.9.b_k_ap 
(2, -1, 3), [2, 8, 3], 3.9.b_k_am 
(3, -2, 11), [3, 7, 2], 3.9.b_o_ad 
(-3, 4, 17), [6, 4, 8], 3.9.b_o_v 
(2, -1, 9), [2, 8, 0], 3.9.b_q_a 
(3, -2, 13), [3, 7, 4], 3.9.b_q_d 
(-3, 4, 19), [6, 4, 1], 3.9.b_q_p 
(-1, 2, 9), [8, 2, 0], 3.9.b_q_bb 
(-1, 2, 12), [8, 2, 3], 3.9.b_t_y 
(3, -2, 17), [3, 7, 8], 3.9.b_u_p 
(0, 1, 11), [0, 1, 2], 3.9.b_u_s 
(0, 1, 17), [0, 1, 8], 3.9.b_ba_s 
(-6, 8, 31), [3, 8, 4], 3.9.c_ai_abq 
(3, -1, -11), [3, 8, 7], 3.9.c_af_abz 
(6, -4, 11), [6, 5, 2], 3.9.c_ae_ag 
(3, -1, -7), [3, 8, 2], 3.9.c_ab_abn 
(3, -1, -5), [3, 8, 4], 3.9.c_b_abh 
(6, -4, 16), [6, 5, 7], 3.9.c_b_y 
(6, -4, 17), [6, 5, 8], 3.9.c_c_be 
(6, -4, 19), [6, 5, 1], 3.9.c_e_bq 
(3, -1, -1), [3, 8, 8], 3.9.c_f_av 
(6, -4, 20), [6, 5, 2], 3.9.c_f_bw 
(3, -1, 5), [3, 8, 5], 3.9.c_l_ad 
(3, -1, 7), [3, 8, 7], 3.9.c_n_d 
(0, 2, 5), [0, 2, 5], 3.9.c_o_bk 
(3, -1, 10), [3, 8, 1], 3.9.c_q_m 
(3, -1, 11), [3, 8, 2], 3.9.c_r_p 
(3, -1, 14), [3, 8, 5], 3.9.c_u_y 
(3, -1, 17), [3, 8, 8], 3.9.c_x_bh 
(0, 2, 17), [0, 2, 8], 3.9.c_ba_bk 
(-6, 9, 37), [3, 0, 1], 3.9.d_ai_aci 
(3, 0, -17), [3, 0, 1], 3.9.d_ai_abz 
(6, -3, 1), [6, 6, 1], 3.9.d_ai_abw 
(3, 0, -16), [3, 0, 2], 3.9.d_ah_abw 
(6, -3, 2), [6, 6, 2], 3.9.d_ah_abq 
(6, -3, 4), [6, 6, 4], 3.9.d_af_abe 
(3, 0, -13), [3, 0, 5], 3.9.d_ae_abn 
(6, -3, 5), [6, 6, 5], 3.9.d_ae_ay 
(3, 0, -11), [3, 0, 7], 3.9.d_ac_abh 
(6, -3, 7), [6, 6, 7], 3.9.d_ac_am 
(4, -1, -6), [4, 8, 3], 3.9.d_ab_abq 
(3, 0, -10), [3, 0, 8], 3.9.d_ab_abe 
(3, 0, -8), [3, 0, 1], 3.9.d_b_ay 
(6, -3, 10), [6, 6, 1], 3.9.d_b_g 
(4, -1, -3), [4, 8, 6], 3.9.d_c_abe 
(6, -3, 11), [6, 6, 2], 3.9.d_c_m 
(3, 0, -5), [3, 0, 4], 3.9.d_e_ap 
(4, -1, 0), [4, 8, 0], 3.9.d_f_as 
(6, -3, 16), [6, 6, 7], 3.9.d_h_bq 
(4, -1, 3), [4, 8, 3], 3.9.d_i_ag 
(3, 0, -1), [3, 0, 8], 3.9.d_i_ad 
(5, -2, 9), [5, 7, 0], 3.9.d_i_j 
(6, -3, 17), [6, 6, 8], 3.9.d_i_bw 
(3, 0, 1), [3, 0, 1], 3.9.d_k_d 
(-3, 6, 19), [6, 6, 1], 3.9.d_k_bz 
(6, -3, 19), [6, 6, 1], 3.9.d_k_ci 
(3, 0, 5), [3, 0, 5], 3.9.d_o_p 
(-1, 4, 9), [8, 4, 0], 3.9.d_o_cl 
(3, 0, 7), [3, 0, 7], 3.9.d_q_v 
(-3, 6, 25), [6, 6, 7], 3.9.d_q_bh 
(3, 0, 8), [3, 0, 8], 3.9.d_r_y 
(3, 0, 10), [3, 0, 1], 3.9.d_t_be 
(3, 0, 11), [3, 0, 2], 3.9.d_u_bh 
(1, 2, 9), [1, 2, 0], 3.9.d_u_bt 
(-1, 4, 15), [8, 4, 6], 3.9.d_u_cf 
(3, 0, 13), [3, 0, 4], 3.9.d_w_bn 
(0, 3, 13), [0, 3, 4], 3.9.d_w_cc 
(3, 0, 16), [3, 0, 7], 3.9.d_z_bw 
(0, 3, 16), [0, 3, 7], 3.9.d_z_cc 
(0, 3, 17), [0, 3, 8], 3.9.d_ba_cc 
(0, 3, 19), [0, 3, 1], 3.9.d_bc_cc 
(6, -2, -5), [6, 7, 4], 3.9.e_ai_aco 
(6, -2, -4), [6, 7, 5], 3.9.e_ah_aci 
(5, -1, -9), [5, 8, 0], 3.9.e_af_acl 
(6, -2, -2), [6, 7, 7], 3.9.e_af_abw 
(6, -2, -1), [6, 7, 8], 3.9.e_ae_abq 
(6, -2, 1), [6, 7, 1], 3.9.e_ac_abe 
(5, -1, -3), [5, 8, 6], 3.9.e_b_abh 
(6, -2, 4), [6, 7, 4], 3.9.e_b_am 
(3, 1, -10), [3, 1, 8], 3.9.e_c_am 
(6, -2, 5), [6, 7, 5], 3.9.e_c_ag 
(6, -2, 7), [6, 7, 7], 3.9.e_e_g 
(6, -2, 8), [6, 7, 8], 3.9.e_f_m 
(6, -2, 11), [6, 7, 2], 3.9.e_i_be 
(6, -2, 13), [6, 7, 4], 3.9.e_k_bq 
(3, 1, -1), [3, 1, 8], 3.9.e_l_p 
(6, -2, 14), [6, 7, 5], 3.9.e_l_bw 
(6, -2, 16), [6, 7, 7], 3.9.e_n_ci 
(6, -2, 17), [6, 7, 8], 3.9.e_o_co 
(0, 4, 7), [0, 4, 7], 3.9.e_q_cu 
(-3, 7, 29), [6, 7, 2], 3.9.e_r_bn 
(-1, 5, 15), [8, 5, 6], 3.9.e_t_cx 
(3, 1, 10), [3, 1, 1], 3.9.e_w_bw 
(3, 1, 11), [3, 1, 2], 3.9.e_x_bz 
(3, 1, 13), [3, 1, 4], 3.9.e_z_cf 
(0, 4, 16), [0, 4, 7], 3.9.e_z_cu 
