(0, -4, -6), [0, 0, 2], 3.23.ae_r_ahc 
(0, -4, -5), [0, 0, 3], 3.23.ae_s_ahc 
(-5, 1, 0), [3, 1, 0], 3.23.ae_s_bu 
(0, -4, -4), [0, 0, 0], 3.23.ae_t_ahc 
(0, -4, -3), [0, 0, 1], 3.23.ae_u_ahc 
(0, -4, -2), [0, 0, 2], 3.23.ae_v_ahc 
(0, -4, -1), [0, 0, 3], 3.23.ae_w_ahc 
(3, -7, 23), [3, 1, 3], 3.23.ae_z_ajt 
(0, -4, 2), [0, 0, 2], 3.23.ae_z_ahc 
(-7, 3, 23), [1, 3, 3], 3.23.ae_z_ax 
(0, -4, 3), [0, 0, 3], 3.23.ae_ba_ahc 
(-1, -3, 0), [3, 1, 0], 3.23.ae_ba_afi 
(-3, -1, 0), [1, 3, 0], 3.23.ae_ba_abu 
(0, -4, 4), [0, 0, 0], 3.23.ae_bb_ahc 
(-2, -2, 0), [2, 2, 0], 3.23.ae_bb_ado 
(0, -4, 5), [0, 0, 1], 3.23.ae_bc_ahc 
(0, -4, 6), [0, 0, 2], 3.23.ae_bd_ahc 
(0, -4, 7), [0, 0, 3], 3.23.ae_be_ahc 
(0, -4, 8), [0, 0, 0], 3.23.ae_bf_ahc 
(0, -4, 9), [0, 0, 1], 3.23.ae_bg_ahc 
(6, -10, 69), [2, 2, 1], 3.23.ae_bg_abu 
(0, -4, 10), [0, 0, 2], 3.23.ae_bh_ahc 
(2, -6, 23), [2, 2, 3], 3.23.ae_bi_aiw 
(0, -4, 11), [0, 0, 3], 3.23.ae_bi_ahc 
(-6, 2, 23), [2, 2, 3], 3.23.ae_bi_abu 
(0, -4, 12), [0, 0, 0], 3.23.ae_bj_ahc 
(0, -4, 13), [0, 0, 1], 3.23.ae_bk_ahc 
(0, -4, 15), [0, 0, 3], 3.23.ae_bm_ahc 
(0, -4, 16), [0, 0, 0], 3.23.ae_bn_ahc 
(0, -4, 17), [0, 0, 1], 3.23.ae_bo_ahc 
(1, -5, 23), [1, 3, 3], 3.23.ae_bp_ahz 
(0, -4, 18), [0, 0, 2], 3.23.ae_bp_ahc 
(-5, 1, 23), [3, 1, 3], 3.23.ae_bp_acr 
(0, -4, 19), [0, 0, 3], 3.23.ae_bq_ahc 
(0, -4, 20), [0, 0, 0], 3.23.ae_br_ahc 
(0, -4, 21), [0, 0, 1], 3.23.ae_bs_ahc 
(0, -4, 22), [0, 0, 2], 3.23.ae_bt_ahc 
(0, -4, 24), [0, 0, 0], 3.23.ae_bv_ahc 
(0, -4, 26), [0, 0, 2], 3.23.ae_bx_ahc 
(-1, -3, 23), [3, 1, 3], 3.23.ae_bx_agf 
(-3, -1, 23), [1, 3, 3], 3.23.ae_bx_ael 
(0, -4, 27), [0, 0, 3], 3.23.ae_by_ahc 
(-2, -2, 23), [2, 2, 3], 3.23.ae_by_afi 
(0, -4, 28), [0, 0, 0], 3.23.ae_bz_ahc 
(0, -4, 29), [0, 0, 1], 3.23.ae_ca_ahc 
(0, -4, 30), [0, 0, 2], 3.23.ae_cb_ahc 
(0, -4, 31), [0, 0, 3], 3.23.ae_cc_ahc 
