(-3, 7, 25), [1, 3, 1], 3.9.e_n_bz 
(3, 1, 2), [3, 1, 2], 3.9.e_o_y 
(-3, 7, 26), [1, 3, 2], 3.9.e_o_bw 
(3, 1, 4), [3, 1, 0], 3.9.e_q_be 
(3, 1, 5), [3, 1, 1], 3.9.e_r_bh 
(0, 4, 8), [0, 0, 0], 3.9.e_r_cu 
(3, 1, 7), [3, 1, 3], 3.9.e_t_bn 
(2, 2, 6), [2, 2, 2], 3.9.e_t_bw 
(0, 4, 10), [0, 0, 2], 3.9.e_t_cu 
(3, 1, 8), [3, 1, 0], 3.9.e_u_bq 
(0, 4, 11), [0, 0, 3], 3.9.e_u_cu 
(2, 2, 9), [2, 2, 1], 3.9.e_w_cc 
(0, 4, 14), [0, 0, 2], 3.9.e_x_cu 
(2, 2, 12), [2, 2, 0], 3.9.e_z_ci 
(-1, 5, 21), [3, 1, 1], 3.9.e_z_cr 
(4, 1, -9), [0, 1, 3], 3.9.f_e_as 
(6, -1, 1), [2, 3, 1], 3.9.f_e_am 
(4, 1, -6), [0, 1, 2], 3.9.f_h_ag 
(4, 1, -3), [0, 1, 1], 3.9.f_k_g 
(3, 2, -4), [3, 2, 0], 3.9.f_l_y 
(6, -1, 8), [2, 3, 0], 3.9.f_l_be 
(4, 1, 0), [0, 1, 0], 3.9.f_n_s 
(3, 2, -2), [3, 2, 2], 3.9.f_n_be 
(3, 2, 2), [3, 2, 2], 3.9.f_r_bq 
(-3, 8, 32), [1, 0, 0], 3.9.f_r_bw 
(3, 2, 4), [3, 2, 0], 3.9.f_t_bw 
(-2, 7, 27), [2, 3, 3], 3.9.f_w_cu 
(3, 2, 8), [3, 2, 0], 3.9.f_x_ci 
(0, 5, 14), [0, 1, 2], 3.9.f_x_dm 
(6, 0, -14), [2, 0, 2], 3.9.g_af_adg 
(6, 0, -2), [2, 0, 2], 3.9.g_h_am 
(5, 1, -6), [1, 1, 2], 3.9.g_i_am 
(5, 1, 0), [1, 1, 0], 3.9.g_o_s 
(6, 0, 7), [2, 0, 3], 3.9.g_q_bq 
(5, 1, 3), [1, 1, 3], 3.9.g_r_bh 
(4, 2, 0), [0, 2, 0], 3.9.g_r_bk 
(-3, 9, 37), [1, 1, 1], 3.9.g_t_bz 
(6, 0, 10), [2, 0, 2], 3.9.g_t_ci 
(3, 3, 2), [3, 3, 2], 3.9.g_u_ci 
(3, 3, 4), [3, 3, 0], 3.9.g_w_co 
(4, 2, 6), [0, 2, 2], 3.9.g_x_ci 
(5, 1, 9), [1, 1, 1], 3.9.g_x_cl 
(3, 3, 5), [3, 3, 1], 3.9.g_x_cr 
(2, 4, 9), [2, 0, 1], 3.9.g_ba_dm 
(4, 2, 12), [0, 2, 0], 3.9.g_bd_dg 
(-1, 7, 27), [3, 3, 3], 3.9.g_bd_dv 
(1, 5, 15), [1, 1, 3], 3.9.g_bd_eb 
(0, 6, 22), [0, 2, 2], 3.9.g_bf_ee 
(2, 4, 15), [2, 0, 3], 3.9.g_bg_dy 
(3, 3, 16), [3, 3, 0], 3.9.g_bi_dy 
(6, 1, 4), [2, 1, 0], 3.9.h_t_bq 
(6, 1, 13), [2, 1, 1], 3.9.h_bc_ds 
(3, 4, 10), [3, 0, 2], 3.9.h_bf_dy 
(2, 5, 15), [2, 1, 3], 3.9.h_bi_eq 
(0, 7, 25), [0, 3, 1], 3.9.h_bi_ew 
(3, 4, 14), [3, 0, 2], 3.9.h_bj_ek 
(0, 7, 26), [0, 3, 2], 3.9.h_bj_ew 
(0, 7, 29), [0, 3, 1], 3.9.h_bm_ew 
(6, 2, 2), [2, 2, 2], 3.9.i_x_bw 
(4, 4, 9), [0, 0, 1], 3.9.i_bi_ee 
(3, 5, 14), [3, 1, 2], 3.9.i_bm_fc 
(3, 5, 16), [3, 1, 0], 3.9.i_bo_fi 
(0, 8, 32), [0, 0, 0], 3.9.i_bp_fo 
(3, 5, 20), [3, 1, 0], 3.9.i_bs_fu 
(6, 3, 16), [2, 3, 0], 3.9.j_br_fu 
(3, 6, 20), [3, 2, 0], 3.9.j_bv_gm 
(6, 4, 10), [2, 0, 2], 3.9.k_br_fc 
(6, 4, 14), [2, 0, 2], 3.9.k_bv_ga 
