(-8, 1, 13), [0, 1, 1], 3.16.ah_v_acu 
(-4, -3, -7), [0, 1, 1], 3.16.ah_v_acq 
(-8, 1, 15), [0, 1, 3], 3.16.ah_x_adk 
(-4, -3, -5), [0, 1, 3], 3.16.ah_x_acy 
(-8, 1, 17), [0, 1, 1], 3.16.ah_z_aea 
(-4, -3, -3), [0, 1, 1], 3.16.ah_z_adg 
(-8, 1, 19), [0, 1, 3], 3.16.ah_bb_aeq 
(-4, -3, -1), [0, 1, 3], 3.16.ah_bb_ado 
(-8, 1, 21), [0, 1, 1], 3.16.ah_bd_afg 
(4, -11, 57), [0, 1, 1], 3.16.ah_bd_aeu 
(-4, -3, 1), [0, 1, 1], 3.16.ah_bd_adw 
(-8, 1, 23), [0, 1, 3], 3.16.ah_bf_afw 
(4, -11, 59), [0, 1, 3], 3.16.ah_bf_aem 
(-4, -3, 3), [0, 1, 3], 3.16.ah_bf_aee 
(-8, 1, 25), [0, 1, 1], 3.16.ah_bh_agm 
(-4, -3, 5), [0, 1, 1], 3.16.ah_bh_aem 
(4, -11, 61), [0, 1, 1], 3.16.ah_bh_aee 
(-8, 1, 27), [0, 1, 3], 3.16.ah_bj_ahc 
(-4, -3, 7), [0, 1, 3], 3.16.ah_bj_aeu 
(-8, 1, 29), [0, 1, 1], 3.16.ah_bl_ahs 
(-4, -3, 9), [0, 1, 1], 3.16.ah_bl_afc 
(-8, 1, 31), [0, 1, 3], 3.16.ah_bn_aii 
(-4, -3, 11), [0, 1, 3], 3.16.ah_bn_afk 
(0, -7, 25), [0, 1, 1], 3.16.ah_bp_aiq 
(-4, -3, 13), [0, 1, 1], 3.16.ah_bp_afs 
(0, -7, 27), [0, 1, 3], 3.16.ah_br_aiq 
(-4, -3, 15), [0, 1, 3], 3.16.ah_br_aga 
(0, -7, 29), [0, 1, 1], 3.16.ah_bt_aiq 
(-4, -3, 17), [0, 1, 1], 3.16.ah_bt_agi 
(0, -7, 31), [0, 1, 3], 3.16.ah_bv_aiq 
(-4, -3, 19), [0, 1, 3], 3.16.ah_bv_agq 
(0, -7, 33), [0, 1, 1], 3.16.ah_bx_aiq 
(-4, -3, 21), [0, 1, 1], 3.16.ah_bx_agy 
(0, -7, 35), [0, 1, 3], 3.16.ah_bz_aiq 
(-4, -3, 23), [0, 1, 3], 3.16.ah_bz_ahg 
(0, -7, 37), [0, 1, 1], 3.16.ah_cb_aiq 
(-4, -3, 25), [0, 1, 1], 3.16.ah_cb_aho 
(0, -7, 39), [0, 1, 3], 3.16.ah_cd_aiq 
(-4, -3, 27), [0, 1, 3], 3.16.ah_cd_ahw 
(0, -7, 41), [0, 1, 1], 3.16.ah_cf_aiq 
(-4, -3, 29), [0, 1, 1], 3.16.ah_cf_aie 
(0, -7, 43), [0, 1, 3], 3.16.ah_ch_aiq 
(-4, -3, 31), [0, 1, 3], 3.16.ah_ch_aim 
(-4, -3, 33), [0, 1, 1], 3.16.ah_cj_aiu 
(-8, 2, -15), [0, 2, 1], 3.16.ag_ap_hc 
(-8, 2, -13), [0, 2, 3], 3.16.ag_an_gm 
(-8, 2, -11), [0, 2, 1], 3.16.ag_al_fw 
(-7, 1, -20), [1, 1, 0], 3.16.ag_al_gq 
(-8, 2, -9), [0, 2, 3], 3.16.ag_aj_fg 
(-8, 2, -7), [0, 2, 1], 3.16.ag_ah_eq 
(-7, 1, -16), [1, 1, 0], 3.16.ag_ah_fo 
(-8, 2, -5), [0, 2, 3], 3.16.ag_af_ea 
(-8, 2, -1), [0, 2, 3], 3.16.ag_ab_cu 
(-7, 1, -8), [1, 1, 0], 3.16.ag_b_dk 
(-8, 2, 3), [0, 2, 3], 3.16.ag_d_bo 
(-8, 2, 5), [0, 2, 1], 3.16.ag_f_y 
(-8, 2, 7), [0, 2, 3], 3.16.ag_h_i 
(-8, 2, 9), [0, 2, 1], 3.16.ag_j_ai 
(-8, 2, 11), [0, 2, 3], 3.16.ag_l_ay 
(-8, 2, 13), [0, 2, 1], 3.16.ag_n_abo 
(-8, 2, 15), [0, 2, 3], 3.16.ag_p_ace 
(-8, 2, 19), [0, 2, 3], 3.16.ag_t_adk 
(-8, 2, 21), [0, 2, 1], 3.16.ag_v_aea 
(-8, 2, 23), [0, 2, 3], 3.16.ag_x_aeq 
(-8, 2, 25), [0, 2, 1], 3.16.ag_z_afg 
(-5, -1, 8), [3, 3, 0], 3.16.ag_bd_acu 
(-8, 2, 31), [0, 2, 3], 3.16.ag_bf_ahc 
(1, -7, 28), [1, 1, 0], 3.16.ag_bl_aho 
(-5, -1, 16), [3, 3, 0], 3.16.ag_bl_aei 
(0, -6, 23), [0, 2, 3], 3.16.ag_bn_ahk 
(0, -6, 29), [0, 2, 1], 3.16.ag_bt_ahk 
(-4, -2, 21), [0, 2, 1], 3.16.ag_bt_afs 
(0, -6, 31), [0, 2, 3], 3.16.ag_bv_ahk 
(-4, -2, 23), [0, 2, 3], 3.16.ag_bv_aga 
(0, -6, 33), [0, 2, 1], 3.16.ag_bx_ahk 
(-4, -2, 25), [0, 2, 1], 3.16.ag_bx_agi 
(0, -6, 35), [0, 2, 3], 3.16.ag_bz_ahk 
(-4, -2, 27), [0, 2, 3], 3.16.ag_bz_agq 
(0, -6, 39), [0, 2, 3], 3.16.ag_cd_ahk 
(-4, -2, 31), [0, 2, 3], 3.16.ag_cd_ahg 
(-8, 3, -7), [0, 3, 1], 3.16.af_ap_fw 
(8, -13, 73), [0, 3, 1], 3.16.af_ap_gm 
(-8, 3, -5), [0, 3, 3], 3.16.af_an_fg 
(-8, 3, -3), [0, 3, 1], 3.16.af_al_eq 
(-8, 3, -1), [0, 3, 3], 3.16.af_aj_ea 
(-8, 3, 1), [0, 3, 1], 3.16.af_ah_dk 
(-8, 3, 3), [0, 3, 3], 3.16.af_af_cu 
(-8, 3, 5), [0, 3, 1], 3.16.af_ad_ce 
(-4, -1, -23), [0, 3, 1], 3.16.af_ad_ci 
(-8, 3, 7), [0, 3, 3], 3.16.af_ab_bo 
(-4, -1, -21), [0, 3, 3], 3.16.af_ab_ca 
(-8, 3, 9), [0, 3, 1], 3.16.af_b_y 
(-4, -1, -19), [0, 3, 1], 3.16.af_b_bs 
(-8, 3, 11), [0, 3, 3], 3.16.af_d_i 
(-4, -1, -17), [0, 3, 3], 3.16.af_d_bk 
(-8, 3, 13), [0, 3, 1], 3.16.af_f_ai 
(-4, -1, -15), [0, 3, 1], 3.16.af_f_bc 
(-8, 3, 15), [0, 3, 3], 3.16.af_h_ay 
(-4, -1, -13), [0, 3, 3], 3.16.af_h_u 
(-8, 3, 17), [0, 3, 1], 3.16.af_j_abo 
(-4, -1, -11), [0, 3, 1], 3.16.af_j_m 
(-8, 3, 19), [0, 3, 3], 3.16.af_l_ace 
(-4, -1, -9), [0, 3, 3], 3.16.af_l_e 
(-8, 3, 21), [0, 3, 1], 3.16.af_n_acu 
(-4, -1, -7), [0, 3, 1], 3.16.af_n_ae 
(-8, 3, 23), [0, 3, 3], 3.16.af_p_adk 
(-4, -1, -5), [0, 3, 3], 3.16.af_p_am 
(-8, 3, 25), [0, 3, 1], 3.16.af_r_aea 
(-4, -1, -3), [0, 3, 1], 3.16.af_r_au 
(-8, 3, 27), [0, 3, 3], 3.16.af_t_aeq 
(-4, -1, -1), [0, 3, 3], 3.16.af_t_abc 
(-8, 3, 29), [0, 3, 1], 3.16.af_v_afg 
