(2, 1, -13), [2, 1, 0], 3.13.d_c_a 
(5, -2, 0), [5, 11, 0], 3.13.d_d_aca 
(6, -3, 13), [6, 10, 0], 3.13.d_i_a 
(4, -1, 0), [4, 12, 0], 3.13.d_j_aba 
(0, 3, -4), [0, 3, 9], 3.13.d_j_da 
(0, 3, -3), [0, 3, 10], 3.13.d_k_da 
(0, 3, -1), [0, 3, 12], 3.13.d_m_da 
(0, 3, 1), [0, 3, 1], 3.13.d_o_da 
(2, 1, 0), [2, 1, 0], 3.13.d_p_ba 
(1, 2, 0), [1, 2, 0], 3.13.d_p_ca 
(0, 3, 2), [0, 3, 2], 3.13.d_p_da 
(0, 3, 3), [0, 3, 3], 3.13.d_q_da 
(0, 3, 4), [0, 3, 4], 3.13.d_r_da 
(0, 3, 5), [0, 3, 5], 3.13.d_s_da 
(0, 3, 6), [0, 3, 6], 3.13.d_t_da 
(0, 3, 7), [0, 3, 7], 3.13.d_u_da 
(4, -1, 13), [4, 12, 0], 3.13.d_w_ba 
(0, 3, 9), [0, 3, 9], 3.13.d_w_da 
(0, 3, 10), [0, 3, 10], 3.13.d_x_da 
(0, 3, 11), [0, 3, 11], 3.13.d_y_da 
(0, 3, 12), [0, 3, 12], 3.13.d_z_da 
(0, 3, 14), [0, 3, 1], 3.13.d_bb_da 
(2, 1, 13), [2, 1, 0], 3.13.d_bc_ca 
(0, 3, 15), [0, 3, 2], 3.13.d_bc_da 
(0, 3, 17), [0, 3, 4], 3.13.d_be_da 
(0, 3, 18), [0, 3, 5], 3.13.d_bf_da 
(0, 3, 19), [0, 3, 6], 3.13.d_bg_da 
(0, 3, 20), [0, 3, 7], 3.13.d_bh_da 
(0, 3, 21), [0, 3, 8], 3.13.d_bi_da 
(7, -3, 0), [7, 10, 0], 3.13.e_ai_ada 
(6, -2, 0), [6, 11, 0], 3.13.e_b_aca 
(3, 1, -13), [3, 1, 0], 3.13.e_d_an 
(7, -3, 13), [7, 10, 0], 3.13.e_f_n 
(-5, 9, 39), [8, 9, 0], 3.13.e_h_bn 
(5, -1, 0), [5, 12, 0], 3.13.e_i_aba 
(6, -2, 13), [6, 11, 0], 3.13.e_o_ba 
(3, 1, 0), [3, 1, 0], 3.13.e_q_ba 
(1, 3, 0), [1, 3, 0], 3.13.e_q_da 
(2, 2, 0), [2, 2, 0], 3.13.e_r_ca 
(0, 4, 4), [0, 4, 4], 3.13.e_r_ea 
(0, 4, 6), [0, 4, 6], 3.13.e_t_ea 
(-4, 8, 39), [9, 8, 0], 3.13.e_u_ca 
(0, 4, 7), [0, 4, 7], 3.13.e_u_ea 
(5, -1, 13), [5, 12, 0], 3.13.e_v_bn 
(0, 4, 8), [0, 4, 8], 3.13.e_v_ea 
(-1, 5, 13), [12, 5, 0], 3.13.e_v_en 
(0, 4, 9), [0, 4, 9], 3.13.e_w_ea 
(0, 4, 10), [0, 4, 10], 3.13.e_x_ea 
(0, 4, 11), [0, 4, 11], 3.13.e_y_ea 
(0, 4, 12), [0, 4, 12], 3.13.e_z_ea 
(0, 4, 15), [0, 4, 2], 3.13.e_bc_ea 
(3, 1, 13), [3, 1, 0], 3.13.e_bd_cn 
(1, 3, 13), [1, 3, 0], 3.13.e_bd_dn 
(0, 4, 16), [0, 4, 3], 3.13.e_bd_ea 
(2, 2, 13), [2, 2, 0], 3.13.e_be_da 
(0, 4, 17), [0, 4, 4], 3.13.e_be_ea 
(0, 4, 18), [0, 4, 5], 3.13.e_bf_ea 
(0, 4, 19), [0, 4, 6], 3.13.e_bg_ea 
(0, 4, 20), [0, 4, 7], 3.13.e_bh_ea 
(0, 4, 22), [0, 4, 9], 3.13.e_bj_ea 
