(-1, 2, 0), [3, 2, 0], 3.11.b_j_bs 
(4, -3, 11), [0, 1, 3], 3.11.b_k_aw 
(0, 1, -1), [0, 1, 3], 3.11.b_k_w 
(0, 1, 1), [0, 1, 1], 3.11.b_m_w 
(0, 1, 3), [0, 1, 3], 3.11.b_o_w 
(0, 1, 4), [0, 1, 0], 3.11.b_p_w 
(0, 1, 5), [0, 1, 1], 3.11.b_q_w 
(0, 1, 6), [0, 1, 2], 3.11.b_r_w 
(0, 1, 7), [0, 1, 3], 3.11.b_s_w 
(0, 1, 8), [0, 1, 0], 3.11.b_t_w 
(2, -1, 11), [2, 3, 3], 3.11.b_u_a 
(0, 1, 9), [0, 1, 1], 3.11.b_u_w 
(0, 1, 12), [0, 1, 0], 3.11.b_x_w 
(0, 1, 13), [0, 1, 1], 3.11.b_y_w 
(0, 1, 14), [0, 1, 2], 3.11.b_z_w 
(0, 1, 15), [0, 1, 3], 3.11.b_ba_w 
(0, 1, 17), [0, 1, 1], 3.11.b_bc_w 
(0, 1, 18), [0, 1, 2], 3.11.b_bd_w 
(5, -3, 0), [1, 1, 0], 3.11.c_ae_aco 
(-6, 8, 33), [2, 0, 1], 3.11.c_ae_aw 
(3, -1, -11), [3, 3, 1], 3.11.c_ad_acd 
(6, -4, 11), [2, 0, 3], 3.11.c_ac_aw 
(1, 1, -11), [1, 1, 1], 3.11.c_b_l 
(0, 2, -8), [0, 2, 0], 3.11.c_d_bs 
(0, 2, -7), [0, 2, 1], 3.11.c_e_bs 
(0, 2, -6), [0, 2, 2], 3.11.c_f_bs 
(0, 2, -5), [0, 2, 3], 3.11.c_g_bs 
(5, -3, 11), [1, 1, 3], 3.11.c_h_al 
(0, 2, -4), [0, 2, 0], 3.11.c_h_bs 
(3, -1, 0), [3, 3, 0], 3.11.c_i_aw 
(0, 2, -3), [0, 2, 1], 3.11.c_i_bs 
(-1, 3, 0), [3, 3, 0], 3.11.c_i_co 
(-5, 7, 33), [3, 3, 1], 3.11.c_j_al 
(0, 2, -1), [0, 2, 3], 3.11.c_k_bs 
(1, 1, 0), [1, 1, 0], 3.11.c_m_w 
(0, 2, 1), [0, 2, 1], 3.11.c_m_bs 
(0, 2, 2), [0, 2, 2], 3.11.c_n_bs 
(4, -2, 11), [0, 2, 3], 3.11.c_o_a 
(0, 2, 3), [0, 2, 3], 3.11.c_o_bs 
(0, 2, 4), [0, 2, 0], 3.11.c_p_bs 
(0, 2, 5), [0, 2, 1], 3.11.c_q_bs 
(0, 2, 6), [0, 2, 2], 3.11.c_r_bs 
(0, 2, 8), [0, 2, 0], 3.11.c_t_bs 
(-1, 3, 11), [3, 3, 3], 3.11.c_t_cd 
(0, 2, 9), [0, 2, 1], 3.11.c_u_bs 
(0, 2, 10), [0, 2, 2], 3.11.c_v_bs 
(1, 1, 11), [1, 1, 3], 3.11.c_x_bh 
(0, 2, 12), [0, 2, 0], 3.11.c_x_bs 
(0, 2, 13), [0, 2, 1], 3.11.c_y_bs 
(0, 2, 15), [0, 2, 3], 3.11.c_ba_bs 
(0, 2, 16), [0, 2, 0], 3.11.c_bb_bs 
(0, 2, 17), [0, 2, 1], 3.11.c_bc_bs 
(0, 2, 18), [0, 2, 2], 3.11.c_bd_bs 
(0, 2, 20), [0, 2, 0], 3.11.c_bf_bs 
(6, -3, 0), [2, 1, 0], 3.11.d_ah_aco 
(4, -1, -11), [0, 3, 1], 3.11.d_ae_aco 
(5, -2, 0), [1, 2, 0], 3.11.d_b_abs 
(2, 1, -11), [2, 1, 1], 3.11.d_c_a 
(6, -3, 11), [2, 1, 3], 3.11.d_e_a 
(0, 3, -2), [0, 3, 2], 3.11.d_j_co 
(0, 3, -1), [0, 3, 3], 3.11.d_k_co 
(0, 3, 1), [0, 3, 1], 3.11.d_m_co 
(2, 1, 0), [2, 1, 0], 3.11.d_n_w 
(1, 2, 0), [1, 2, 0], 3.11.d_n_bs 
(0, 3, 2), [0, 3, 2], 3.11.d_n_co 
(0, 3, 3), [0, 3, 3], 3.11.d_o_co 
(-4, 7, 33), [0, 3, 1], 3.11.d_q_w 
(0, 3, 5), [0, 3, 1], 3.11.d_q_co 
(0, 3, 6), [0, 3, 2], 3.11.d_r_co 
(4, -1, 11), [0, 3, 3], 3.11.d_s_w 
(0, 3, 7), [0, 3, 3], 3.11.d_s_co 
(0, 3, 8), [0, 3, 0], 3.11.d_t_co 
(0, 3, 9), [0, 3, 1], 3.11.d_u_co 
(0, 3, 10), [0, 3, 2], 3.11.d_v_co 
(2, 1, 11), [2, 1, 3], 3.11.d_y_bs 
(0, 3, 13), [0, 3, 1], 3.11.d_y_co 
(0, 3, 14), [0, 3, 2], 3.11.d_z_co 
(0, 3, 15), [0, 3, 3], 3.11.d_ba_co 
(0, 3, 16), [0, 3, 0], 3.11.d_bb_co 
(0, 3, 17), [0, 3, 1], 3.11.d_bc_co 
(6, -2, 0), [2, 2, 0], 3.11.e_ab_abs 
(3, 1, -11), [3, 1, 1], 3.11.e_d_al 
(5, -1, 0), [1, 3, 0], 3.11.e_g_aw 
(6, -2, 11), [2, 2, 3], 3.11.e_k_w 
(-4, 8, 33), [0, 0, 1], 3.11.e_m_bs 
(3, 1, 0), [3, 1, 0], 3.11.e_o_w 
(1, 3, 0), [1, 3, 0], 3.11.e_o_co 
(2, 2, 0), [2, 2, 0], 3.11.e_p_bs 
(0, 4, 5), [0, 0, 1], 3.11.e_q_dk 
(5, -1, 11), [1, 3, 3], 3.11.e_r_bh 
(0, 4, 6), [0, 0, 2], 3.11.e_r_dk 
(0, 4, 7), [0, 0, 3], 3.11.e_s_dk 
(0, 4, 8), [0, 0, 0], 3.11.e_t_dk 
(0, 4, 9), [0, 0, 1], 3.11.e_u_dk 
(-3, 7, 33), [1, 3, 1], 3.11.e_x_cd 
(0, 4, 12), [0, 0, 0], 3.11.e_x_dk 
(0, 4, 13), [0, 0, 1], 3.11.e_y_dk 
(3, 1, 11), [3, 1, 3], 3.11.e_z_cd 
(1, 3, 11), [1, 3, 3], 3.11.e_z_cz 
(0, 4, 14), [0, 0, 2], 3.11.e_z_dk 
(2, 2, 11), [2, 2, 3], 3.11.e_ba_co 
(0, 4, 15), [0, 0, 3], 3.11.e_ba_dk 
(0, 4, 16), [0, 0, 0], 3.11.e_bb_dk 
(0, 4, 18), [0, 0, 2], 3.11.e_bd_dk 
(0, 4, 19), [0, 0, 3], 3.11.e_be_dk 
(0, 4, 20), [0, 0, 0], 3.11.e_bf_dk 
(4, 1, -11), [0, 1, 1], 3.11.f_e_aw 
(6, -1, 0), [2, 3, 0], 3.11.f_f_aw 
(4, 1, 0), [0, 1, 0], 3.11.f_p_w 
(6, -1, 11), [2, 3, 3], 3.11.f_q_bs 
(3, 2, 0), [3, 2, 0], 3.11.f_r_bs 
(2, 3, 0), [2, 3, 0], 3.11.f_r_co 
(0, 5, 12), [0, 1, 0], 3.11.f_x_eg 
(0, 5, 13), [0, 1, 1], 3.11.f_y_eg 
(0, 5, 14), [0, 1, 2], 3.11.f_z_eg 
(0, 5, 15), [0, 1, 3], 3.11.f_ba_eg 
(2, 3, 11), [2, 3, 3], 3.11.f_bc_dk 
(0, 5, 17), [0, 1, 1], 3.11.f_bc_eg 
(0, 5, 18), [0, 1, 2], 3.11.f_bd_eg 
(-2, 7, 33), [2, 3, 1], 3.11.f_be_dk 
(0, 5, 27), [0, 1, 3], 3.11.f_bm_eg 
(5, 1, -11), [1, 1, 1], 3.11.g_f_abh 
(5, 1, 0), [1, 1, 0], 3.11.g_q_w 
(4, 2, 0), [0, 2, 0], 3.11.g_t_bs 
(3, 3, 0), [3, 3, 0], 3.11.g_u_co 
(5, 1, 11), [1, 1, 3], 3.11.g_bb_cz 
(-2, 8, 33), [2, 0, 1], 3.11.g_bc_eg 
(0, 6, 18), [0, 2, 2], 3.11.g_bd_fc 
(4, 2, 11), [0, 2, 3], 3.11.g_be_dk 
(2, 4, 11), [2, 0, 3], 3.11.g_be_eg 
(0, 6, 19), [0, 2, 3], 3.11.g_be_fc 
(3, 3, 11), [3, 3, 3], 3.11.g_bf_dv 
(0, 6, 20), [0, 2, 0], 3.11.g_bf_fc 
(0, 6, 24), [0, 2, 0], 3.11.g_bj_fc 
(0, 6, 25), [0, 2, 1], 3.11.g_bk_fc 
(-1, 7, 33), [3, 3, 1], 3.11.g_bl_er 
(0, 6, 26), [0, 2, 2], 3.11.g_bl_fc 
(0, 6, 28), [0, 2, 0], 3.11.g_bn_fc 
(0, 6, 29), [0, 2, 1], 3.11.g_bo_fc 
(6, 1, 0), [2, 1, 0], 3.11.h_r_w 
(5, 2, 0), [1, 2, 0], 3.11.h_v_bs 
(4, 3, 0), [0, 3, 0], 3.11.h_x_co 
(6, 1, 11), [2, 1, 3], 3.11.h_bc_dk 
(4, 3, 11), [0, 3, 3], 3.11.h_bi_eg 
(0, 7, 26), [0, 3, 2], 3.11.h_bl_fy 
