(-10, 0, 48), [2, 0, 0], 3.25.ak_cv_asm 
(-5, -5, 23), [3, 3, 3], 3.25.ak_cv_aob 
(-9, -1, 40), [3, 3, 0], 3.25.ak_cw_apu 
(-5, -5, 24), [3, 3, 0], 3.25.ak_cw_aog 
(-2, -8, 35), [2, 0, 3], 3.25.ak_cy_asc 
(-3, -7, 30), [1, 1, 2], 3.25.ak_cy_aqy 
(-7, -3, 30), [1, 1, 2], 3.25.ak_cy_anw 
(-5, -5, 27), [3, 3, 3], 3.25.ak_cz_aov 
(-5, -5, 28), [3, 3, 0], 3.25.ak_da_apa 
(-1, -9, 45), [3, 3, 1], 3.25.ak_db_atb 
(1, -11, 65), [1, 1, 1], 3.25.ak_db_asr 
(-9, -1, 45), [3, 3, 1], 3.25.ak_db_arn 
(-4, -6, 30), [0, 2, 2], 3.25.ak_db_aqe 
(-5, -5, 29), [3, 3, 1], 3.25.ak_db_apf 
(-6, -4, 30), [2, 0, 2], 3.25.ak_db_aoq 
(-2, -8, 40), [2, 0, 0], 3.25.ak_dd_asm 
(-3, -7, 35), [1, 1, 3], 3.25.ak_dd_arn 
(-8, -2, 40), [0, 2, 0], 3.25.ak_dd_aqe 
(-5, -5, 31), [3, 3, 3], 3.25.ak_dd_app 
(-7, -3, 35), [1, 1, 3], 3.25.ak_dd_apf 
(-5, -5, 32), [3, 3, 0], 3.25.ak_de_apu 
(-5, -5, 33), [3, 3, 1], 3.25.ak_df_apz 
(1, -11, 70), [1, 1, 2], 3.25.ak_dg_asm 
(-4, -6, 35), [0, 2, 3], 3.25.ak_dg_aqy 
(-5, -5, 34), [3, 3, 2], 3.25.ak_dg_aqe 
(-2, -8, 45), [2, 0, 1], 3.25.ak_di_asw 
(-3, -7, 40), [1, 1, 0], 3.25.ak_di_asc 
(-8, -2, 45), [0, 2, 1], 3.25.ak_di_ars 
(-5, -5, 37), [3, 3, 1], 3.25.ak_dj_aqt 
(-5, -5, 38), [3, 3, 2], 3.25.ak_dk_aqy 
(-4, -6, 40), [0, 2, 0], 3.25.ak_dl_ars 
(-5, -5, 39), [3, 3, 3], 3.25.ak_dl_ard 
(-6, -4, 40), [2, 0, 0], 3.25.ak_dl_aqy 
(-3, -7, 45), [1, 1, 1], 3.25.ak_dn_asr 
(-5, -5, 41), [3, 3, 1], 3.25.ak_dn_arn 
(-5, -5, 42), [3, 3, 2], 3.25.ak_do_ars 
(-5, -5, 43), [3, 3, 3], 3.25.ak_dp_arx 
(-1, -9, 60), [3, 3, 0], 3.25.ak_dq_atq 
(-4, -6, 45), [0, 2, 1], 3.25.ak_dq_asm 
(-5, -5, 48), [3, 3, 0], 3.25.ak_du_asw 
(-1, -9, 65), [3, 3, 1], 3.25.ak_dv_atv 
(-2, -8, 60), [2, 0, 0], 3.25.ak_dx_aua 
(-3, -7, 55), [1, 1, 3], 3.25.ak_dx_atv 
(-5, -5, 52), [3, 3, 0], 3.25.ak_dy_atq 
(-10, 1, -28), [2, 1, 0], 3.25.aj_an_ms 
(-10, 1, -24), [2, 1, 0], 3.25.aj_aj_le 
(-10, 1, -12), [2, 1, 0], 3.25.aj_d_go 
(-8, -1, -30), [0, 3, 2], 3.25.aj_d_hi 
(-10, 1, -11), [2, 1, 1], 3.25.aj_e_ge 
(-8, -1, -20), [0, 3, 0], 3.25.aj_n_eg 
(-8, -1, -15), [0, 3, 1], 3.25.aj_s_cs 
(-10, 1, 4), [2, 1, 0], 3.25.aj_t_k 
(-7, -2, -20), [1, 2, 0], 3.25.aj_t_bo 
(-10, 1, 12), [2, 1, 0], 3.25.aj_bb_acs 
(-6, -3, -15), [2, 1, 1], 3.25.aj_bc_aci 
(-7, -2, -10), [1, 2, 2], 3.25.aj_bd_abe 
(-6, -3, -10), [2, 1, 2], 3.25.aj_bh_adm 
(-10, 1, 21), [2, 1, 1], 3.25.aj_bk_age 
(-5, -4, -8), [3, 0, 0], 3.25.aj_bl_age 
(-6, -3, -5), [2, 1, 3], 3.25.aj_bm_aeq 
(-8, -1, 5), [0, 3, 1], 3.25.aj_bm_adm 
(-5, -4, -6), [3, 0, 2], 3.25.aj_bn_ago 
(-5, -4, -4), [3, 0, 0], 3.25.aj_bp_agy 
(-5, -4, -2), [3, 0, 2], 3.25.aj_br_ahi 
(-8, -1, 10), [0, 3, 2], 3.25.aj_br_afa 
(5, -14, 92), [1, 2, 0], 3.25.aj_bv_ajg 
(-5, -4, 2), [3, 0, 2], 3.25.aj_bv_aic 
(-6, -3, 5), [2, 1, 1], 3.25.aj_bw_agy 
