(-10, -2, -23), [2, 2, 1], 3.25.am_w_fa 
(-10, -2, -21), [2, 2, 3], 3.25.am_y_eg 
(-10, -2, -19), [2, 2, 1], 3.25.am_ba_dm 
(-10, -2, -18), [2, 2, 2], 3.25.am_bb_dc 
(-10, -2, -17), [2, 2, 3], 3.25.am_bc_cs 
(-10, -2, -16), [2, 2, 0], 3.25.am_bd_ci 
(-10, -2, -11), [2, 2, 1], 3.25.am_bi_k 
(-10, -2, -9), [2, 2, 3], 3.25.am_bk_ak 
(-10, -2, -8), [2, 2, 0], 3.25.am_bl_au 
(-10, -2, -7), [2, 2, 1], 3.25.am_bm_abe 
(-10, -2, -4), [2, 2, 0], 3.25.am_bp_aci 
(-9, -3, -10), [3, 1, 2], 3.25.am_bq_aci 
(-10, -2, -2), [2, 2, 2], 3.25.am_br_adc 
(-10, -2, -1), [2, 2, 3], 3.25.am_bs_adm 
(-10, -2, 1), [2, 2, 1], 3.25.am_bu_aeg 
(-9, -3, -5), [3, 1, 3], 3.25.am_bv_aeb 
(-10, -2, 3), [2, 2, 3], 3.25.am_bw_afa 
(-10, -2, 4), [2, 2, 0], 3.25.am_bx_afk 
(-10, -2, 7), [2, 2, 3], 3.25.am_ca_ago 
(-8, -4, -5), [0, 0, 3], 3.25.am_ca_age 
(-10, -2, 8), [2, 2, 0], 3.25.am_cb_agy 
(-10, -2, 9), [2, 2, 1], 3.25.am_cc_ahi 
(-10, -2, 11), [2, 2, 3], 3.25.am_ce_aic 
(-10, -2, 12), [2, 2, 0], 3.25.am_cf_aim 
(-9, -3, 5), [3, 1, 1], 3.25.am_cf_ahn 
(-10, -2, 13), [2, 2, 1], 3.25.am_cg_aiw 
(-10, -2, 14), [2, 2, 2], 3.25.am_ch_ajg 
(-10, -2, 16), [2, 2, 0], 3.25.am_cj_aka 
(-10, -2, 17), [2, 2, 1], 3.25.am_ck_akk 
(-10, -2, 21), [2, 2, 1], 3.25.am_co_aly 
(-10, -2, 22), [2, 2, 2], 3.25.am_cp_ami 
(-10, -2, 23), [2, 2, 3], 3.25.am_cq_ams 
(-10, -2, 27), [2, 2, 3], 3.25.am_cu_aog 
(-8, -4, 15), [0, 0, 3], 3.25.am_cu_ami 
(-10, -2, 28), [2, 2, 0], 3.25.am_cv_aoq 
(-10, -2, 29), [2, 2, 1], 3.25.am_cw_apa 
(-10, -2, 31), [2, 2, 3], 3.25.am_cy_apu 
(-10, -2, 32), [2, 2, 0], 3.25.am_cz_aqe 
(-8, -4, 20), [0, 0, 0], 3.25.am_cz_anw 
