(0, 0, -27), [0, 0, 5], 3.16.a_al_a 
(0, 0, -25), [0, 0, 7], 3.16.a_aj_a 
(0, 0, -23), [0, 0, 9], 3.16.a_ah_a 
(1, -1, -20), [1, 15, 12], 3.16.a_af_aca 
(7, -7, 28), [7, 9, 12], 3.16.a_af_abc 
(0, 0, -21), [0, 0, 11], 3.16.a_af_a 
(-7, 7, 28), [9, 7, 12], 3.16.a_af_bc 
(-1, 1, -20), [15, 1, 12], 3.16.a_af_ca 
(0, 0, -19), [0, 0, 13], 3.16.a_ad_a 
(1, -1, -16), [1, 15, 0], 3.16.a_ab_abw 
(-1, 1, -16), [15, 1, 0], 3.16.a_ab_bw 
(0, 0, -15), [0, 0, 1], 3.16.a_b_a 
(3, -3, -4), [3, 13, 12], 3.16.a_d_aee 
(5, -5, 12), [5, 11, 12], 3.16.a_d_adw 
(1, -1, -12), [1, 15, 4], 3.16.a_d_abs 
(-7, 7, 36), [9, 7, 4], 3.16.a_d_abc 
(0, 0, -13), [0, 0, 3], 3.16.a_d_a 
(7, -7, 36), [7, 9, 4], 3.16.a_d_bc 
(-1, 1, -12), [15, 1, 4], 3.16.a_d_bs 
(-5, 5, 12), [11, 5, 12], 3.16.a_d_dw 
(-3, 3, -4), [13, 3, 12], 3.16.a_d_ee 
(4, -4, 5), [4, 12, 5], 3.16.a_f_aee 
(0, 0, -11), [0, 0, 5], 3.16.a_f_a 
(-4, 4, 5), [12, 4, 5], 3.16.a_f_ee 
(4, -4, 7), [4, 12, 7], 3.16.a_h_adw 
(3, -3, 0), [3, 13, 0], 3.16.a_h_ads 
(5, -5, 16), [5, 11, 0], 3.16.a_h_adc 
(-7, 7, 40), [9, 7, 8], 3.16.a_h_ace 
(1, -1, -8), [1, 15, 8], 3.16.a_h_abo 
(0, 0, -9), [0, 0, 7], 3.16.a_h_a 
(-1, 1, -8), [15, 1, 8], 3.16.a_h_bo 
(7, -7, 40), [7, 9, 8], 3.16.a_h_ce 
(-5, 5, 16), [11, 5, 0], 3.16.a_h_dc 
(-3, 3, 0), [13, 3, 0], 3.16.a_h_ds 
(-4, 4, 7), [12, 4, 7], 3.16.a_h_dw 
(4, -4, 9), [4, 12, 9], 3.16.a_j_ado 
(0, 0, -7), [0, 0, 9], 3.16.a_j_a 
(-4, 4, 9), [12, 4, 9], 3.16.a_j_do 
(5, -5, 20), [5, 11, 4], 3.16.a_l_aci 
(1, -1, -4), [1, 15, 12], 3.16.a_l_abk 
(0, 0, -5), [0, 0, 11], 3.16.a_l_a 
(-1, 1, -4), [15, 1, 12], 3.16.a_l_bk 
(-5, 5, 20), [11, 5, 4], 3.16.a_l_ci 
(4, -4, 13), [4, 12, 13], 3.16.a_n_acy 
(0, 0, -3), [0, 0, 13], 3.16.a_n_a 
(-4, 4, 13), [12, 4, 13], 3.16.a_n_cy 
(4, -4, 15), [4, 12, 15], 3.16.a_p_acq 
(5, -5, 24), [5, 11, 8], 3.16.a_p_abo 
(1, -1, 0), [1, 15, 0], 3.16.a_p_abg 
(0, 0, -1), [0, 0, 15], 3.16.a_p_a 
(-1, 1, 0), [15, 1, 0], 3.16.a_p_bg 
(-5, 5, 24), [11, 5, 8], 3.16.a_p_bo 
(-4, 4, 15), [12, 4, 15], 3.16.a_p_cq 
(4, -4, 17), [4, 12, 1], 3.16.a_r_aci 
(0, 0, 1), [0, 0, 1], 3.16.a_r_a 
(-4, 4, 17), [12, 4, 1], 3.16.a_r_ci 
(4, -4, 19), [4, 12, 3], 3.16.a_t_aca 
(1, -1, 4), [1, 15, 4], 3.16.a_t_abc 
(5, -5, 28), [5, 11, 12], 3.16.a_t_au 
(0, 0, 3), [0, 0, 3], 3.16.a_t_a 
(-5, 5, 28), [11, 5, 12], 3.16.a_t_u 
(-1, 1, 4), [15, 1, 4], 3.16.a_t_bc 
(-4, 4, 19), [12, 4, 3], 3.16.a_t_ca 
(4, -4, 21), [4, 12, 5], 3.16.a_v_abs 
(0, 0, 5), [0, 0, 5], 3.16.a_v_a 
(-4, 4, 21), [12, 4, 5], 3.16.a_v_bs 
(4, -4, 23), [4, 12, 7], 3.16.a_x_abk 
(1, -1, 8), [1, 15, 8], 3.16.a_x_ay 
(-1, 1, 8), [15, 1, 8], 3.16.a_x_y 
(-4, 4, 23), [12, 4, 7], 3.16.a_x_bk 
(4, -4, 25), [4, 12, 9], 3.16.a_z_abc 
(0, 0, 9), [0, 0, 9], 3.16.a_z_a 
(-4, 4, 25), [12, 4, 9], 3.16.a_z_bc 
(3, -3, 20), [3, 13, 4], 3.16.a_bb_abk 
(0, 0, 11), [0, 0, 11], 3.16.a_bb_a 
(-3, 3, 20), [13, 3, 4], 3.16.a_bb_bk 
(4, -4, 29), [4, 12, 13], 3.16.a_bd_am 
(0, 0, 13), [0, 0, 13], 3.16.a_bd_a 
(-4, 4, 29), [12, 4, 13], 3.16.a_bd_m 
(3, -3, 24), [3, 13, 8], 3.16.a_bf_ay 
(1, -1, 16), [1, 15, 0], 3.16.a_bf_aq 
(4, -4, 31), [4, 12, 15], 3.16.a_bf_ae 
(0, 0, 15), [0, 0, 15], 3.16.a_bf_a 
(-4, 4, 31), [12, 4, 15], 3.16.a_bf_e 
(-1, 1, 16), [15, 1, 0], 3.16.a_bf_q 
(-3, 3, 24), [13, 3, 8], 3.16.a_bf_y 
(-4, 4, 33), [12, 4, 1], 3.16.a_bh_ae 
(0, 0, 17), [0, 0, 1], 3.16.a_bh_a 
(4, -4, 33), [4, 12, 1], 3.16.a_bh_e 
(0, 0, 19), [0, 0, 3], 3.16.a_bj_a 
(0, 0, 25), [0, 0, 9], 3.16.a_bp_a 
