(-6, -1, 7), [11, 16, 7], 3.17.a_i_bq 
(-7, 2, 5), [10, 2, 5], 3.17.a_m_acs 
(-5, -2, 7), [12, 15, 7], 3.17.a_m_cs 
(-7, 3, 4), [10, 3, 4], 3.17.a_o_adg 
(-4, -3, 7), [13, 14, 7], 3.17.a_o_dg 
(-6, 1, 5), [11, 1, 5], 3.17.a_u_abe 
(-5, -1, 6), [12, 16, 6], 3.17.a_u_be 
(-6, 2, 4), [11, 2, 4], 3.17.a_x_abw 
(-4, -2, 6), [13, 15, 6], 3.17.a_x_bw 
(-6, 3, 3), [11, 3, 3], 3.17.a_y_acc 
(-3, -3, 6), [14, 14, 6], 3.17.a_y_cc 
(-5, 1, 4), [12, 1, 4], 3.17.a_be_au 
(-4, -1, 5), [13, 16, 5], 3.17.a_be_u 
(-5, 2, 3), [12, 2, 3], 3.17.a_bg_abe 
(-3, -2, 5), [14, 15, 5], 3.17.a_bg_be 
(-4, 1, 3), [13, 1, 3], 3.17.a_bm_am 
(-3, -1, 4), [14, 16, 4], 3.17.a_bm_m 
(-4, 2, 2), [13, 2, 2], 3.17.a_bn_aq 
(-2, -2, 4), [15, 15, 4], 3.17.a_bn_q 
(-3, 1, 2), [14, 1, 2], 3.17.a_bs_ag 
(-2, -1, 3), [15, 16, 3], 3.17.a_bs_g 
(-2, 1, 1), [15, 1, 1], 3.17.a_bw_ac 
(-1, -1, 2), [16, 16, 2], 3.17.a_bw_c 
(-8, 1, 8), [9, 1, 8], 3.17.b_an_abe 
(-8, 2, 7), [9, 2, 7], 3.17.b_ah_ada 
(-8, 3, 6), [9, 3, 6], 3.17.b_ad_aeg 
(-8, 4, 5), [9, 4, 5], 3.17.b_ab_aew 
(-6, -1, 8), [11, 16, 8], 3.17.b_b_de 
(-5, -2, 8), [12, 15, 8], 3.17.b_f_ek 
(-7, 2, 6), [10, 2, 6], 3.17.b_h_aby 
(-4, -3, 8), [13, 14, 8], 3.17.b_h_fa 
(-7, 4, 4), [10, 4, 4], 3.17.b_l_ada 
(-6, 1, 6), [11, 1, 6], 3.17.b_p_ac 
(-4, -2, 7), [13, 15, 7], 3.17.b_r_dm 
(-6, 2, 5), [11, 2, 5], 3.17.b_t_aba 
(-6, 3, 4), [11, 3, 4], 3.17.b_v_abm 
(-4, -1, 6), [13, 16, 6], 3.17.b_z_cg 
(-3, -2, 6), [14, 15, 6], 3.17.b_bb_cs 
(-5, 2, 4), [12, 2, 4], 3.17.b_bd_ag 
(-4, 1, 4), [13, 1, 4], 3.17.b_bj_s 
(-2, -2, 5), [15, 15, 5], 3.17.b_bj_cc 
(-4, 2, 3), [13, 2, 3], 3.17.b_bl_k 
(-2, -1, 4), [15, 16, 4], 3.17.b_bp_bq 
(-3, 2, 2), [14, 2, 2], 3.17.b_br_w 
(-8, 2, 8), [9, 2, 8], 3.17.c_an_aci 
(-8, 3, 7), [9, 3, 7], 3.17.c_ai_adw 
(-8, 4, 6), [9, 4, 6], 3.17.c_af_aeu 
(-8, 5, 5), [9, 5, 5], 3.17.c_ae_afc 
(-7, 1, 8), [10, 1, 8], 3.17.c_ae_m 
(-7, 2, 7), [10, 2, 7], 3.17.c_c_abe 
(-7, 3, 6), [10, 3, 6], 3.17.c_g_acg 
(-7, 4, 5), [10, 4, 5], 3.17.c_i_acu 
(-5, -1, 8), [12, 16, 8], 3.17.c_i_ee 
(-6, 1, 7), [11, 1, 7], 3.17.c_k_ba 
(-4, -2, 8), [13, 15, 8], 3.17.c_l_fc 
(-3, -3, 8), [14, 14, 8], 3.17.c_m_fk 
(-6, 2, 6), [11, 2, 6], 3.17.c_p_ae 
(-6, 3, 5), [11, 3, 5], 3.17.c_s_aw 
(-6, 4, 4), [11, 4, 4], 3.17.c_t_abc 
(-4, -1, 7), [13, 16, 7], 3.17.c_u_ds 
(-5, 1, 6), [12, 1, 6], 3.17.c_w_bm 
(-3, -2, 7), [14, 15, 7], 3.17.c_w_eg 
(-5, 2, 5), [12, 2, 5], 3.17.c_ba_s 
(-5, 3, 4), [12, 3, 4], 3.17.c_bc_i 
(-3, -1, 6), [14, 16, 6], 3.17.c_be_di 
(-2, -2, 6), [15, 15, 6], 3.17.c_bf_do 
(-4, 1, 5), [13, 1, 5], 3.17.c_bg_bw 
(-4, 2, 4), [13, 2, 4], 3.17.c_bj_bk 
(-4, 3, 3), [13, 3, 3], 3.17.c_bk_bg 
(-2, -1, 5), [15, 16, 5], 3.17.c_bm_da 
(-3, 1, 4), [14, 1, 4], 3.17.c_bo_ce 
