(-7, 3, 6), [18, 3, 6], 3.25.c_be_aba 
(-6, 1, 7), [19, 1, 7], 3.25.c_bi_cg 
(-4, -2, 8), [21, 23, 8], 3.25.c_bj_gi 
(-3, -3, 8), [22, 22, 8], 3.25.c_bk_gq 
(-6, 2, 6), [19, 2, 6], 3.25.c_bn_bc 
(-6, 4, 4), [19, 4, 4], 3.25.c_br_e 
(-4, -1, 7), [21, 24, 7], 3.25.c_bs_ey 
(-3, -2, 7), [22, 23, 7], 3.25.c_bu_fm 
(-3, -1, 6), [22, 24, 6], 3.25.c_cc_eo 
(-2, -2, 6), [23, 23, 6], 3.25.c_cd_eu 
(-4, 2, 4), [21, 2, 4], 3.25.c_ch_cq 
(-4, 3, 3), [21, 3, 3], 3.25.c_ci_cm 
(-3, 1, 4), [22, 1, 4], 3.25.c_cm_dk 
(-3, 2, 3), [22, 2, 3], 3.25.c_co_de 
(-1, -1, 4), [24, 24, 4], 3.25.c_cq_ea 
(-2, 1, 3), [23, 1, 3], 3.25.c_cs_dq 
(-2, 2, 2), [23, 2, 2], 3.25.c_ct_do 
(-1, 1, 2), [24, 1, 2], 3.25.c_cw_du 
(-9, 4, 8), [16, 4, 8], 3.25.d_ab_afi 
(-9, 6, 6), [16, 6, 6], 3.25.d_d_ags 
(-8, 2, 9), [17, 2, 9], 3.25.d_f_g 
(-8, 3, 8), [17, 3, 8], 3.25.d_l_abq 
(-8, 4, 7), [17, 4, 7], 3.25.d_p_acw 
(-7, 2, 8), [18, 2, 8], 3.25.d_v_bm 
(-7, 4, 6), [18, 4, 6], 3.25.d_bd_as 
(-6, 1, 8), [19, 1, 8], 3.25.d_bd_dy 
(-4, -2, 9), [21, 23, 9], 3.25.d_bd_io 
(-6, 2, 7), [19, 2, 7], 3.25.d_bj_co 
(-6, 3, 6), [19, 3, 6], 3.25.d_bn_bq 
(-4, -1, 8), [21, 24, 8], 3.25.d_bn_ha 
(-3, -2, 8), [22, 23, 8], 3.25.d_bp_hq 
(-2, -2, 7), [23, 23, 7], 3.25.d_bz_gw 
(-4, 1, 6), [21, 1, 6], 3.25.d_cb_ew 
(-4, 3, 4), [21, 3, 4], 3.25.d_ch_dy 
(-2, -1, 6), [23, 24, 6], 3.25.d_ch_gg 
(-3, 2, 4), [22, 2, 4], 3.25.d_cn_ew 
(-2, 1, 4), [23, 1, 4], 3.25.d_cr_fm 
(-2, 2, 3), [23, 2, 3], 3.25.d_ct_fi 
(-9, 4, 9), [16, 4, 9], 3.25.e_ag_aeu 
(-9, 6, 7), [16, 6, 7], 3.25.e_a_agw 
(-8, 3, 9), [17, 3, 9], 3.25.e_g_aq 
(-8, 4, 8), [17, 4, 8], 3.25.e_l_ace 
(-8, 6, 6), [17, 6, 6], 3.25.e_p_adk 
(-7, 2, 9), [18, 2, 9], 3.25.e_q_cw 
(-7, 3, 8), [18, 3, 8], 3.25.e_w_bg 
(-6, 1, 9), [19, 1, 9], 3.25.e_y_fq 
(-7, 4, 7), [18, 4, 7], 3.25.e_ba_e 
(-6, 2, 8), [19, 2, 8], 3.25.e_bf_ea 
(-4, -1, 9), [21, 24, 9], 3.25.e_bi_jc 
(-6, 3, 7), [19, 3, 7], 3.25.e_bk_cw 
(-3, -2, 9), [22, 23, 9], 3.25.e_bk_ju 
(-6, 4, 6), [19, 4, 6], 3.25.e_bn_ce 
(-3, -1, 8), [22, 24, 8], 3.25.e_bu_iq 
(-2, -2, 8), [23, 23, 8], 3.25.e_bv_iy 
(-4, 1, 7), [21, 1, 7], 3.25.e_by_gq 
(-4, 2, 6), [21, 2, 6], 3.25.e_cd_fw 
(-2, -1, 7), [23, 24, 7], 3.25.e_ce_ig 
(-4, 4, 4), [21, 4, 4], 3.25.e_ch_fg 
(-3, 1, 6), [22, 1, 6], 3.25.e_ci_ha 
(-1, -1, 6), [24, 24, 6], 3.25.e_cm_hy 
(-3, 3, 4), [22, 3, 4], 3.25.e_co_gi 
(-2, 2, 4), [23, 2, 4], 3.25.e_ct_hc 
