(-2, 2, 6), [2, 2, 2], 3.13.g_bj_fc 
(-2, 3, 5), [2, 3, 1], 3.13.g_bm_ew 
(-1, 1, 6), [3, 1, 2], 3.13.g_bm_fu 
(-2, 4, 4), [2, 0, 0], 3.13.g_bn_eu 
(-1, 2, 5), [3, 2, 1], 3.13.g_bq_fq 
(-1, 3, 4), [3, 3, 0], 3.13.g_bs_fo 
(1, 1, 4), [1, 1, 0], 3.13.g_bw_ge 
(2, 2, 2), [2, 2, 2], 3.13.g_bz_gi 
(-6, 6, 7), [2, 2, 3], 3.13.h_d_acs 
(-5, 6, 6), [3, 2, 2], 3.13.h_p_c 
(-4, 4, 7), [0, 0, 3], 3.13.h_x_cs 
(-4, 5, 6), [0, 1, 2], 3.13.h_z_ck 
(-3, 4, 6), [1, 0, 2], 3.13.h_bh_eg 
(-2, 2, 7), [2, 2, 3], 3.13.h_bj_fy 
(-2, 3, 6), [2, 3, 2], 3.13.h_bn_fq 
(-2, 4, 5), [2, 0, 1], 3.13.h_bp_fm 
(-1, 2, 6), [3, 2, 2], 3.13.h_br_go 
(-1, 4, 4), [3, 0, 0], 3.13.h_bv_gk 
(-6, 7, 7), [2, 3, 3], 3.13.i_e_adi 
(-5, 6, 7), [3, 2, 3], 3.13.i_q_ac 
(-4, 5, 7), [0, 1, 3], 3.13.i_ba_cq 
(-4, 6, 6), [0, 2, 2], 3.13.i_bb_cm 
(-3, 4, 7), [1, 0, 3], 3.13.i_bi_eu 
(-3, 5, 6), [1, 1, 2], 3.13.i_bk_eo 
(-2, 3, 7), [2, 3, 3], 3.13.i_bo_gk 
(-2, 4, 6), [2, 0, 2], 3.13.i_br_ge 
(-2, 5, 5), [2, 1, 1], 3.13.i_bs_gc 
(-1, 2, 7), [3, 2, 3], 3.13.i_bs_hm 
(-1, 3, 6), [3, 3, 2], 3.13.i_bw_hi 
(-1, 4, 5), [3, 0, 1], 3.13.i_by_hg 
(1, 1, 6), [1, 1, 2], 3.13.i_ca_ig 
(1, 2, 5), [1, 2, 1], 3.13.i_ce_ik 
(1, 3, 4), [1, 3, 0], 3.13.i_cg_im 
(-4, 6, 7), [0, 2, 3], 3.13.j_bd_co 
(-3, 6, 6), [1, 2, 2], 3.13.j_bn_ew 
(-2, 4, 7), [2, 0, 3], 3.13.j_bt_gw 
(-2, 5, 6), [2, 1, 2], 3.13.j_bv_gs 
(-1, 4, 6), [3, 0, 2], 3.13.j_cb_ic 
(1, 2, 6), [1, 2, 2], 3.13.j_ch_jm 
(-4, 7, 7), [0, 3, 3], 3.13.k_bg_cm 
(-3, 6, 7), [1, 2, 3], 3.13.k_bq_fe 
(-2, 5, 7), [2, 1, 3], 3.13.k_by_hi 
(-2, 6, 6), [2, 2, 2], 3.13.k_bz_hg 
(-1, 4, 7), [3, 0, 3], 3.13.k_ce_iy 
(-1, 5, 6), [3, 1, 2], 3.13.k_cg_iw 
(1, 2, 7), [1, 2, 3], 3.13.k_ck_ko 
(1, 3, 6), [1, 3, 2], 3.13.k_co_ks 
(2, 2, 6), [2, 2, 2], 3.13.k_cp_ky 
(1, 4, 5), [1, 0, 1], 3.13.k_cq_ku 
(2, 3, 5), [2, 3, 1], 3.13.k_cs_le 
(2, 4, 4), [2, 0, 0], 3.13.k_ct_lg 
