(-9, -2, 6), [3, 2, 2], 3.23.af_v_aes 
(-6, -6, 7), [2, 2, 3], 3.23.af_v_w 
(-8, -3, 6), [0, 1, 2], 3.23.af_bb_adi 
(-7, -4, 6), [1, 0, 2], 3.23.af_bf_ack 
(-6, -5, 6), [2, 3, 2], 3.23.af_bh_aby 
(-8, -2, 5), [0, 2, 1], 3.23.af_bj_afu 
(-9, 2, 2), [3, 2, 2], 3.23.af_bl_akg 
(-8, -1, 4), [0, 3, 0], 3.23.af_bp_ahq 
(-6, -4, 5), [2, 0, 1], 3.23.af_br_aeg 
(-8, 1, 2), [0, 1, 2], 3.23.af_bv_ajm 
(-7, -2, 4), [1, 2, 0], 3.23.af_bv_ags 
(-6, -3, 4), [2, 1, 0], 3.23.af_bz_agc 
(-5, -4, 4), [3, 0, 0], 3.23.af_cb_afu 
(-6, -2, 3), [2, 2, 3], 3.23.af_cf_ahm 
(-6, -1, 2), [2, 3, 2], 3.23.af_cj_aik 
(-4, -4, 3), [0, 0, 3], 3.23.af_cj_aha 
(-5, -2, 2), [3, 2, 2], 3.23.af_cn_aic 
(-4, -3, 2), [0, 1, 2], 3.23.af_cp_ahy 
(-4, -2, 1), [0, 2, 1], 3.23.af_ct_aio 
(-9, -4, 9), [3, 0, 1], 3.23.ae_am_fk 
(-8, -5, 9), [0, 3, 1], 3.23.ae_ai_gu 
(-7, -6, 9), [1, 2, 1], 3.23.ae_ag_hm 
(-9, -3, 8), [3, 1, 0], 3.23.ae_a_bg 
(-8, -4, 8), [0, 0, 0], 3.23.ae_f_cu 
(-7, -5, 8), [1, 3, 0], 3.23.ae_i_ds 
(-6, -6, 8), [2, 2, 0], 3.23.ae_j_ea 
(-9, -2, 7), [3, 2, 3], 3.23.ae_k_acg 
(-8, -3, 7), [0, 1, 3], 3.23.ae_q_aq 
(-9, -1, 6), [3, 3, 2], 3.23.ae_s_afa 
(-7, -4, 7), [1, 0, 3], 3.23.ae_u_m 
(-6, -5, 7), [2, 3, 3], 3.23.ae_w_ba 
(-8, -2, 6), [0, 2, 2], 3.23.ae_z_adk 
(-9, 1, 4), [3, 1, 0], 3.23.ae_bc_aim 
(-9, 2, 3), [3, 2, 3], 3.23.ae_be_aje 
(-7, -3, 6), [1, 1, 2], 3.23.ae_be_acg 
(-8, -1, 5), [0, 3, 1], 3.23.ae_bg_afo 
(-6, -4, 6), [2, 0, 2], 3.23.ae_bh_abo 
(-5, -5, 6), [3, 3, 2], 3.23.ae_bi_abi 
(-7, -2, 5), [1, 2, 1], 3.23.ae_bm_aek 
(-8, 1, 3), [0, 1, 3], 3.23.ae_bo_aia 
(-8, 2, 2), [0, 2, 2], 3.23.ae_bp_aii 
(-6, -3, 5), [2, 1, 1], 3.23.ae_bq_adq 
(-7, -1, 4), [1, 3, 0], 3.23.ae_bs_aga 
(-5, -4, 5), [3, 0, 1], 3.23.ae_bs_adg 
(-6, -2, 4), [2, 2, 0], 3.23.ae_bx_afg 
(-7, 1, 2), [1, 1, 2], 3.23.ae_by_ahq 
(-5, -3, 4), [3, 1, 0], 3.23.ae_ca_aeu 
(-4, -4, 4), [0, 0, 0], 3.23.ae_cb_aeq 
(-6, -1, 3), [2, 3, 3], 3.23.ae_cc_agk 
(-6, 1, 1), [2, 1, 1], 3.23.ae_cg_ahi 
(-5, -2, 3), [3, 2, 3], 3.23.ae_cg_afy 
(-4, -3, 3), [0, 1, 3], 3.23.ae_ci_afs 
(-5, -1, 2), [3, 3, 2], 3.23.ae_ck_ags 
(-4, -2, 2), [0, 2, 2], 3.23.ae_cn_agm 
(-3, -3, 2), [1, 1, 2], 3.23.ae_co_agk 
(-4, -1, 1), [0, 3, 1], 3.23.ae_cq_agy 
(-3, -2, 1), [1, 2, 1], 3.23.ae_cs_agw 
(-8, -4, 9), [0, 0, 1], 3.23.ad_ah_fu 
(-6, -6, 9), [2, 2, 1], 3.23.ad_ad_he 
(-9, -2, 8), [3, 2, 0], 3.23.ad_ab_g 
(-8, -3, 8), [0, 1, 0], 3.23.ad_f_cc 
(-7, -4, 8), [1, 0, 0], 3.23.ad_j_di 
(-6, -5, 8), [2, 3, 0], 3.23.ad_l_dy 
(-8, -2, 7), [0, 2, 3], 3.23.ad_p_aba 
(-9, 2, 4), [3, 2, 0], 3.23.ad_x_aic 
(-8, -1, 6), [0, 3, 2], 3.23.ad_x_adm 
(-6, -4, 7), [2, 0, 3], 3.23.ad_x_be 
(-7, -2, 6), [1, 2, 2], 3.23.ad_bd_acc 
(-8, 1, 4), [0, 1, 0], 3.23.ad_bh_ago 
(-6, -3, 6), [2, 1, 2], 3.23.ad_bh_abe 
(-8, 2, 3), [0, 2, 3], 3.23.ad_bj_ahe 
(-5, -4, 6), [3, 0, 2], 3.23.ad_bj_as 
(-6, -2, 5), [2, 2, 1], 3.23.ad_bp_ada 
(-7, 2, 2), [1, 2, 2], 3.23.ad_bt_agk 
(-4, -4, 5), [0, 0, 1], 3.23.ad_bt_acg 
(-6, -1, 4), [2, 3, 0], 3.23.ad_bv_aek 
(-5, -2, 4), [3, 2, 0], 3.23.ad_bz_adu 
(-6, 1, 2), [2, 1, 2], 3.23.ad_cb_afu 
(-4, -3, 4), [0, 1, 0], 3.23.ad_cb_adm 
(-4, -2, 3), [0, 2, 3], 3.23.ad_ch_aek 
(-4, -1, 2), [0, 3, 2], 3.23.ad_cl_afa 
(-3, -2, 2), [1, 2, 2], 3.23.ad_cn_aew 
(-9, -2, 9), [3, 2, 1], 3.23.ac_am_cs 
(-8, -3, 9), [0, 1, 1], 3.23.ac_ag_eu 
(-9, -1, 8), [3, 3, 0], 3.23.ac_ac_au 
(-7, -4, 9), [1, 0, 1], 3.23.ac_ac_ge 
(-6, -5, 9), [2, 3, 1], 3.23.ac_a_gw 
(-8, -2, 8), [0, 2, 0], 3.23.ac_f_bk 
(-7, -3, 8), [1, 1, 0], 3.23.ac_k_cy 
(-9, 1, 6), [3, 1, 2], 3.23.ac_m_afq 
(-6, -4, 8), [2, 0, 0], 3.23.ac_n_dw 
(-8, -1, 7), [0, 3, 3], 3.23.ac_o_abk 
(-5, -5, 8), [3, 3, 0], 3.23.ac_o_ee 
(-9, 2, 5), [3, 2, 1], 3.23.ac_q_aha 
(-9, 3, 4), [3, 3, 0], 3.23.ac_s_ahs 
(-7, -2, 7), [1, 2, 3], 3.23.ac_u_g 
(-6, -3, 7), [2, 1, 3], 3.23.ac_y_bi 
(-8, 1, 5), [0, 1, 1], 3.23.ac_ba_afc 
(-5, -4, 7), [3, 0, 3], 3.23.ac_ba_bw 
(-7, -1, 6), [1, 3, 2], 3.23.ac_bc_aby 
(-8, 2, 4), [0, 2, 0], 3.23.ac_bd_aga 
(-8, 3, 3), [0, 3, 3], 3.23.ac_be_agi 
(-6, -2, 6), [2, 2, 2], 3.23.ac_bh_au 
(-5, -3, 6), [3, 1, 2], 3.23.ac_bk_ac 
(-4, -4, 6), [0, 0, 2], 3.23.ac_bl_e 
(-7, 1, 4), [1, 1, 0], 3.23.ac_bm_aeq 
(-7, 2, 3), [1, 2, 3], 3.23.ac_bo_afe 
(-6, -1, 5), [2, 3, 1], 3.23.ac_bo_ack 
(-5, -2, 5), [3, 2, 1], 3.23.ac_bs_abq 
(-4, -3, 5), [0, 1, 1], 3.23.ac_bu_abg 
(-6, 1, 3), [2, 1, 3], 3.23.ac_bw_aeg 
(-6, 2, 2), [2, 2, 2], 3.23.ac_bx_aem 
(-5, -1, 4), [3, 3, 0], 3.23.ac_by_acu 
(-4, -2, 4), [0, 2, 0], 3.23.ac_cb_aci 
(-3, -3, 4), [1, 1, 0], 3.23.ac_cc_ace 
(-5, 1, 2), [3, 1, 2], 3.23.ac_ce_ady 
(-4, -1, 3), [0, 3, 3], 3.23.ac_cg_adc 
(-3, -2, 3), [1, 2, 3], 3.23.ac_ci_acw 
(-4, 1, 1), [0, 1, 1], 3.23.ac_ck_ads 
(-3, -1, 2), [1, 3, 2], 3.23.ac_cm_adi 
(-2, -2, 2), [2, 2, 2], 3.23.ac_cn_adg 
(-2, -1, 1), [2, 3, 1], 3.23.ac_cq_adm 
(-8, -2, 9), [0, 2, 1], 3.23.ab_af_du 
(-6, -4, 9), [2, 0, 1], 3.23.ab_d_go 
(-8, -1, 8), [0, 3, 0], 3.23.ab_f_s 
(-9, 2, 6), [3, 2, 2], 3.23.ab_j_afy 
(-7, -2, 8), [1, 2, 0], 3.23.ab_l_co 
(-9, 4, 4), [3, 0, 0], 3.23.ab_n_ahi 
(-6, -3, 8), [2, 1, 0], 3.23.ab_p_du 
(-5, -4, 8), [3, 0, 0], 3.23.ab_r_ek 
(-8, 1, 6), [0, 1, 2], 3.23.ab_t_adq 
(-8, 2, 5), [0, 2, 1], 3.23.ab_x_aew 
(-8, 3, 4), [0, 3, 0], 3.23.ab_z_afm 
(-6, -2, 7), [2, 2, 3], 3.23.ab_z_bm 
(-4, -4, 7), [0, 0, 3], 3.23.ab_bd_co 
