(-7, 3, 4), [1, 3, 0], 3.17.a_o_adg 
(-4, -3, 7), [0, 1, 3], 3.17.a_o_dg 
(-6, 1, 5), [2, 1, 1], 3.17.a_u_abe 
(-5, -1, 6), [3, 3, 2], 3.17.a_u_be 
(-6, 2, 4), [2, 2, 0], 3.17.a_x_abw 
(-4, -2, 6), [0, 2, 2], 3.17.a_x_bw 
(-6, 3, 3), [2, 3, 3], 3.17.a_y_acc 
(-3, -3, 6), [1, 1, 2], 3.17.a_y_cc 
(-5, 1, 4), [3, 1, 0], 3.17.a_be_au 
(-4, -1, 5), [0, 3, 1], 3.17.a_be_u 
(-5, 2, 3), [3, 2, 3], 3.17.a_bg_abe 
(-3, -2, 5), [1, 2, 1], 3.17.a_bg_be 
(-4, 1, 3), [0, 1, 3], 3.17.a_bm_am 
(-3, -1, 4), [1, 3, 0], 3.17.a_bm_m 
(-4, 2, 2), [0, 2, 2], 3.17.a_bn_aq 
(-2, -2, 4), [2, 2, 0], 3.17.a_bn_q 
(-3, 1, 2), [1, 1, 2], 3.17.a_bs_ag 
(-2, -1, 3), [2, 3, 3], 3.17.a_bs_g 
(-2, 1, 1), [2, 1, 1], 3.17.a_bw_ac 
(-1, -1, 2), [3, 3, 2], 3.17.a_bw_c 
(-8, 1, 8), [0, 1, 0], 3.17.b_an_abe 
(-8, 2, 7), [0, 2, 3], 3.17.b_ah_ada 
(-8, 3, 6), [0, 3, 2], 3.17.b_ad_aeg 
(-8, 4, 5), [0, 0, 1], 3.17.b_ab_aew 
(-6, -1, 8), [2, 3, 0], 3.17.b_b_de 
(-5, -2, 8), [3, 2, 0], 3.17.b_f_ek 
(-7, 2, 6), [1, 2, 2], 3.17.b_h_aby 
(-4, -3, 8), [0, 1, 0], 3.17.b_h_fa 
(-7, 4, 4), [1, 0, 0], 3.17.b_l_ada 
(-6, 1, 6), [2, 1, 2], 3.17.b_p_ac 
(-4, -2, 7), [0, 2, 3], 3.17.b_r_dm 
(-6, 2, 5), [2, 2, 1], 3.17.b_t_aba 
(-6, 3, 4), [2, 3, 0], 3.17.b_v_abm 
(-4, -1, 6), [0, 3, 2], 3.17.b_z_cg 
(-3, -2, 6), [1, 2, 2], 3.17.b_bb_cs 
(-5, 2, 4), [3, 2, 0], 3.17.b_bd_ag 
(-4, 1, 4), [0, 1, 0], 3.17.b_bj_s 
(-2, -2, 5), [2, 2, 1], 3.17.b_bj_cc 
(-4, 2, 3), [0, 2, 3], 3.17.b_bl_k 
(-2, -1, 4), [2, 3, 0], 3.17.b_bp_bq 
(-3, 2, 2), [1, 2, 2], 3.17.b_br_w 
(-8, 2, 8), [0, 2, 0], 3.17.c_an_aci 
(-8, 3, 7), [0, 3, 3], 3.17.c_ai_adw 
