(-9, -4, 51), [16, 21, 1], 3.25.an_ei_azj 
(-2, -11, 66), [23, 14, 16], 3.25.an_ej_abag 
(-7, -6, 46), [18, 19, 21], 3.25.an_ej_axy 
(-2, -11, 67), [23, 14, 17], 3.25.an_ek_abai 
(-7, -6, 47), [18, 19, 22], 3.25.an_ek_ayf 
(-2, -11, 69), [23, 14, 19], 3.25.an_em_abam 
(-3, -10, 61), [22, 15, 11], 3.25.an_em_abah 
(-1, -12, 79), [24, 13, 4], 3.25.an_em_abad 
(-7, -6, 49), [18, 19, 24], 3.25.an_em_ayt 
(-2, -11, 71), [23, 14, 21], 3.25.an_eo_abaq 
(-3, -10, 63), [22, 15, 13], 3.25.an_eo_aban 
(-1, -12, 81), [24, 13, 6], 3.25.an_eo_abaf 
(-7, -6, 51), [18, 19, 1], 3.25.an_eo_azh 
(-1, -12, 83), [24, 13, 8], 3.25.an_eq_abah 
(-7, -6, 53), [18, 19, 3], 3.25.an_eq_azv 
(-6, -7, 53), [19, 18, 3], 3.25.an_eq_azs 
(-6, -7, 54), [19, 18, 4], 3.25.an_er_azy 
(-3, -10, 67), [22, 15, 17], 3.25.an_es_abaz 
(-3, -10, 68), [22, 15, 18], 3.25.an_et_abbc 
(-3, -10, 69), [22, 15, 19], 3.25.an_eu_abbf 
(-7, -6, 57), [18, 19, 7], 3.25.an_eu_abax 
(-6, -7, 57), [19, 18, 7], 3.25.an_eu_abaq 
(-6, -7, 58), [19, 18, 8], 3.25.an_ev_abaw 
(-6, -7, 59), [19, 18, 9], 3.25.an_ew_abbc 
(-3, -10, 72), [22, 15, 22], 3.25.an_ex_abbo 
(-3, -10, 73), [22, 15, 23], 3.25.an_ey_abbr 
(-4, -9, 67), [21, 16, 17], 3.25.an_ey_abbq 
(-6, -7, 61), [19, 18, 11], 3.25.an_ey_abbo 
(-4, -9, 69), [21, 16, 19], 3.25.an_fa_abby 
(-9, -3, -18), [16, 22, 7], 3.25.am_bi_m 
(-9, -3, -7), [16, 22, 18], 3.25.am_bt_adj 
(-9, -3, -3), [16, 22, 22], 3.25.am_bx_aet 
(-9, -3, -1), [16, 22, 24], 3.25.am_bz_afl 
(-9, -3, 11), [16, 22, 11], 3.25.am_cl_ajp 
(-8, -4, 17), [17, 21, 17], 3.25.am_cw_amy 
(-8, -4, 19), [17, 21, 19], 3.25.am_cy_ano 
(-8, -4, 23), [17, 21, 23], 3.25.am_dc_aou 
(-7, -5, 33), [18, 20, 8], 3.25.am_dp_asn 
(-1, -11, 61), [24, 14, 11], 3.25.am_dt_axn 
(-7, -5, 37), [18, 20, 12], 3.25.am_dt_atp 
(-1, -11, 62), [24, 14, 12], 3.25.am_du_axo 
(-7, -5, 38), [18, 20, 13], 3.25.am_du_atw 
(-1, -11, 63), [24, 14, 13], 3.25.am_dv_axp 
(-7, -5, 39), [18, 20, 14], 3.25.am_dv_aud 
(-6, -6, 49), [19, 19, 24], 3.25.am_eg_aww 
