(5, 6, 20), [1, 2, 0], 3.9.l_ch_ia 
(5, 6, 22), [1, 2, 2], 3.9.l_cj_ik 
(4, 7, 25), [0, 3, 1], 3.9.l_ck_is 
(4, 7, 26), [0, 3, 2], 3.9.l_cl_iw 
(5, 6, 25), [1, 2, 1], 3.9.l_cm_iz 
(2, 9, 37), [2, 1, 1], 3.9.l_cm_jc 
(4, 7, 29), [0, 3, 1], 3.9.l_co_ji 
(5, 7, 25), [1, 3, 1], 3.9.m_cr_jr 
(5, 7, 26), [1, 3, 2], 3.9.m_cs_jw 
(4, 8, 31), [0, 0, 3], 3.9.m_cu_ki 
(5, 7, 29), [1, 3, 1], 3.9.m_cv_kl 
(4, 8, 32), [0, 0, 0], 3.9.m_cv_km 
(5, 8, 31), [1, 0, 3], 3.9.n_dc_ln 
(5, 8, 32), [1, 0, 0], 3.9.n_dd_ls 
(4, 9, 37), [0, 1, 1], 3.9.n_de_ly 
(5, 9, 37), [1, 1, 1], 3.9.o_dn_nj 
