(-5, -9, 63), [3, 3, 3], 3.23.ao_fb_abcb 
(-5, -9, 65), [3, 3, 1], 3.23.ao_fd_abcl 
(-9, -4, -7), [3, 0, 1], 3.23.an_ca_aer 
(-9, -4, -5), [3, 0, 3], 3.23.an_cc_afj 
(-9, -4, -3), [3, 0, 1], 3.23.an_ce_agb 
(-9, -4, -2), [3, 0, 2], 3.23.an_cf_agk 
(-9, -4, -1), [3, 0, 3], 3.23.an_cg_agt 
(-9, -4, 2), [3, 0, 2], 3.23.an_cj_ahu 
(-9, -4, 3), [3, 0, 3], 3.23.an_ck_aid 
(-9, -4, 4), [3, 0, 0], 3.23.an_cl_aim 
(-9, -4, 5), [3, 0, 1], 3.23.an_cm_aiv 
(-9, -4, 7), [3, 0, 3], 3.23.an_co_ajn 
(-9, -4, 8), [3, 0, 0], 3.23.an_cp_ajw 
(-9, -4, 9), [3, 0, 1], 3.23.an_cq_akf 
(-9, -4, 11), [3, 0, 3], 3.23.an_cs_akx 
(-9, -4, 13), [3, 0, 1], 3.23.an_cu_alp 
(-9, -4, 15), [3, 0, 3], 3.23.an_cw_amh 
(-9, -4, 17), [3, 0, 1], 3.23.an_cy_amz 
(-7, -6, 13), [1, 2, 1], 3.23.an_da_aod 
(-9, -4, 19), [3, 0, 3], 3.23.an_da_anr 
(-7, -6, 15), [1, 2, 3], 3.23.an_dc_aor 
(-9, -4, 21), [3, 0, 1], 3.23.an_dc_aoj 
(-8, -5, 18), [0, 3, 2], 3.23.an_dd_aok 
(-7, -6, 17), [1, 2, 1], 3.23.an_de_apf 
(-8, -5, 19), [0, 3, 3], 3.23.an_de_aos 
(-8, -5, 20), [0, 3, 0], 3.23.an_df_apa 
(-8, -5, 21), [0, 3, 1], 3.23.an_dg_api 
(-9, -4, 27), [3, 0, 3], 3.23.an_di_aql 
(-7, -6, 21), [1, 2, 1], 3.23.an_di_aqh 
(-8, -5, 24), [0, 3, 0], 3.23.an_dj_aqg 
