(-3, -3, 15), [8, 8, 4], 3.11.ag_bj_aeh 
(-4, -2, 16), [7, 9, 5], 3.11.ag_bj_aee 
(-3, -3, 16), [8, 8, 5], 3.11.ag_bk_aek 
(-4, -2, 17), [7, 9, 6], 3.11.ag_bk_aei 
(-5, -1, 21), [6, 10, 10], 3.11.ag_bl_aex 
(-2, -4, 18), [9, 7, 7], 3.11.ag_bl_aeu 
(-3, -3, 17), [8, 8, 6], 3.11.ag_bl_aen 
(-4, -2, 18), [7, 9, 7], 3.11.ag_bl_aem 
(-2, -4, 19), [9, 7, 8], 3.11.ag_bm_aew 
(-2, -4, 20), [9, 7, 9], 3.11.ag_bn_aey 
(-4, -2, 20), [7, 9, 9], 3.11.ag_bn_aeu 
(-1, -5, 24), [10, 6, 2], 3.11.ag_bo_afe 
(-2, -4, 21), [9, 7, 10], 3.11.ag_bo_afa 
(-4, -2, 21), [7, 9, 10], 3.11.ag_bo_aey 
(-3, -3, 20), [8, 8, 9], 3.11.ag_bo_aew 
(-2, -4, 24), [9, 7, 2], 3.11.ag_br_afg 
(-5, 0, -18), [6, 0, 4], 3.11.af_ah_dm 
(-6, 1, -12), [5, 1, 10], 3.11.af_ah_dq 
(-5, 0, -16), [6, 0, 6], 3.11.af_af_dc 
(-6, 1, -10), [5, 1, 1], 3.11.af_af_de 
(-6, 1, -7), [5, 1, 4], 3.11.af_ac_cm 
(-6, 1, -6), [5, 1, 5], 3.11.af_ab_cg 
(-5, 0, -12), [6, 0, 10], 3.11.af_ab_ci 
(-4, -1, -15), [7, 10, 7], 3.11.af_a_bm 
(-6, 1, -5), [5, 1, 6], 3.11.af_a_ca 
(-4, -1, -14), [7, 10, 8], 3.11.af_b_bi 
(-6, 1, -4), [5, 1, 7], 3.11.af_b_bu 
(-5, 0, -10), [6, 0, 1], 3.11.af_b_by 
(-4, -1, -13), [7, 10, 9], 3.11.af_c_be 
(-6, 1, -3), [5, 1, 8], 3.11.af_c_bo 
(-4, -1, -12), [7, 10, 10], 3.11.af_d_ba 
(-6, 1, -2), [5, 1, 9], 3.11.af_d_bi 
(-5, 0, -8), [6, 0, 3], 3.11.af_d_bo 
(-6, 1, -1), [5, 1, 10], 3.11.af_e_bc 
(-4, -1, -10), [7, 10, 1], 3.11.af_f_s 
(-4, -1, -9), [7, 10, 2], 3.11.af_g_o 
(-6, 1, 1), [5, 1, 1], 3.11.af_g_q 
(-6, 1, 3), [5, 1, 3], 3.11.af_i_e 
(-4, -1, -7), [7, 10, 4], 3.11.af_i_g 
(-3, -2, -8), [8, 9, 3], 3.11.af_j_au 
(-6, 1, 4), [5, 1, 4], 3.11.af_j_ac 
(-4, -1, -6), [7, 10, 5], 3.11.af_j_c 
(-6, 1, 5), [5, 1, 5], 3.11.af_k_ai 
(-4, -1, -5), [7, 10, 6], 3.11.af_k_ac 
(-3, -2, -6), [8, 9, 5], 3.11.af_l_aba 
(-6, 1, 6), [5, 1, 6], 3.11.af_l_ao 
(-4, -1, -4), [7, 10, 7], 3.11.af_l_ag 
(-6, 1, 7), [5, 1, 7], 3.11.af_m_au 
(-4, -1, -3), [7, 10, 8], 3.11.af_m_ak 
(4, -9, 38), [4, 2, 5], 3.11.af_n_abu 
(-3, -2, -4), [8, 9, 7], 3.11.af_n_abg 
(-6, 1, 8), [5, 1, 8], 3.11.af_n_aba 
(-4, -1, -2), [7, 10, 9], 3.11.af_n_ao 
(-5, 0, 2), [6, 0, 2], 3.11.af_n_ak 
(4, -9, 39), [4, 2, 6], 3.11.af_o_abq 
(-6, 1, 9), [5, 1, 9], 3.11.af_o_abg 
(-4, -1, -1), [7, 10, 10], 3.11.af_o_as 
(-2, -3, -2), [9, 8, 9], 3.11.af_p_ack 
(-5, 0, 4), [6, 0, 4], 3.11.af_p_au 
(-2, -3, -1), [9, 8, 10], 3.11.af_q_acm 
(4, -9, 41), [4, 2, 8], 3.11.af_q_abi 
(-4, -1, 1), [7, 10, 1], 3.11.af_q_aba 
(-6, 1, 12), [5, 1, 1], 3.11.af_r_aby 
(-2, -3, 1), [9, 8, 1], 3.11.af_s_acq 
(-6, 1, 13), [5, 1, 2], 3.11.af_s_ace 
(-4, -1, 3), [7, 10, 3], 3.11.af_s_abi 
(3, -8, 32), [3, 3, 10], 3.11.af_t_adc 
(-2, -3, 2), [9, 8, 2], 3.11.af_t_acs 
(-6, 1, 14), [5, 1, 3], 3.11.af_t_ack 
(-3, -2, 2), [8, 9, 2], 3.11.af_t_aby 
(-5, 0, 8), [6, 0, 8], 3.11.af_t_abo 
(-4, -1, 4), [7, 10, 4], 3.11.af_t_abm 
(-2, -3, 3), [9, 8, 3], 3.11.af_u_acu 
(-6, 1, 15), [5, 1, 4], 3.11.af_u_acq 
