(-5, -2, 20), [14, 17, 1] 
(1, -8, 39), [1, 11, 1] 
(-1, -6, 25), [18, 13, 6] 
(-7, 0, 31), [12, 0, 12] 
(3, -10, 61), [3, 9, 4] 
(-5, -2, 21), [14, 17, 2] 
(-5, -2, 22), [14, 17, 3] 
(1, -8, 41), [1, 11, 3] 
(-1, -6, 27), [18, 13, 8] 
(-7, 0, 33), [12, 0, 14] 
(-3, -4, 21), [16, 15, 2] 
(-5, -2, 24), [14, 17, 5] 
(1, -8, 43), [1, 11, 5] 
(-1, -6, 29), [18, 13, 10] 
(-7, 0, 35), [12, 0, 16] 
(-3, -4, 23), [16, 15, 4] 
(-5, -2, 25), [14, 17, 6] 
(-5, -2, 26), [14, 17, 7] 
(-3, -4, 25), [16, 15, 6] 
(-5, -2, 27), [14, 17, 8] 
(-1, -6, 33), [18, 13, 14] 
(1, -8, 47), [1, 11, 9] 
(-3, -4, 27), [16, 15, 8] 
(-5, -2, 29), [14, 17, 10] 
(-1, -6, 35), [18, 13, 16] 
(1, -8, 49), [1, 11, 11] 
(-3, -4, 29), [16, 15, 10] 
(-5, -2, 31), [14, 17, 12] 
(-1, -6, 37), [18, 13, 18] 
(1, -8, 51), [1, 11, 13] 
(-3, -4, 31), [16, 15, 12] 
(-5, -2, 33), [14, 17, 14] 
(-4, -3, 31), [15, 16, 12] 
(-4, -3, 32), [15, 16, 13] 
(-1, -6, 39), [18, 13, 1] 
(-4, -3, 33), [15, 16, 14] 
(-1, -6, 40), [18, 13, 2] 
(-1, -6, 41), [18, 13, 3] 
(-5, -2, 37), [14, 17, 18] 
(-3, -4, 35), [16, 15, 16] 
(-4, -3, 35), [15, 16, 16] 
(-1, -6, 42), [18, 13, 4] 
(-4, -3, 36), [15, 16, 17] 
(-3, -4, 37), [16, 15, 18] 
(-4, -3, 37), [15, 16, 18] 
(-1, -6, 44), [18, 13, 6] 
(-1, -6, 45), [18, 13, 7] 
(-2, -5, 41), [17, 14, 3] 
(-3, -4, 39), [16, 15, 1] 
(-3, -4, 40), [16, 15, 2] 
(-2, -5, 43), [17, 14, 5] 
(-8, 2, -20), [11, 2, 18] 
(-7, 1, -29), [12, 1, 9] 
(-7, 1, -25), [12, 1, 13] 
(-7, 1, -24), [12, 1, 14] 
(-7, 1, -23), [12, 1, 15] 
(-7, 1, -21), [12, 1, 17] 
(-7, 1, -17), [12, 1, 2] 
(-7, 1, -15), [12, 1, 4] 
(-6, 0, 1), [13, 0, 1] 
(-6, 0, 3), [13, 0, 3] 
(1, -7, 27), [1, 12, 8] 
(-5, -1, 15), [14, 18, 15] 
(1, -7, 28), [1, 12, 9] 
(1, -7, 29), [1, 12, 10] 
(-5, -1, 17), [14, 18, 17] 
(1, -7, 31), [1, 12, 12] 
(1, -7, 33), [1, 12, 14] 
(-5, -1, 21), [14, 18, 2] 
(-4, -2, 29), [15, 17, 10] 
(-4, -2, 31), [15, 17, 12] 
(-1, -5, 39), [18, 14, 1] 
(-3, -3, 35), [16, 16, 16] 
(-1, -5, 41), [18, 14, 3] 
(-3, -3, 37), [16, 16, 18] 
(-2, -4, 39), [17, 15, 1] 
(-1, -5, 43), [18, 14, 5] 
(-3, -3, 39), [16, 16, 1] 
(-5, 0, -37), [14, 0, 1] 
(-5, 0, -36), [14, 0, 2] 
(-5, 0, -35), [14, 0, 3] 
(-6, 1, -29), [13, 1, 9] 
(-7, 2, -20), [12, 2, 18] 
(-5, 0, -33), [14, 0, 5] 
(-5, 0, -31), [14, 0, 7] 
(-7, 2, -17), [12, 2, 2] 
(-5, 0, -29), [14, 0, 9] 
(-7, 2, -15), [12, 2, 4] 
(-5, 0, -27), [14, 0, 11] 
(-7, 2, -13), [12, 2, 6] 
(-5, 0, -25), [14, 0, 13] 
(-7, 2, -11), [12, 2, 8] 
(-5, 0, -23), [14, 0, 15] 
(-7, 2, -9), [12, 2, 10] 
(-5, 0, -21), [14, 0, 17] 
(-7, 2, -7), [12, 2, 12] 
(-5, 0, -20), [14, 0, 18] 
(-7, 2, -5), [12, 2, 14] 
(7, -12, 67), [7, 7, 10] 
(-5, 0, -17), [14, 0, 2] 
(-7, 2, -3), [12, 2, 16] 
(7, -12, 69), [7, 7, 12] 
(-5, 0, -15), [14, 0, 4] 
(-7, 2, -1), [12, 2, 18] 
(7, -12, 71), [7, 7, 14] 
(-5, 0, -13), [14, 0, 6] 
(-7, 2, 1), [12, 2, 1] 
(-6, 1, -7), [13, 1, 12] 
