(-2, -13, 85), [2, 3, 1], 3.23.ap_fe_abdo 
(-8, -7, 55), [0, 1, 3], 3.23.ap_fe_abdi 
(-6, -9, 57), [2, 3, 1], 3.23.ap_fe_abdc 
(-4, -11, 68), [0, 1, 0], 3.23.ap_ff_abdy 
(-6, -9, 58), [2, 3, 2], 3.23.ap_ff_abdi 
(-8, -7, 57), [0, 1, 1], 3.23.ap_fg_abdy 
(-2, -13, 87), [2, 3, 3], 3.23.ap_fg_abds 
(-6, -9, 59), [2, 3, 3], 3.23.ap_fg_abdo 
(-5, -10, 64), [3, 2, 0], 3.23.ap_fh_abea 
(-3, -12, 80), [1, 0, 0], 3.23.ap_fj_abem 
(-5, -10, 66), [3, 2, 2], 3.23.ap_fj_abek 
(-7, -8, 60), [1, 0, 0], 3.23.ap_fj_abei 
(-9, -5, 2), [3, 3, 2], 3.23.ao_cs_ajo 
(-9, -5, 3), [3, 3, 3], 3.23.ao_ct_ajx 
(-9, -5, 4), [3, 3, 0], 3.23.ao_cu_akg 
(-9, -5, 5), [3, 3, 1], 3.23.ao_cv_akp 
(-9, -5, 6), [3, 3, 2], 3.23.ao_cw_aky 
(-9, -5, 8), [3, 3, 0], 3.23.ao_cy_alq 
(-9, -5, 12), [3, 3, 0], 3.23.ao_dc_ana 
(-9, -5, 14), [3, 3, 2], 3.23.ao_de_ans 
(-8, -6, 12), [0, 2, 0], 3.23.ao_df_aoi 
(-9, -5, 15), [3, 3, 3], 3.23.ao_df_aob 
(-9, -5, 16), [3, 3, 0], 3.23.ao_dg_aok 
(-8, -6, 14), [0, 2, 2], 3.23.ao_dh_aoy 
(-9, -5, 17), [3, 3, 1], 3.23.ao_dh_aot 
(-8, -6, 15), [0, 2, 3], 3.23.ao_di_apg 
(-9, -5, 18), [3, 3, 2], 3.23.ao_di_apc 
(-8, -6, 16), [0, 2, 0], 3.23.ao_dj_apo 
(-9, -5, 19), [3, 3, 3], 3.23.ao_dj_apl 
(-8, -6, 17), [0, 2, 1], 3.23.ao_dk_apw 
(-9, -5, 20), [3, 3, 0], 3.23.ao_dk_apu 
(-8, -6, 18), [0, 2, 2], 3.23.ao_dl_aqe 
(-9, -5, 21), [3, 3, 1], 3.23.ao_dl_aqd 
(-8, -6, 20), [0, 2, 0], 3.23.ao_dn_aqu 
(-9, -5, 24), [3, 3, 0], 3.23.ao_do_are 
(-8, -6, 21), [0, 2, 1], 3.23.ao_do_arc 
(-9, -5, 25), [3, 3, 1], 3.23.ao_dp_arn 
(-8, -6, 22), [0, 2, 2], 3.23.ao_dp_ark 
(-7, -7, 22), [1, 1, 2], 3.23.ao_dq_asi 
(-9, -5, 26), [3, 3, 2], 3.23.ao_dq_arw 
(-9, -5, 27), [3, 3, 3], 3.23.ao_dr_asf 
(-8, -6, 24), [0, 2, 0], 3.23.ao_dr_asa 
(-7, -7, 24), [1, 1, 0], 3.23.ao_ds_asw 
(-9, -5, 28), [3, 3, 0], 3.23.ao_ds_aso 
(-8, -6, 25), [0, 2, 1], 3.23.ao_ds_asi 
(-7, -7, 25), [1, 1, 1], 3.23.ao_dt_atd 
(-9, -5, 29), [3, 3, 1], 3.23.ao_dt_asx 
(-8, -6, 26), [0, 2, 2], 3.23.ao_dt_asq 
(-7, -7, 26), [1, 1, 2], 3.23.ao_du_atk 
(-9, -5, 30), [3, 3, 2], 3.23.ao_du_atg 
(-8, -6, 27), [0, 2, 3], 3.23.ao_du_asy 
(2, -16, 108), [2, 0, 0], 3.23.ao_dv_aua 
(-7, -7, 27), [1, 1, 3], 3.23.ao_dv_atr 
(-9, -5, 31), [3, 3, 3], 3.23.ao_dv_atp 
(-8, -6, 28), [0, 2, 0], 3.23.ao_dv_atg 
(-9, -5, 33), [3, 3, 1], 3.23.ao_dx_auh 
(-7, -7, 29), [1, 1, 1], 3.23.ao_dx_auf 
(-6, -8, 31), [2, 0, 3], 3.23.ao_dy_avi 
(-9, -5, 34), [3, 3, 2], 3.23.ao_dy_auq 
(-7, -7, 30), [1, 1, 2], 3.23.ao_dy_aum 
