(4, 5, 14), [4, 5, 5], 3.9.j_br_fq 
(5, 4, 16), [5, 4, 7], 3.9.j_bt_fw 
(5, 4, 17), [5, 4, 8], 3.9.j_bu_gb 
(4, 5, 17), [4, 5, 8], 3.9.j_bu_gc 
(4, 5, 19), [4, 5, 1], 3.9.j_bw_gk 
(5, 4, 19), [5, 4, 1], 3.9.j_bw_gl 
(1, 8, 31), [1, 8, 4], 3.9.j_bw_gt 
(2, 7, 25), [2, 7, 7], 3.9.j_bw_gu 
(4, 5, 20), [4, 5, 2], 3.9.j_bx_go 
(5, 4, 20), [5, 4, 2], 3.9.j_bx_gq 
(2, 7, 26), [2, 7, 8], 3.9.j_bx_gw 
(4, 5, 23), [4, 5, 5], 3.9.j_ca_ha 
(2, 7, 29), [2, 7, 2], 3.9.j_ca_hc 
(5, 5, 14), [5, 5, 5], 3.9.k_bw_ge 
(5, 5, 17), [5, 5, 8], 3.9.k_bz_gt 
(4, 6, 19), [4, 6, 1], 3.9.k_ca_hc 
(5, 5, 19), [5, 5, 1], 3.9.k_cb_hd 
(1, 9, 37), [1, 0, 1], 3.9.k_cd_hr 
(2, 8, 31), [2, 8, 4], 3.9.k_ce_hy 
(5, 5, 23), [5, 5, 5], 3.9.k_cf_hx 
(4, 6, 25), [4, 6, 7], 3.9.k_cg_ia 
(5, 6, 19), [5, 6, 1], 3.9.l_cg_hv 
(5, 6, 20), [5, 6, 2], 3.9.l_ch_ia 
(5, 6, 22), [5, 6, 4], 3.9.l_cj_ik 
(4, 7, 25), [4, 7, 7], 3.9.l_ck_is 
(4, 7, 26), [4, 7, 8], 3.9.l_cl_iw 
(5, 6, 25), [5, 6, 7], 3.9.l_cm_iz 
(2, 9, 37), [2, 0, 1], 3.9.l_cm_jc 
(4, 7, 29), [4, 7, 2], 3.9.l_co_ji 
(5, 7, 25), [5, 7, 7], 3.9.m_cr_jr 
(5, 7, 26), [5, 7, 8], 3.9.m_cs_jw 
(4, 8, 31), [4, 8, 4], 3.9.m_cu_ki 
(5, 7, 29), [5, 7, 2], 3.9.m_cv_kl 
(4, 8, 32), [4, 8, 5], 3.9.m_cv_km 
(5, 8, 31), [5, 8, 4], 3.9.n_dc_ln 
(5, 8, 32), [5, 8, 5], 3.9.n_dd_ls 
(4, 9, 37), [4, 0, 1], 3.9.n_de_ly 
(5, 9, 37), [5, 0, 1], 3.9.o_dn_nj 
