(-6, 1, -18), [7, 1, 8], 3.13.af_al_fe 
(-6, 1, -17), [7, 1, 9], 3.13.af_ak_ey 
(-5, 0, -22), [8, 0, 4], 3.13.af_aj_eg 
(-7, 2, -7), [6, 2, 6], 3.13.af_ai_dx 
(-5, 0, -21), [8, 0, 5], 3.13.af_ai_eb 
(-6, 1, -15), [7, 1, 11], 3.13.af_ai_em 
(-6, 1, -14), [7, 1, 12], 3.13.af_ah_eg 
(-7, 2, -5), [6, 2, 8], 3.13.af_ag_dj 
(-5, 0, -19), [8, 0, 7], 3.13.af_ag_dr 
(-6, 1, -12), [7, 1, 1], 3.13.af_af_du 
(-7, 2, -3), [6, 2, 10], 3.13.af_ae_cv 
(-5, 0, -17), [8, 0, 9], 3.13.af_ae_dh 
(-7, 2, -1), [6, 2, 12], 3.13.af_ac_ch 
(-5, 0, -15), [8, 0, 11], 3.13.af_ac_cx 
(-7, 2, 1), [6, 2, 1], 3.13.af_a_bt 
(-7, 2, 3), [6, 2, 3], 3.13.af_c_bf 
(-5, 0, -11), [8, 0, 2], 3.13.af_c_cd 
(-7, 2, 5), [6, 2, 5], 3.13.af_e_r 
(-5, 0, -9), [8, 0, 4], 3.13.af_e_bt 
(-5, 0, -8), [8, 0, 5], 3.13.af_f_bo 
(-7, 2, 7), [6, 2, 7], 3.13.af_g_d 
(-5, 0, -7), [8, 0, 6], 3.13.af_g_bj 
(-3, -2, -11), [10, 11, 2], 3.13.af_i_at 
(-7, 2, 9), [6, 2, 9], 3.13.af_i_al 
(-5, 0, -5), [8, 0, 8], 3.13.af_i_z 
(-5, 0, -3), [8, 0, 10], 3.13.af_k_p 
(-5, 0, -2), [8, 0, 11], 3.13.af_l_k 
(-3, -2, -7), [10, 11, 6], 3.13.af_m_abf 
(5, -10, 49), [5, 3, 10], 3.13.af_m_ap 
(-5, 0, -1), [8, 0, 12], 3.13.af_m_f 
(-7, 2, 15), [6, 2, 2], 3.13.af_o_acb 
(-3, -2, -5), [10, 11, 8], 3.13.af_o_abl 
(-5, 0, 2), [8, 0, 2], 3.13.af_p_ak 
(-7, 2, 17), [6, 2, 4], 3.13.af_q_acp 
(-3, -2, -3), [10, 11, 10], 3.13.af_q_abr 
(-5, 0, 3), [8, 0, 3], 3.13.af_q_ap 
(-5, 0, 4), [8, 0, 4], 3.13.af_r_au 
(-7, 2, 19), [6, 2, 6], 3.13.af_s_add 
(-3, -2, -1), [10, 11, 12], 3.13.af_s_abx 
(-5, 0, 5), [8, 0, 5], 3.13.af_s_az 
(-1, -4, 3), [12, 9, 3], 3.13.af_u_aed 
(-7, 2, 21), [6, 2, 8], 3.13.af_u_adr 
(-3, -2, 1), [10, 11, 1], 3.13.af_u_acd 
(-5, 0, 7), [8, 0, 7], 3.13.af_u_abj 
(-3, -2, 3), [10, 11, 3], 3.13.af_w_acj 
(-5, 0, 9), [8, 0, 9], 3.13.af_w_abt 
(-7, 2, 25), [6, 2, 12], 3.13.af_y_aet 
(-1, -4, 7), [12, 9, 7], 3.13.af_y_aeh 
(3, -8, 35), [3, 5, 9], 3.13.af_y_adz 
(-3, -2, 5), [10, 11, 5], 3.13.af_y_acp 
(-5, 0, 11), [8, 0, 11], 3.13.af_y_acd 
(1, -6, 18), [1, 7, 5], 3.13.af_z_afi 
(-1, -4, 9), [12, 9, 9], 3.13.af_ba_aej 
(3, -8, 37), [3, 5, 11], 3.13.af_ba_adt 
(-3, -2, 7), [10, 11, 7], 3.13.af_ba_acv 
(1, -6, 20), [1, 7, 7], 3.13.af_bb_afg 
(1, -6, 21), [1, 7, 8], 3.13.af_bc_aff 
(-1, -4, 11), [12, 9, 11], 3.13.af_bc_ael 
(-3, -2, 9), [10, 11, 9], 3.13.af_bc_adb 
(-5, 0, 15), [8, 0, 2], 3.13.af_bc_acx 
(-4, -1, 11), [9, 12, 11], 3.13.af_bc_acs 
(1, -6, 22), [1, 7, 9], 3.13.af_bd_afe 
(-4, -1, 12), [9, 12, 12], 3.13.af_bd_acw 
(1, -6, 23), [1, 7, 10], 3.13.af_be_afd 
(1, -6, 25), [1, 7, 12], 3.13.af_bg_afb 
(-1, -4, 15), [12, 9, 2], 3.13.af_bg_aep 
(-5, 0, 19), [8, 0, 6], 3.13.af_bg_adr 
(-4, -1, 15), [9, 12, 2], 3.13.af_bg_adi 
(-4, -1, 16), [9, 12, 3], 3.13.af_bh_adm 
(1, -6, 27), [1, 7, 1], 3.13.af_bi_aez 
(-1, -4, 17), [12, 9, 4], 3.13.af_bi_aer 
(-5, 0, 21), [8, 0, 8], 3.13.af_bi_aeb 
(-3, -2, 15), [10, 11, 2], 3.13.af_bi_adt 
(-4, -1, 17), [9, 12, 4], 3.13.af_bi_adq 
(1, -6, 29), [1, 7, 3], 3.13.af_bk_aex 
(-1, -4, 19), [12, 9, 6], 3.13.af_bk_aet 
