(-8, -1, -23), [0, 3, 1], 3.17.aj_c_fu 
(-8, -1, -21), [0, 3, 3], 3.17.aj_e_fe 
(-8, -1, -20), [0, 3, 0], 3.17.aj_f_ew 
(-8, -1, -19), [0, 3, 1], 3.17.aj_g_eo 
(-8, -1, -13), [0, 3, 3], 3.17.aj_m_cs 
(-7, -2, -15), [1, 2, 1], 3.17.aj_q_bl 
(-7, -2, -13), [1, 2, 3], 3.17.aj_s_x 
(-7, -2, -12), [1, 2, 0], 3.17.aj_t_q 
(-7, -2, -11), [1, 2, 1], 3.17.aj_u_j 
(-7, -2, -9), [1, 2, 3], 3.17.aj_w_af 
(-7, -2, -7), [1, 2, 1], 3.17.aj_y_at 
(-7, -2, -5), [1, 2, 3], 3.17.aj_ba_abh 
(-7, -2, -4), [1, 2, 0], 3.17.aj_bb_abo 
(-7, -2, -3), [1, 2, 1], 3.17.aj_bc_abv 
(-7, -2, -2), [1, 2, 2], 3.17.aj_bd_acc 
(-7, -2, 1), [1, 2, 1], 3.17.aj_bg_acx 
(-7, -2, 2), [1, 2, 2], 3.17.aj_bh_ade 
(-7, -2, 3), [1, 2, 3], 3.17.aj_bi_adl 
(-5, -4, -1), [3, 0, 3], 3.17.aj_bk_afb 
(-7, -2, 5), [1, 2, 1], 3.17.aj_bk_adz 
(-5, -4, 1), [3, 0, 1], 3.17.aj_bm_afl 
(-7, -2, 7), [1, 2, 3], 3.17.aj_bm_aen 
(-5, -4, 3), [3, 0, 3], 3.17.aj_bo_afv 
(-7, -2, 9), [1, 2, 1], 3.17.aj_bo_afb 
(-5, -4, 5), [3, 0, 1], 3.17.aj_bq_agf 
(-7, -2, 11), [1, 2, 3], 3.17.aj_bq_afp 
(-5, -4, 7), [3, 0, 3], 3.17.aj_bs_agp 
(-7, -2, 13), [1, 2, 1], 3.17.aj_bs_agd 
(3, -12, 65), [3, 0, 1], 3.17.aj_bu_aif 
(-5, -4, 9), [3, 0, 1], 3.17.aj_bu_agz 
(-7, -2, 15), [1, 2, 3], 3.17.aj_bu_agr 
(3, -12, 67), [3, 0, 3], 3.17.aj_bw_ahz 
(-5, -4, 11), [3, 0, 3], 3.17.aj_bw_ahj 
(-6, -3, 13), [2, 1, 1], 3.17.aj_bw_agy 
(-6, -3, 14), [2, 1, 2], 3.17.aj_bx_ahe 
(-6, -3, 15), [2, 1, 3], 3.17.aj_by_ahk 
(-7, -2, 21), [1, 2, 1], 3.17.aj_ca_aih 
(-5, -4, 15), [3, 0, 3], 3.17.aj_ca_aid 
(-6, -3, 18), [2, 1, 2], 3.17.aj_cb_aic 
(-3, -6, 19), [1, 2, 3], 3.17.aj_cc_akb 
(-7, -2, 23), [1, 2, 3], 3.17.aj_cc_aiv 
(-6, -3, 19), [2, 1, 3], 3.17.aj_cc_aii 
(1, -10, 49), [1, 2, 1], 3.17.aj_ce_alf 
(-3, -6, 21), [1, 2, 1], 3.17.aj_ce_akh 
(-7, -2, 25), [1, 2, 1], 3.17.aj_ce_ajj 
(-5, -4, 19), [3, 0, 3], 3.17.aj_ce_aix 
(-1, -8, 32), [3, 0, 0], 3.17.aj_cf_als 
(-1, -8, 33), [3, 0, 1], 3.17.aj_cg_alt 
(-3, -6, 23), [1, 2, 3], 3.17.aj_cg_akn 
(-7, -2, 27), [1, 2, 3], 3.17.aj_cg_ajx 
(-5, -4, 21), [3, 0, 1], 3.17.aj_cg_ajh 
(-1, -8, 35), [3, 0, 3], 3.17.aj_ci_alv 
(1, -10, 53), [1, 2, 1], 3.17.aj_ci_alb 
(-3, -6, 25), [1, 2, 1], 3.17.aj_ci_akt 
(-7, -2, 29), [1, 2, 1], 3.17.aj_ci_akl 
(-5, -4, 23), [3, 0, 3], 3.17.aj_ci_ajr 
(-1, -8, 37), [3, 0, 1], 3.17.aj_ck_alx 
(-5, -4, 25), [3, 0, 1], 3.17.aj_ck_akb 
(-1, -8, 38), [3, 0, 2], 3.17.aj_cl_aly 
(-5, -4, 26), [3, 0, 2], 3.17.aj_cl_akg 
(-1, -8, 39), [3, 0, 3], 3.17.aj_cm_alz 
(-7, -2, 33), [1, 2, 1], 3.17.aj_cm_aln 
(-3, -6, 29), [1, 2, 1], 3.17.aj_cm_alf 
(1, -10, 57), [1, 2, 1], 3.17.aj_cm_akx 
(-5, -4, 27), [3, 0, 3], 3.17.aj_cm_akl 
