(3, -10, 55), [3, 2, 3], 3.16.ah_bp_afz 
(-5, -2, 15), [3, 2, 3], 3.16.ah_bp_afj 
(1, -8, 35), [1, 0, 3], 3.16.ah_br_ain 
(-1, -6, 21), [3, 2, 1], 3.16.ah_br_aif 
(-7, 0, 27), [1, 0, 3], 3.16.ah_br_ahh 
(-3, -4, 15), [1, 0, 3], 3.16.ah_br_agr 
(1, -8, 37), [1, 0, 1], 3.16.ah_bt_ail 
(-1, -6, 23), [3, 2, 3], 3.16.ah_bt_aih 
(-7, 0, 29), [1, 0, 1], 3.16.ah_bt_ahv 
(-3, -4, 17), [1, 0, 1], 3.16.ah_bt_agx 
(-5, -2, 19), [3, 2, 3], 3.16.ah_bt_agd 
(-3, -4, 19), [1, 0, 3], 3.16.ah_bv_ahd 
(-5, -2, 21), [3, 2, 1], 3.16.ah_bv_agn 
(-1, -6, 27), [3, 2, 3], 3.16.ah_bx_ail 
(1, -8, 41), [1, 0, 1], 3.16.ah_bx_aih 
(-3, -4, 21), [1, 0, 1], 3.16.ah_bx_ahj 
(-5, -2, 23), [3, 2, 3], 3.16.ah_bx_agx 
(-1, -6, 29), [3, 2, 1], 3.16.ah_bz_ain 
(1, -8, 43), [1, 0, 3], 3.16.ah_bz_aif 
(-3, -4, 23), [1, 0, 3], 3.16.ah_bz_ahp 
(-5, -2, 25), [3, 2, 1], 3.16.ah_bz_ahh 
(-1, -6, 31), [3, 2, 3], 3.16.ah_cb_aip 
(1, -8, 45), [1, 0, 1], 3.16.ah_cb_aid 
(-3, -4, 25), [1, 0, 1], 3.16.ah_cb_ahv 
(-5, -2, 27), [3, 2, 3], 3.16.ah_cb_ahr 
(-1, -6, 33), [3, 2, 1], 3.16.ah_cd_air 
(-1, -6, 35), [3, 2, 3], 3.16.ah_cf_ait 
(-5, -2, 31), [3, 2, 3], 3.16.ah_cf_ail 
(-3, -4, 29), [1, 0, 1], 3.16.ah_cf_aih 
(-3, -4, 31), [1, 0, 3], 3.16.ah_ch_ain 
(-1, -6, 39), [3, 2, 3], 3.16.ah_cj_aix 
(-3, -4, 33), [1, 0, 1], 3.16.ah_cj_ait 
(-7, 1, -21), [1, 1, 3], 3.16.ag_am_gx 
(-7, 1, -19), [1, 1, 1], 3.16.ag_ak_gj 
(-7, 1, -17), [1, 1, 3], 3.16.ag_ai_fv 
(-7, 1, -15), [1, 1, 1], 3.16.ag_ag_fh 
(-7, 1, -13), [1, 1, 3], 3.16.ag_ae_et 
(-5, -1, -23), [3, 3, 1], 3.16.ag_ac_df 
(7, -13, 73), [3, 3, 1], 3.16.ag_ac_dr 
(-7, 1, -11), [1, 1, 1], 3.16.ag_ac_ef 
(-5, -1, -21), [3, 3, 3], 3.16.ag_a_cv 
(-7, 1, -9), [1, 1, 3], 3.16.ag_a_dr 
(-5, -1, -19), [3, 3, 1], 3.16.ag_c_cl 
(-7, 1, -7), [1, 1, 1], 3.16.ag_c_dd 
(-5, -1, -17), [3, 3, 3], 3.16.ag_e_cb 
(-7, 1, -5), [1, 1, 3], 3.16.ag_e_cp 
(-5, -1, -15), [3, 3, 1], 3.16.ag_g_br 
(-7, 1, -3), [1, 1, 1], 3.16.ag_g_cb 
(-5, -1, -13), [3, 3, 3], 3.16.ag_i_bh 
(-7, 1, -1), [1, 1, 3], 3.16.ag_i_bn 
(-5, -1, -11), [3, 3, 1], 3.16.ag_k_x 
(-7, 1, 1), [1, 1, 1], 3.16.ag_k_z 
(-7, 1, 3), [1, 1, 3], 3.16.ag_m_l 
(-5, -1, -9), [3, 3, 3], 3.16.ag_m_n 
(-7, 1, 5), [1, 1, 1], 3.16.ag_o_ad 
(-5, -1, -7), [3, 3, 1], 3.16.ag_o_d 
(-7, 1, 7), [1, 1, 3], 3.16.ag_q_ar 
(-5, -1, -5), [3, 3, 3], 3.16.ag_q_ah 
(-3, -3, -7), [1, 1, 1], 3.16.ag_s_acx 
(5, -11, 57), [1, 1, 1], 3.16.ag_s_acp 
(-7, 1, 9), [1, 1, 1], 3.16.ag_s_abf 
(-5, -1, -3), [3, 3, 1], 3.16.ag_s_ar 
(-3, -3, -5), [1, 1, 3], 3.16.ag_u_add 
(5, -11, 59), [1, 1, 3], 3.16.ag_u_acf 
(-7, 1, 11), [1, 1, 3], 3.16.ag_u_abt 
(-5, -1, -1), [3, 3, 3], 3.16.ag_u_abb 
(-3, -3, -3), [1, 1, 1], 3.16.ag_w_adj 
(-7, 1, 13), [1, 1, 1], 3.16.ag_w_ach 
(5, -11, 61), [1, 1, 1], 3.16.ag_w_abv 
(-5, -1, 1), [3, 3, 1], 3.16.ag_w_abl 
(-3, -3, -1), [1, 1, 3], 3.16.ag_y_adp 
(-7, 1, 15), [1, 1, 3], 3.16.ag_y_acv 
(-5, -1, 3), [3, 3, 3], 3.16.ag_y_abv 
(-3, -3, 1), [1, 1, 1], 3.16.ag_ba_adv 
(-7, 1, 17), [1, 1, 1], 3.16.ag_ba_adj 
(-5, -1, 5), [3, 3, 1], 3.16.ag_ba_acf 
(-3, -3, 3), [1, 1, 3], 3.16.ag_bc_aeb 
(-7, 1, 19), [1, 1, 3], 3.16.ag_bc_adx 
(-5, -1, 7), [3, 3, 3], 3.16.ag_bc_acp 
(-1, -5, 9), [3, 3, 1], 3.16.ag_be_agn 
